"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,84173,138158,150222,85454,3990,86105,32040,14761,13569,23828,380632,4452,8732,69806,34635,24554,14103,183611,87334,237,22731,72616,4065,8946,6013,12064
2,104421,203746,209278,128843,18531,86449,20431,16819,19706,47312,110665,9345,19667,97644,45612,32767,6407,19391,70831,165,3231,10640,6931,6281,1076,5532
3,131236,308231,316021,185451,58378,68683,27726,24985,25414,53261,161098,15435,40413,133337,88055,49907,8915,36302,69333,172,20892,25484,8650,11572,20879,7790
4,52197,128164,129408,68133,32570,17321,10719,10520,11027,19909,29586,5365,17689,46482,33880,27197,2499,5292,18493,62,1084,2156,7098,24504,5982,1244
5,101413,282384,284688,153240,68763,31918,20214,22928,24462,33849,136058,13743,43314,99898,79028,52843,11808,32403,43172,489,35678,12508,11622,1741,5446,2304
6,84924,217548,220491,113968,50303,34176,13970,14059,17756,39110,100923,11886,36120,73309,55873,36607,8912,34475,31910,528,8590,16508,11026,3359,7684,2943
7,78787,214433,217871,112833,54815,25149,12895,14118,14930,36833,156441,12462,41189,76007,57899,32793,8226,39034,40491,942,13125,54623,9655,1312,3892,3438
8,74144,184328,198736,94437,46212,31348,11790,10167,12410,39745,152456,8879,37040,63677,47830,31180,6764,36337,72109,282,11950,25014,11199,15778,16461,14408
9,118356,297037,298091,175009,53395,65498,16672,19716,26005,55981,339249,19950,39653,139057,60590,30906,10351,96970,50399,194,102178,79157,9733,2587,7908,1054
10,123560,339791,340606,167464,85962,38558,18811,20843,23409,60494,147154,16110,63422,101292,94428,50136,13566,22291,55803,230,44464,10800,17405,9969,23996,815
11,113752,292987,304948,163048,63543,50448,29037,26830,24162,33812,162639,16323,55855,126562,74613,39070,11861,32121,66312,308,12906,39131,14119,32746,16181,11961
12,118460,377778,379901,197972,92632,23178,21639,23276,28023,45498,96543,19438,74395,141476,105892,61043,10041,12616,42035,183,18931,12737,22021,1882,7166,2123
13,77812,225029,226024,117177,58575,17398,12393,15297,18150,31970,54185,13273,44044,74799,61973,32377,7574,8212,25432,118,9076,3773,12742,0,0,995
