"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
14,39465,119524,120555,58062,32772,6030,6645,8895,9579,14300,43437,7892,27381,38678,31389,18495,5481,6514,14623,1965,9663,5191,6774,1106,2599,1031
15,86867,242797,244542,125885,65295,19589,11416,14984,19368,41173,122293,14054,46372,77868,63790,31999,13541,29307,37942,419,19555,21529,12209,1106,4893,1745
16,114522,339049,340229,161469,83807,28930,16546,20540,27399,50067,160894,19019,59000,121969,87569,46605,12108,24143,42341,148,70500,11654,16425,4435,7507,1180
17,132049,367406,369744,188568,92395,37442,32931,34985,31960,32210,126054,19511,64425,135336,105323,59200,15109,15464,49640,133,30762,14946,17953,16558,13355,2338
18,198080,463885,471779,253766,98230,103190,59857,46332,38757,53151,217116,27685,76110,188109,117618,70486,13122,37626,92221,566,42131,31450,20573,6954,19592,7894
19,77016,169814,185751,93819,35016,44640,20753,16233,14668,25204,98834,6918,28859,79110,37753,27370,8118,21023,49683,288,9752,9970,5751,36767,6608,15937
20,97106,264457,267339,128587,72725,25583,27074,26950,23157,19959,62089,13560,49954,95174,69281,43603,8310,9624,25703,154,10731,7567,10359,1909,5143,2882
21,90975,236594,238168,118433,65089,25382,19813,22045,23681,25393,101184,14858,38717,81087,63556,38238,11857,22427,39202,485,7317,19896,9353,6846,13678,1574
22,62983,150816,153393,69645,41806,21101,11054,11157,13271,27633,79403,6925,24627,41333,39786,36016,9201,19223,41177,126,3631,6045,11116,3490,2162,2577
23,58652,171020,171507,77431,49462,8693,6993,7671,11406,32550,55961,7516,38308,40502,51664,25947,4801,17573,21242,946,3819,7580,10369,0,0,487
24,106456,318705,320095,147313,92708,13623,26144,29100,26885,24236,61395,19314,69398,111036,85557,44542,9175,7625,30190,437,5418,8550,17541,1409,5314,1390
25,56116,148211,149630,66318,42885,13233,16721,16218,13009,10206,38193,7274,26020,48670,40138,26625,4449,910,21114,224,5597,5899,6278,504,66,1419
26,101650,290589,291833,128925,80930,20718,24047,30811,26307,20447,76726,18295,55500,101058,71485,46320,11942,1782,35812,1550,10987,14653,14119,2641,7434,1244
27,38776,101802,102772,56027,28722,8298,9590,10453,9698,9023,47410,5106,19944,33376,26621,17900,4522,4819,20717,2442,9110,5800,7029,1613,4630,970
28,12391,26962,28146,14277,11998,2149,3210,2676,2887,3630,26030,945,3412,7207,7895,8588,1030,1806,8533,3733,9163,1765,803,1497,170,1184
29,67974,164135,168537,84544,51523,14865,16975,18665,15892,16458,68468,8378,26600,52800,44862,33800,7119,10738,27063,1902,13634,8012,7332,8264,1144,4402
30,91962,227315,230610,116099,67526,21784,25577,26271,22580,17562,105736,10733,42002,74215,60215,46254,12565,15991,44649,1778,15602,15151,11609,6225,15613,3295
31,32829,79475,80304,39347,33652,3415,8351,8463,8034,7937,28814,3349,13200,21767,22618,18660,2780,3396,10612,2815,6244,2967,3671,0,0,829
32,23313,58343,58718,27382,17520,4941,5402,5609,4750,7563,24524,2649,9725,13976,17283,14782,2573,6035,8807,106,3078,3925,2517,0,0,375
33,41502,100692,101750,51101,29767,11887,9116,8926,8676,14753,48596,4189,18268,27629,30723,23103,5771,10006,21447,348,2855,8169,4782,757,813,1058
34,36793,88445,88819,40984,26501,10992,6091,5965,6402,18355,40517,4051,15396,20222,27365,19908,5610,9100,19168,112,1636,4891,4105,1489,5370,374
