TAZ_NODE,TAZ_SEQ,COUNTY,county_name,COUNTYFP10,TRACTCE10,PUMA10,PUMA20,DistID,DistName,TAZ_X,TAZ_Y
400458,4015,5,Contra Costa,013,379000,01301,01301,20,Richmond & El Cerrito,-122.35081325381906,37.92834217880918
400459,4016,5,Contra Costa,013,379000,01301,01301,20,Richmond & El Cerrito,-122.34517700882414,37.92756197395947
400460,4017,5,Contra Costa,013,380000,01301,01301,20,Richmond & El Cerrito,-122.34335572643774,37.91125415720949
400461,4018,5,Contra Costa,013,380000,01301,01301,20,Richmond & El Cerrito,-122.35505962707143,37.91882408573124
400462,4019,5,Contra Costa,013,381000,01301,01301,20,Richmond & El Cerrito,-122.34245528327195,37.93288756369332
400464,4020,5,Contra Costa,013,314102,01307,01314,24,Antioch & Pittsburg,-121.91262441235257,38.02349684682539
400465,4021,5,Contra Costa,013,334006,01306,01313,21,Concord & Martinez,-121.99620558983376,37.955177124451396
400466,4022,5,Contra Costa,013,334004,01306,01313,21,Concord & Martinez,-121.98798552868291,37.95734707254821
400467,4023,5,Contra Costa,013,336101,01303,01311,21,Concord & Martinez,-122.03525539302916,37.970766498885986
400468,4024,5,Contra Costa,013,336102,01303,01311,21,Concord & Martinez,-122.03848405312402,37.96279871100716
400469,4025,5,Contra Costa,013,314200,01307,01314,24,Antioch & Pittsburg,-121.97423361777129,38.042409383028755
400470,4026,5,Contra Costa,013,334004,01306,01313,21,Concord & Martinez,-121.97065269800954,37.95259928674546
400471,4027,5,Contra Costa,013,334004,01306,01313,21,Concord & Martinez,-121.98377270170319,37.960006310584056
400472,4028,5,Contra Costa,013,334006,01306,01313,21,Concord & Martinez,-121.98344097985843,37.95158546853133
400473,4029,5,Contra Costa,013,334006,01306,01313,21,Concord & Martinez,-121.98613150284835,37.94925882581331
400474,4030,5,Contra Costa,013,335000,01306,01313,21,Concord & Martinez,-122.02814539892373,37.97105781999604
400475,4031,5,Contra Costa,013,335000,01306,01313,21,Concord & Martinez,-122.02166281986295,37.969741876199606
400476,4032,5,Contra Costa,013,340001,01304,01312,22,Walnut Creek,-122.07008031265954,37.91607100358446
400477,4033,5,Contra Costa,013,340002,01304,01312,22,Walnut Creek,-122.08115261276056,37.91912399654023
400478,4034,5,Contra Costa,013,343001,01306,01313,22,Walnut Creek,-122.05407245323882,37.902803716193155
400479,4035,5,Contra Costa,013,338301,01306,01313,22,Walnut Creek,-122.02603494615882,37.91972447227999
400480,4036,5,Contra Costa,013,355302,01306,01313,22,Walnut Creek,-122.00881552774877,37.92540804738051
400481,4037,5,Contra Costa,013,381000,01301,01301,20,Richmond & El Cerrito,-122.32981203971882,37.930635796152906
400482,4038,5,Contra Costa,013,381000,01301,01301,20,Richmond & El Cerrito,-122.3385758387588,37.92807589016125
400483,4039,5,Contra Costa,013,381000,01301,01301,20,Richmond & El Cerrito,-122.3267412534107,37.927341831397314
400484,4040,5,Contra Costa,013,382000,01301,01301,20,Richmond & El Cerrito,-122.33101931054576,37.92205460226602
400485,4041,5,Contra Costa,013,382000,01301,01301,20,Richmond & El Cerrito,-122.3167968496933,37.9064426248211
400486,4042,5,Contra Costa,013,383000,01301,01301,20,Richmond & El Cerrito,-122.30992003509797,37.909595714164425
400487,4043,5,Contra Costa,013,356001,01303,01310,20,Richmond & El Cerrito,-122.25459961482078,38.023101423130505
400488,4044,5,Contra Costa,013,314200,01307,01314,24,Antioch & Pittsburg,-121.96703822890903,38.030693897671696
400489,4045,5,Contra Costa,013,314200,01307,01314,24,Antioch & Pittsburg,-121.96513559521686,38.036309867308105
400490,4046,5,Contra Costa,013,318000,01303,01311,21,Concord & Martinez,-122.16098998996408,38.01646907904039
400491,4047,5,Contra Costa,013,315000,01307,01314,21,Concord & Martinez,-122.04104634361097,38.03399623397259
400492,4048,5,Contra Costa,013,319000,01303,01311,21,Concord & Martinez,-122.11835574876795,38.01036098590587
400493,4049,5,Contra Costa,013,319000,01303,01311,21,Concord & Martinez,-122.11409196100138,38.006025425730606
400494,4050,5,Contra Costa,013,319000,01303,01311,21,Concord & Martinez,-122.12193990666822,38.003526161727514
400495,4051,5,Contra Costa,013,335000,01306,01313,21,Concord & Martinez,-122.0137103469358,37.967196484297666
400496,4052,5,Contra Costa,013,337100,01306,01313,21,Concord & Martinez,-122.01952117848803,37.961536396230215
400497,4053,5,Contra Costa,013,337100,01306,01313,21,Concord & Martinez,-122.01109220390616,37.9537810122727
