GEOID10,MAZ_NODE,TAZ_NODE
060014004003018,322344,300123
060014004003019,322344,300123
060014005001000,322326,300118
060014005001001,316851,300118
060014005001002,316851,300118
060014005001003,331103,300118
060014005001004,317557,300118
060014005001005,331103,300118
060014005001006,327886,300118
060014005001007,333420,300118
060014005001008,333420,300118
060014005001009,317557,300118
060014005001010,317557,300118
060014005001011,327886,300118
060014005001012,322325,300118
060014005001013,331104,300118
060014005001014,311955,300118
060014005001015,311955,300118
060014005001016,331122,300118
060014005001017,331122,300118
060014005001018,319910,300118
060014005001019,316493,300118
060014005001020,316493,300118
060014005001021,316293,300118
060014005001022,319910,300118
060014005001023,316293,300118
060014005001024,315548,300118
060014005001025,316293,300118
060014005001026,316293,300118
060014005001027,316293,300118
060014005001028,317557,300118
060014005002000,320997,300093
060014005002001,320997,300093
060014005002002,320998,300093
060014005002003,320999,300093
060014005002004,315588,300093
060014005002005,327618,300093
060014005002006,310480,300093
060014005002007,324825,300093
060014005003000,332905,300094
060014005003001,316849,300094
060014005003002,316849,300094
060014005003003,316850,300094
060014005003004,320823,300094
060014005003005,320823,300094
060014005003006,324122,300094
060014005003007,324122,300094
060014006001000,324522,300288
060014006001001,324522,300288
060014006001002,324522,300288
060014006001003,327619,300288
060014006001004,327619,300288
060014006001005,315589,300288
060014006001006,315589,300288
060014006001007,315589,300288
060014006001008,330905,300288
060014006001009,324522,300288
060014006001010,332423,300288
060014006001011,333929,300288
060014006001012,323930,300288
060014006001013,323930,300288
060014006002000,333930,300018
060014006002001,333930,300018
060014006002002,315591,300018
060014006002003,315591,300018
060014006002004,315592,300018
060014006002005,315592,300018
060014006002006,333930,300018
060014006002007,324828,300018
060014006002008,324828,300018
060014006002009,315592,300018
060014006002010,324828,300018
060014006002011,310662,300018
060014006002012,310662,300018
060014007001000,316235,300282
060014007001001,316235,300282
060014007001002,315574,300282
060014007001003,314009,300282
060014007001004,314009,300282
060014007001005,318696,300282
060014007001006,315574,300282
060014007001007,314009,300282
060014007001008,314009,300282
060014007001009,314009,300282
060014007001010,314636,300282
060014007001011,314636,300282
060014007001012,312479,300282
060014007001013,312479,300282
060014007001014,312479,300282
060014007001015,312479,300282
060014007001016,312479,300282
060014007001017,312479,300282
060014007001018,314636,300282
060014007001019,314785,300282
060014007001020,314785,300282
060014007001021,314785,300282
060014007001022,314785,300282
060014007001023,314009,300282
060014007001024,314009,300282
060014007001025,314009,300282
060014007001026,314009,300282
060014007001027,315574,300282
060014007001028,311595,300282
060014007001029,311595,300282
060014007001030,317741,300282
060014007001031,318696,300282
060014007001032,317741,300282
060014007001033,314785,300282
060014007001034,314785,300282
060014007001035,314785,300282
060014007001036,314785,300282
060014007001037,314785,300282
