GEOID10,MAZ_NODE,TAZ_NODE
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,332624,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,330244,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,333940,301054
6.0014E+13,333940,301054
6.0014E+13,333940,301054
6.0014E+13,316203,300125
6.0014E+13,313627,301054
6.0014E+13,313627,301054
6.0014E+13,313627,301054
6.0014E+13,333453,301054
6.0014E+13,316202,301054
6.0014E+13,333756,300125
6.0014E+13,333756,300125
6.0014E+13,333756,300125
6.0014E+13,333756,300125
6.0014E+13,317388,300125
6.0014E+13,317388,300125
6.0014E+13,310948,301054
6.0014E+13,310948,301054
6.0014E+13,310948,301054
6.0014E+13,310948,301054
6.0014E+13,316203,300125
6.0014E+13,329851,300125
6.0014E+13,333542,300125
6.0014E+13,329851,300125
6.0014E+13,317388,300125
6.0014E+13,310948,301054
6.0014E+13,310948,301054
6.0014E+13,318108,300125
6.0014E+13,318108,300125
6.0014E+13,330637,301054
6.0014E+13,332786,300125
6.0014E+13,332786,300125
6.0014E+13,332899,300125
6.0014E+13,325884,300125
6.0014E+13,325884,300125
6.0014E+13,333542,300125
6.0014E+13,316208,300125
6.0014E+13,316208,300125
6.0014E+13,316208,300125
6.0014E+13,320099,300125
6.0014E+13,320096,300125
6.0014E+13,332786,300125
6.0014E+13,318108,300125
6.0014E+13,320096,300125
6.0014E+13,325229,300125
6.0014E+13,325229,300125
6.0014E+13,315991,300125
6.0014E+13,310247,301054
6.0014E+13,310247,301054
6.0014E+13,310948,301054
6.0014E+13,333453,301054
6.0014E+13,333453,301054
6.0014E+13,320099,300125
6.0014E+13,332624,301054
6.0014E+13,332624,301054
6.0014E+13,310262,300114
6.0014E+13,325230,300114
6.0014E+13,325015,300114
6.0014E+13,325228,300114
6.0014E+13,325228,300114
6.0014E+13,325228,300114
6.0014E+13,325228,300114
6.0014E+13,331566,300114
6.0014E+13,315989,301088
6.0014E+13,331565,301088
6.0014E+13,331565,301088
6.0014E+13,331566,300114
6.0014E+13,331566,300114
6.0014E+13,324350,300114
6.0014E+13,310262,300114
6.0014E+13,324350,300114
6.0014E+13,324350,300114
6.0014E+13,324350,300114
6.0014E+13,313833,301088
6.0014E+13,323847,301088
6.0014E+13,315989,301088
6.0014E+13,313833,301088
6.0014E+13,313833,301088
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,332427,300569
6.0014E+13,333937,300569
6.0014E+13,319414,300569
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,315624,300569
6.0014E+13,324318,300569
6.0014E+13,324318,300569
6.0014E+13,330911,300569
6.0014E+13,330911,300569
6.0014E+13,315624,300569
6.0014E+13,333091,300113
6.0014E+13,316200,300113
6.0014E+13,310263,300113
6.0014E+13,310263,300113
6.0014E+13,310263,300113
6.0014E+13,310263,300113
6.0014E+13,310263,300113
6.0014E+13,310263,300113
6.0014E+13,316200,300113
6.0014E+13,310264,300113
6.0014E+13,316885,300113
6.0014E+13,310263,300113
6.0014E+13,310263,300113
6.0014E+13,316885,300113
6.0014E+13,316885,300113
6.0014E+13,316885,300113
6.0014E+13,319395,300113
6.0014E+13,319395,300113
6.0014E+13,310266,301091
6.0014E+13,315993,301091
6.0014E+13,329702,301090
6.0014E+13,329702,301090
6.0014E+13,319391,301090
6.0014E+13,318678,301090
6.0014E+13,318678,301090
6.0014E+13,325210,301090
6.0014E+13,325209,301090
6.0014E+13,332426,300115
6.0014E+13,322350,300115
6.0014E+13,333931,300115
