"maz","bg_count"
12271,3
12274,5
12278,3
12280,4
12281,1
12282,3
12283,4
12284,1
12285,1
12286,1
12288,3
12290,2
12291,4
12293,2
12295,5
12303,5
12305,4
12306,4
12307,3
12309,5
12310,3
12311,5
12312,4
12314,4
12315,2
12316,1
12317,4
12318,1
12319,3
12320,2
12321,1
12322,1
12323,4
12324,3
12325,4
12326,3
12327,3
12328,2
12329,1
12330,2
12331,3
12333,1
12339,1
12341,1
12342,2
12343,2
12344,3
12346,4
12348,4
12349,2
12353,3
12354,3
12356,4
12358,4
12361,2
12362,3
12363,1
12364,3
12365,1
12366,3
12368,4
12369,1
12370,1
12372,3
12373,1
12377,2
12382,4
12383,2
12384,2
12387,3
12390,2
12391,4
12392,3
12393,3
12394,5
12395,3
12397,3
12398,4
12400,5
12401,5
12402,2
12409,2
12410,2
12412,5
12414,2
12415,2
12418,2
12419,2
12421,4
12423,1
12427,3
12428,4
12430,3
12431,5
12433,3
12434,5
12435,4
12436,3
12438,2
12439,3
12440,3
12442,3
12446,4
12447,4
12451,1
12452,2
12454,3
12455,3
12458,5
12459,5
12460,2
12461,2
12462,2
12463,2
12464,4
12465,2
12466,1
12467,3
12469,4
12473,2
12474,2
12475,2
12476,6
12488,4
12489,5
12491,3
12492,4
12494,2
12495,1
12496,2
12498,4
12499,4
12500,4
12501,2
12506,4
12509,2
12514,2
12515,3
12516,3
12517,2
12518,4
12521,4
12522,4
12523,3
12524,1
12525,2
12527,3
12529,3
12530,2
12531,4
12532,4
12533,2
12534,4
12538,4
12539,1
12540,4
12541,4
12542,4
12543,4
12544,5
12545,4
12546,3
12547,3
12548,5
12549,5
12550,4
12551,3
12552,4
12553,3
12554,3
12555,3
12557,5
12558,1
12561,2
12562,5
12563,3
12564,5
12567,3
12568,3
12569,4
12570,4
12572,1
12574,4
12577,6
12578,5
12582,2
12588,3
12591,5
12595,2
12599,2
12600,2
12601,1
12602,1
12604,1
12605,8
12607,2
12608,3
12611,4
12616,3
12617,4
12618,2
12619,3
12623,4
12628,1
12629,3
12630,2
12632,4
12633,4
12634,3
12635,4
12636,4
12641,3
12642,5
12643,3
12644,2
12645,3
12646,3
12648,1
12649,2
12654,2
12656,3
12657,2
12658,3
12659,3
12660,1
12661,1
12662,2
12665,1
12668,3
12670,3
12671,3
12672,3
12673,1
12674,3
12676,5
12680,6
12682,2
12683,2
12684,2
12686,3
12691,3
12692,4
12694,3
12695,3
12700,4
12701,1
12702,5
12703,2
12704,4
12705,1
12706,2
12707,2
12715,4
12718,1
12720,2
12725,6
12727,4
12732,2
12733,1
12734,2
12735,6
12737,1
12738,3
12739,4
12740,2
12741,2
12742,4
12744,4
12745,1
12747,5
12749,2
12750,2
12751,3
12753,3
12754,1
12756,2
12757,2
12758,3
12759,1
12760,1
12769,5
12771,6
12772,7
12773,5
12774,4
12776,5
12777,6
12779,5
12780,4
12785,1
12786,3
12787,3
12788,6
12789,5
12790,1
12791,2
12792,3
12793,1
12794,3
12795,3
12796,4
12797,4
12798,2
12801,3
12802,2
12803,2
12805,2
12808,3
12811,3
12812,4
12813,4
12814,3
12816,5
12817,5
12818,4
12819,2
12820,4
12821,2
12822,7
12824,3
12825,2
12826,1
12827,2
12828,2
12829,2
12830,2
12831,4
12832,5
12833,5
12834,7
12838,3
12839,1
12840,3
12841,3
12842,2
12843,4
12844,2
12845,5
12846,5
12847,3
12848,2
12849,1
12851,6
12855,2
12860,2
12862,2
12863,3
12864,1
12865,1
12868,4
12870,3
12872,3
12873,1
12874,2
12875,4
12876,2
12877,4
12878,1
12879,3
12880,3
12881,3
12883,1
12884,3
12885,2
12886,2
12887,4
12888,2
12890,2
12891,1
12895,3
12896,3
12897,5
12898,2
12902,3
12906,3
12911,2
12913,4
12915,3
12918,3
12920,1
12921,2
12922,2
12923,3
12924,3
12927,2
12928,5
12934,3
12937,2
12938,1
12939,3
12940,3
12941,2
12942,1
12943,2
12944,3
12945,3
12946,4
12948,2
12949,2
12951,4
12958,1
12959,4
12960,3
12961,4
12962,5
12963,2
12964,3
12965,3
12967,3
12968,1
12969,2
12970,2
12971,1
12976,4
12985,4
12986,1
12987,3
12988,3
12989,2
12990,2
12991,4
12993,2
12994,3
12995,1
12996,3
12997,3
12998,2
12999,1
13003,2
13005,2
13013,2
13018,1
13020,5
13021,6
13022,4
13024,2
13025,5
13026,2
13027,4
13028,5
13029,2
13030,4
13033,2
13034,2
13035,2
13037,2
13038,3
13039,2
13043,4
13044,2
13046,2
13047,3
13048,3
13052,3
13054,3
13061,3
13063,3
13065,3
13066,3
13068,1
13072,1
13073,3
13074,1
13075,1
13076,4
13077,3
13078,5
13079,3
13080,2
13081,1
13082,3
13083,4
13085,2
13086,3
13087,2
13089,3
13096,3
13097,3
13098,3
13100,4
13103,1
13106,1
13107,3
13108,4
13112,5
13113,5
13114,4
13115,6
13117,3
13119,3
13121,1
13124,1
13127,2
13129,2
13130,3
13131,2
13133,4
13134,1
13135,5
13136,3
13137,3
13138,5
13139,2
13142,5
13144,3
13146,4
13147,4
13148,1
13149,4
13150,2
13152,2
13153,2
13154,3
13155,2
13157,3
13158,1
13159,2
13160,1
13161,1
13162,2
13163,1
13164,1
13171,2
13175,3
13176,5
13177,4
13179,4
13182,4
13185,2
13186,3
13187,4
13189,7
13193,4
13198,1
13201,3
13204,1
13205,2
13206,2
13208,1
13210,1
13213,3
13214,3
13215,7
13217,1
13218,1
13219,4
13221,4
13226,3
13227,6
13229,6
13230,3
13233,2
13235,3
13236,2
13238,1
13239,2
13240,1
13241,2
13244,1
13249,1
13259,3
13260,1
13261,3
13262,3
13263,3
13267,2
13269,2
13270,3
13271,1
13275,3
13277,1
13278,5
13280,2
13281,1
13282,2
13286,1
13287,1
13288,4
13289,1
13293,2
13297,3
13298,5
13300,4
13301,4
13302,6
13303,6
13304,6
13305,6
13306,3
13307,2
13308,1
13309,3
13310,3
13314,2
13315,3
13317,4
13318,2
13319,4
13320,4
13323,6
13324,5
13325,4
13334,4
13336,1
13338,2
13339,3
13342,2
13344,2
13347,6
13348,3
13350,3
13354,4
13355,6
13357,6
13358,4
13360,8
13361,2
13362,3
13363,3
13365,4
13366,1
13368,3
13369,1
13370,4
13372,4
13374,5
13375,2
13376,6
13379,4
13381,6
13383,4
13384,3
13389,1
13393,2
13394,3
13395,2
13396,1
13397,2
13398,1
13399,4
13400,2
13402,1
13404,4
13408,4
13409,2
13413,4
13414,3
13415,3
13416,8
13417,5
13422,3
13425,5
13428,2
13429,9
13430,3
13431,6
13433,4
13434,1
13436,3
13437,2
13438,2
13447,1
13448,2
13449,2
13451,3
13454,2
13455,4
13459,4
13460,1
13461,2
13462,3
13464,3
13466,4
13467,1
13469,3
13470,4
13471,5
13473,2
13474,4
13477,3
13483,3
13486,1
13487,1
13488,3
13489,1
13490,1
13491,3
13492,2
13495,2
13496,2
13497,2
13498,4
13499,5
13501,2
13503,6
13506,2
13507,3
13509,1
13510,1
13513,4
13514,4
13515,3
13516,4
13517,2
13518,3
13519,3
13523,3
13526,4
13528,3
13529,5
13530,9
13531,4
13545,1
13547,4
13548,5
13549,3
13552,2
13553,2
13562,5
13564,2
13571,3
13573,3
13574,4
13576,3
13580,3
13586,3
13592,2
13594,3
13596,2
13598,1
13599,3
13600,2
13601,1
13614,4
13615,3
13616,3
13617,2
13618,5
13619,5
13620,2
13623,3
13624,3
13625,5
13626,5
13627,4
13628,2
13630,3
13634,3
13635,4
13636,2
13637,3
13638,2
13639,1
13640,2
13643,4
13644,4
13645,3
13646,3
13648,3
13649,4
13650,5
13651,3
13652,4
13653,3
13655,3
13656,3
13657,3
13659,4
13660,2
13661,3
13664,2
13665,2
13668,1
13677,4
13679,1
13680,3
13681,3
13682,3
13685,5
13688,4
13690,2
13691,1
13692,2
13696,3
13697,3
13699,3
13702,3
13703,1
13704,2
13705,5
13707,2
13712,2
13714,4
13715,3
13717,3
13718,1
13719,4
13723,4
13724,3
13725,2
13726,3
13727,1
13729,3
13731,2
13734,3
13735,3
13736,2
13740,2
13742,3
13743,4
13750,4
13751,3
13753,3
13754,2
13755,3
13759,2
13761,4
13763,3
13765,4
13767,3
13768,2
13769,1
13771,2
13772,3
13782,4
13783,2
13785,2
13786,4
13790,3
13791,6
13792,3
13793,2
13794,2
13795,2
13796,1
13798,3
13799,3
13800,2
13802,6
13803,5
13809,2
13811,2
13812,2
13813,3
13814,1
13815,2
13817,3
13818,3
13819,3
13820,3
13824,2
13826,2
13827,1
13832,3
13833,2
13834,3
13844,4
13845,5
13846,5
13847,2
13848,3
13849,2
13850,4
13851,3
13852,2
13854,3
13856,3
13857,3
13858,2
13859,1
13860,7
13861,4
13862,4
13865,5
13869,6
13870,7
13871,6
13872,3
13873,7
13874,8
13875,5
13876,9
13879,2
13880,4
13881,4
13882,3
13883,3
13885,3
13886,2
13887,4
13888,3
13889,2
13890,4
13891,4
13894,1
13896,1
13897,2
13899,2
13900,5
13901,2
13902,2
13903,5
13904,3
13905,3
13906,1
13908,2
13911,8
13912,4
13915,4
13917,3
13918,4
13920,4
13921,2
13922,2
13923,3
13924,3
13926,3
13928,3
13929,1
13930,3
13932,3
13934,4
13935,1
13936,3
13938,2
13939,4
13941,1
13942,2
13946,3
13949,1
13958,2
13965,3
13966,3
13968,3
13970,4
13972,1
13973,3
13975,2
13982,3
13983,1
13988,3
13990,6
13997,4
13998,3
13999,5
14000,3
14001,4
14002,3
14003,3
14005,4
14006,1
14009,1
14014,3
14015,2
14023,4
14024,4
14026,4
14027,4
14029,4
14030,3
14031,3
14032,2
14033,1
14035,3
14036,2
14037,4
14040,1
14041,5
14043,3
14048,3
14049,5
14053,2
14054,1
14056,2
14057,2
14058,1
14059,2
14061,2
14062,1
14064,3
14066,1
14067,5
14068,2
14069,7
14070,1
14073,3
14076,3
14077,2
14078,2
14079,2
14081,5
14083,3
14084,4
14087,4
14088,6
14090,2
14091,6
14092,4
14093,4
14094,7
14095,4
14096,4
14097,2
14100,2
14102,4
14103,1
14106,4
14107,3
14108,2
14109,3
14110,3
14117,3
14128,1
14131,4
14132,4
14133,2
14134,7
14135,3
14137,4
14138,4
14139,4
14141,2
14142,3
14143,3
14144,2
14145,3
14146,1
14148,1
14149,4
14150,3
14151,4
14160,2
14161,1
14165,3
14166,1
14167,2
14169,5
14174,1
14175,3
14177,1
14179,4
14180,3
14186,4
14189,3
14190,2
14191,4
14193,1
14196,2
14197,1
14198,4
14200,7
14201,5
14202,3
14203,5
14204,5
14205,5
14206,3
14207,2
14208,3
14210,1
14211,4
14212,5
14214,8
14215,3
14217,5
14218,3
14219,4
14220,4
14221,3
14226,2
14228,2
14229,4
14231,5
14233,4
14235,4
14236,1
14237,1
14238,2
14239,3
14240,4
14241,1
14242,2
14243,2
14244,3
14245,3
14247,2
14248,1
14249,2
14251,1
14253,1
14254,4
14255,5
14260,1
14262,1
14263,2
14264,1
14265,1
14267,3
14268,3
14269,3
14270,3
14271,2
14276,4
14279,5
14280,2
14281,3
14283,3
14284,3
14289,1
14290,2
14291,3
14292,4
14293,2
14294,3
14295,3
14296,2
14297,2
14299,3
14300,2
14301,2
14302,1
14304,1
14306,3
14308,2
14309,2
14310,3
14312,3
14313,1
14314,4
14315,1
14316,3
14319,6
14321,2
14322,1
14326,2
14328,1
14330,4
14332,3
14334,1
14336,4
14340,6
14344,4
14347,3
14348,2
14349,2
14352,2
14353,4
14354,3
14355,2
14356,3
14357,3
14358,1
14359,3
14360,3
14361,3
14362,5
14363,2
14365,3
14366,3
14371,3
14372,2
14374,4
14376,2
14377,2
14379,5
14382,3
14387,3
14392,3
14394,2
14396,4
14400,2
14401,1
14404,5
14409,2
14414,3
14415,4
14416,5
14417,4
14418,6
14419,6
14420,6
14421,7
14423,4
14426,2
14427,3
14434,2
14436,4
14438,3
14439,4
14443,2
14447,5
14449,2
14451,2
14453,7
14456,2
14457,3
14458,3
14459,6
14460,1
14461,4
14462,1
14463,5
14466,2
14468,1
14470,2
14471,4
14472,3
14474,4
14475,3
14476,2
14477,5
14478,3
14479,3
14480,3
14481,3
14482,4
14483,3
14484,2
14485,2
14487,2
14488,2
14490,1
14491,3
14492,4
14501,1
14505,3
14508,3
14510,2
14516,2
14517,2
14518,3
14519,4
14520,4
14525,2
14526,2
14530,2
14531,3
14532,3
14533,3
14534,3
14535,1
14536,1
14538,2
14539,3
14541,2
14542,1
14543,4
14544,4
14545,3
14546,2
14547,3
14550,2
14553,2
14562,4
14564,5
14582,4
14583,4
14585,4
14586,5
14587,3
14588,4
14589,2
14590,4
14591,4
14592,2
14593,1
14594,2
14595,2
14596,5
14597,2
14598,2
14599,3
14600,2
14605,4
14606,2
14611,2
14612,2
14613,3
14614,4
14615,6
14616,2
14617,4
14618,4
14619,3
14620,3
14623,3
14624,3
14627,3
14628,2
14630,2
14631,2
14634,1
14635,3
14636,1
14638,2
14640,4
14642,4
14644,5
14645,2
14646,5
14647,3
14649,1
14651,4
14652,2
14653,4
14655,2
14656,2
14657,3
14658,3
14659,3
14660,1
14661,3
14662,7
14665,5
14666,6
14667,1
14670,3
14671,2
14672,4
14675,2
14676,2
14680,3
14681,2
14682,3
14684,2
14685,3
14689,1
14691,3
14692,2
14693,5
14699,1
14700,1
14701,2
14702,1
14703,2
14704,3
14705,2
14709,1
14710,3
14711,2
14712,2
14713,3
14714,2
14715,4
14716,3
14717,2
14739,3
14742,1
14744,2
14745,2
14748,3
14749,3
14752,2
14753,3
14754,3
14755,2
14756,3
14759,3
14760,5
14761,5
14769,5
14773,2
14779,4
14780,3
14781,3
14782,3
14783,4
14787,1
14788,1
14790,1
14794,2
14795,1
14796,2
14797,3
14798,2
14799,3
14800,4
14801,4
14802,4
14803,3
14805,2
14806,4
14809,1
14810,4
14811,2
14814,2
14825,3
14827,3
14830,4
14832,1
14833,2
14834,4
14835,3
14836,2
14837,1
14838,1
14839,5
14840,3
14841,3
14842,3
14844,3
14845,6
14846,3
14851,4
14852,5
14855,4
14856,4
14857,4
14858,4
14859,3
14860,5
14861,3
14862,2
14863,5
14864,4
14865,1
14866,2
14867,3
14869,2
14870,4
14871,3
14872,4
14875,3
14877,4
14879,3
14882,3
14885,3
14887,3
14888,4
14889,2
14890,2
14893,3
14895,2
14903,3
14904,2
14910,1
14919,3
14923,2
14924,2
14925,5
14926,4
14927,3
