"maz","bg_count"
10001,1
10002,3
10003,2
10004,3
10005,5
10006,2
10007,3
10009,3
10012,4
10017,3
10018,3
10021,3
10022,1
10023,3
10024,1
10025,2
10030,3
10038,6
10039,3
10044,3
10045,3
10047,2
10048,2
10049,2
10052,3
10053,5
10054,3
10055,2
10056,3
10060,3
10062,1
10063,5
10064,3
10065,2
10071,4
10072,4
10073,1
10074,3
10075,2
10076,4
10077,4
10078,3
10079,6
10084,7
10086,3
10087,3
10094,2
10098,4
10099,1
10101,2
10102,4
10104,3
10107,4
10109,1
10110,7
10111,1
10112,6
10114,3
10116,3
10117,6
10119,2
10122,4
10123,1
10124,2
10125,5
10127,3
10128,7
10130,2
10133,5
10137,3
10138,6
10140,1
10141,2
10142,3
10143,3
10144,3
10147,10
10150,2
10151,3
10153,1
10157,4
10159,2
10160,2
10161,3
10162,5
10163,5
10164,3
10165,2
10167,4
10168,3
10169,3
10170,4
10172,3
10173,3
10179,5
10180,3
10181,2
10184,3
10185,1
10186,2
10187,3
10190,3
10192,2
10193,1
10194,2
10195,2
10197,1
10198,3
10200,3
10201,3
10202,5
10203,2
10204,1
10206,4
10207,4
10208,2
10209,2
10210,5
10211,4
10212,2
10213,1
10214,1
10215,3
10218,3
10219,3
10222,2
10223,2
10224,5
10225,3
10226,3
10227,4
10228,4
10229,4
10230,2
10231,1
10232,2
10233,1
10234,3
10235,3
10236,5
10241,2
10242,1
10247,2
10248,2
10249,1
10250,2
10251,3
10252,4
10253,5
10254,4
10255,3
10256,2
10257,5
10258,6
10259,3
10260,1
10261,1
10262,1
10263,2
10265,5
10266,3
10268,2
10269,3
10270,3
10271,5
10272,4
10273,3
10274,3
10275,1
10276,2
10277,3
10278,3
10279,3
10280,2
10281,2
10282,3
10283,2
10284,2
10287,3
10288,1
10289,1
10290,3
10292,2
10295,3
10300,3
10302,4
10308,3
10309,4
10310,2
10312,3
10313,3
10315,4
10316,4
10317,1
10321,1
10322,5
10323,2
10324,6
10325,2
10326,2
10327,3
10328,3
10329,2
10330,1
10331,4
10333,4
10334,4
10335,2
10336,2
10337,2
10338,2
10340,3
10341,4
10344,5
10347,2
10349,2
10350,2
10351,5
10352,4
10353,9
10355,4
10358,2
10359,4
10368,2
10369,3
10370,1
10372,6
10373,4
10375,5
10376,5
10377,1
10378,4
10380,3
10384,4
10385,2
10386,2
10388,3
10390,7
10392,5
10394,3
10395,2
10398,4
10399,1
10400,2
10401,2
10402,1
10403,3
10405,3
10411,5
10413,2
10414,4
10416,4
10417,3
10418,3
10419,3
10420,5
10421,1
10424,2
10425,2
10427,1
10428,1
10429,4
10430,3
10431,1
10432,3
10433,1
10434,3
10435,4
10436,3
10437,5
10438,4
10440,2
10441,2
10443,1
10444,2
10445,5
10446,5
10447,3
10450,2
10452,3
10454,8
10455,2
10456,8
10457,6
10458,5
10460,4
10462,4
10463,1
10464,1
10466,4
10467,3
10468,1
10469,3
10470,3
10472,3
10473,4
10474,2
10476,16
10477,3
10482,2
10483,5
10484,3
10486,4
10487,3
10488,2
10489,3
10490,2
10493,3
10494,4
10496,4
10498,4
10499,4
10501,4
10503,4
10504,3
10507,4
10508,4
10509,5
10512,4
10514,5
10515,2
10517,3
10518,2
10519,2
10520,3
10523,4
10524,5
10525,5
10526,2
10527,3
10528,3
10529,6
10530,3
10532,4
10535,3
10536,3
10538,2
10539,5
10540,3
10541,3
10542,2
10543,3
10544,2
10546,3
10547,2
10549,3
10551,3
10552,2
10553,2
10554,1
10555,2
10564,4
10566,3
10567,4
10572,2
10573,4
10575,4
10576,3
10581,1
10582,1
10585,2
10586,2
10587,5
10590,4
10593,2
10594,3
10595,2
10596,2
10597,4
10598,1
10600,2
10601,4
10602,4
10604,4
10605,3
10606,3
10607,4
10608,3
10609,2
10610,1
10611,3
10612,5
10613,1
10614,4
10627,4
10628,3
10632,3
10635,2
10637,4
10642,1
10646,4
10649,6
10650,5
10654,3
10655,1
10658,2
10659,7
10660,3
10665,2
10666,3
10667,1
10668,3
10669,5
10670,2
10671,3
10675,8
10677,2
10680,5
10681,5
10683,2
10684,2
10685,3
10686,3
10693,3
10695,4
10696,6
10697,4
10698,3
10699,2
10700,3
10701,5
10702,2
10703,5
10704,3
10705,4
10706,4
10707,2
10708,2
10711,2
10713,4
10714,4
10716,3
10717,3
10718,5
10720,2
10721,2
10722,2
10724,3
10725,2
10726,1
10727,2
10728,3
10731,8
10734,4
10735,1
10736,3
10743,2
10744,3
10745,4
10750,3
10751,2
10753,2
10754,4
10756,3
10760,1
10761,3
10762,4
10763,3
10764,4
10765,4
10766,2
10767,3
10768,3
10769,16
10770,3
10771,2
10772,4
10773,2
10774,4
10775,2
10776,5
10780,3
10782,4
10783,1
10786,2
10787,1
10790,3
10791,5
10793,4
10795,2
10798,3
10801,3
10803,4
10805,1
10806,2
10809,3
10810,3
10811,3
10812,3
10813,1
10814,3
10817,1
10818,1
10819,1
10822,5
10823,3
10834,2
10835,3
10837,2
10838,3
10839,3
10840,4
10843,3
10847,3
10848,4
10849,3
10850,1
10851,2
10852,2
10853,5
10854,3
10856,2
10857,3
10858,3
10859,3
10860,2
10861,3
10863,3
10864,3
10865,1
10866,1
10867,1
10868,1
10871,6
10873,1
10874,3
10876,2
10877,3
10878,2
10879,2
10881,4
10882,4
10883,3
10884,3
10885,2
10886,3
10887,4
10889,5
10890,2
10891,4
10892,5
10893,5
10894,3
10895,3
10896,3
10897,4
10898,3
10899,4
10900,3
10901,2
10902,1
10904,4
10906,3
10907,1
10908,4
10909,6
10910,2
10911,3
10912,3
10913,2
10914,3
10915,3
10916,3
10917,3
10920,4
10922,3
10924,2
10925,5
10927,5
10929,5
10930,3
10933,2
10934,1
10936,2
10937,1
10938,1
10939,3
10940,2
10941,3
10944,6
10947,3
10948,3
10950,4
10951,5
10955,1
10956,1
10957,5
10958,4
10959,3
10961,4
10962,3
10964,3
10965,2
10966,5
10967,1
10970,3
10972,1
10975,3
10976,4
10977,3
10978,2
10982,1
10983,1
10984,3
10985,3
10986,3
10989,3
10990,2
10991,5
10992,4
10993,3
10994,3
10995,5
10996,4
10997,3
10999,4
11001,5
11002,2
11004,3
11005,2
11006,4
11008,2
11011,1
11013,4
11014,4
11015,4
11018,6
11021,4
11026,7
11027,3
11028,2
11031,1
11033,2
11038,3
11039,2
11041,2
11042,2
11044,3
11046,5
11051,4
11055,4
11056,4
11059,2
11060,2
11062,3
11063,3
11064,2
11065,3
11067,3
11068,3
11071,9
11073,6
11074,5
11075,2
11079,2
11080,4
11081,4
11082,3
11083,4
11085,5
11086,5
11087,3
11090,3
11092,3
11093,5
11094,1
11095,4
11096,1
11097,4
11098,5
11099,3
11100,4
11101,1
11102,3
11103,3
11104,5
11106,1
11107,5
11108,3
11109,4
11118,3
11120,1
11121,5
11122,5
11125,6
11127,4
11128,2
11129,2
11130,1
11132,2
11133,3
11134,1
11135,2
11136,3
11138,3
11139,3
11145,2
11146,3
11147,4
11148,1
11149,2
11150,2
11151,1
11152,3
11153,3
11154,4
11155,3
11156,4
11157,2
11159,3
11160,3
11162,2
11163,4
11164,3
11165,3
11166,3
11167,3
11168,4
11169,5
11171,3
11172,7
11173,2
11174,3
11175,4
11176,1
11177,2
11178,2
11179,4
11180,6
11181,3
11182,3
11183,1
11184,7
11186,4
11190,4
11191,2
11192,5
11195,5
11196,2
11198,4
11199,4
11200,3
11201,3
11203,3
11204,2
11205,3
11206,5
11207,4
11208,2
11210,2
11211,5
11213,2
11216,4
11221,1
11222,3
11223,3
11224,3
11225,2
11226,1
11228,1
11229,3
11230,3
11231,3
11232,4
11234,3
11236,3
11237,3
11238,1
11239,3
11240,3
11241,1
11242,2
11243,1
11245,6
11250,1
11251,3
11257,4
11259,3
11260,5
11261,3
11263,4
11264,3
11267,3
11268,1
11269,2
11270,2
11274,3
11280,5
11283,4
11284,4
11287,2
11293,2
11294,2
11297,3
11298,3
11299,3
11300,1
11301,3
11302,2
11303,3
11304,2
11306,3
11307,3
11309,3
11312,3
11315,1
11316,4
11319,4
11323,4
11324,4
11326,4
11328,5
11329,7
11330,6
11332,5
11333,3
11335,4
11337,3
11339,4
11341,3
11342,2
11343,3
11344,3
11345,2
11347,3
11349,2
11350,1
11351,5
11352,2
11353,2
11355,4
11358,2
11359,2
11360,2
11361,3
11367,3
11368,1
11369,1
11371,3
11374,4
11375,4
11376,3
11377,3
11378,4
11381,4
11382,4
11384,3
11385,3
11386,2
11388,4
11389,1
11390,2
11391,4
11392,2
11393,4
11394,3
11396,3
11397,3
11398,1
11399,2
11401,4
11402,2
11403,5
11405,5
11409,4
11411,3
11418,2
11419,2
11422,5
11423,3
11424,6
11425,2
11426,3
11427,3
11429,1
11431,2
11432,2
11433,3
11434,3
11435,3
11436,3
11437,3
11438,3
11439,3
11440,2
11441,3
11442,3
11444,4
11449,4
11453,3
11454,3
11457,1
11459,4
11461,7
11462,2
11463,4
11464,3
11466,3
11467,2
11468,1
11469,5
11471,3
11473,3
11474,4
11475,2
11476,1
11485,1
11486,1
11487,1
11489,5
11490,3
11491,4
11492,4
11495,5
11496,3
11497,3
11498,4
11499,4
11500,5
11501,4
11502,4
11504,4
11505,3
11506,2
11508,2
11509,10
11512,6
11513,1
11514,3
11515,2
11517,5
11522,5
11523,4
11524,4
11525,3
11527,3
11529,4
11530,5
11531,3
11533,3
11541,1
11544,2
11547,1
11548,2
11549,1
11550,1
11557,1
11558,1
11560,3
11569,8
11574,3
11578,2
11579,3
11582,2
11585,2
11586,3
11587,2
11588,3
11589,2
11590,5
11591,5
11594,4
11597,3
11598,3
11599,4
11600,4
11601,7
11602,4
11603,2
11604,2
11605,2
11606,4
11610,3
11611,1
11612,2
11613,4
11614,4
11615,3
11616,5
11617,1
11618,2
11620,2
11622,1
11623,1
11625,4
11626,5
11627,4
11628,2
11629,4
11630,2
11631,3
11632,2
11633,2
11634,2
11635,3
11638,2
11640,2
11641,3
11642,3
11643,4
11646,2
11647,1
11648,2
11649,3
11653,1
11656,1
11658,4
11661,2
11664,3
11666,2
11667,3
11669,3
11670,1
11673,1
11674,8
11676,8
11677,2
11678,2
11679,6
11680,3
11681,3
11682,3
11683,4
11684,3
11685,2
11686,3
11687,3
11692,1
11693,3
11694,6
11697,2
11698,3
11699,2
11701,2
11703,1
11708,4
11715,2
11716,2
11717,3
11719,1
11726,4
11727,2
11728,1
11730,4
11731,2
11735,2
11736,3
11737,4
11741,2
11744,4
11746,3
11747,3
11752,1
11754,3
11756,8
11757,7
11759,1
11762,1
11764,4
11767,2
11768,5
11769,1
11770,2
11771,5
11773,5
11774,3
11785,4
11786,3
11790,2
11792,3
11794,4
11795,3
11796,3
11797,1
11798,3
11799,7
11800,2
11801,2
11802,2
11803,3
11804,3
11805,1
11806,5
11807,4
11809,3
11814,2
11816,3
11817,1
11818,4
11819,2
11820,3
11821,2
11822,4
11823,2
11824,4
11826,2
11828,4
11831,7
11839,4
11842,4
11843,1
11845,4
11846,4
11847,3
11848,2
11851,2
11852,2
11853,5
11854,2
11855,5
11856,5
11861,2
11864,2
11867,1
11868,3
11869,1
11871,1
11874,4
11879,4
11881,3
11882,3
11884,3
11887,6
11888,1
11889,3
11890,1
11891,2
11892,4
11893,4
11894,1
11895,3
11897,2
11901,6
11902,3
11903,2
11907,3
11908,3
11911,1
11912,2
11913,2
11914,3
11915,2
11916,3
11917,2
11920,4
11921,2
11922,4
11923,1
11924,3
11925,4
11927,3
11929,3
11930,3
11932,3
11933,3
11934,4
11937,2
11938,3
11939,3
11940,3
11941,4
11942,3
11943,1
11944,2
11945,3
11946,3
11947,3
11948,3
11949,1
11950,2
11951,3
11952,3
11953,1
11954,1
11957,2
11961,2
11964,3
11965,4
11966,4
11967,3
11969,3
11972,4
11973,4
11974,2
11975,2
11976,4
11977,3
11978,3
11979,3
11983,3
11984,4
11985,3
11988,3
11989,4
11991,5
11992,5
11993,3
11997,2
11998,2
11999,1
12001,4
12002,2
12003,3
12004,4
12005,5
12006,3
12007,3
12008,3
12009,1
12010,3
12011,2
12012,5
12014,3
12016,4
12017,3
12020,2
12023,4
12027,3
12028,4
12035,3
12036,2
12037,3
12039,2
12040,3
12041,5
12045,2
12046,3
12050,3
12052,3
12054,2
12057,3
12060,6
12064,7
12070,3
12071,2
12072,4
12073,5
12074,5
12075,3
12078,1
12079,5
12083,2
12084,3
12086,4
12091,2
12092,1
12093,1
12094,4
12095,4
12096,2
12097,4
12098,4
12099,3
12103,2
12104,5
12107,2
12110,2
12113,1
12114,1
12119,6
12120,1
12121,2
12122,3
12123,1
12124,3
12127,2
12130,7
12131,4
12132,4
12133,7
12134,3
12135,3
12136,4
12137,4
12138,3
12139,3
12140,3
12141,1
12142,4
12143,3
12144,3
12145,3
12146,2
12147,4
12149,5
12153,5
12156,3
12157,2
12159,3
12160,2
12161,1
12162,2
12163,1
12164,3
12168,2
12169,4
12170,1
12171,2
12172,2
12173,3
12176,1
12178,5
12179,3
12180,2
12181,3
12182,6
12188,4
12191,6
12192,3
12193,7
12194,5
12195,6
12196,7
12197,7
12201,4
12202,5
12203,1
12204,5
12205,3
12207,5
12208,2
12209,2
12210,4
12211,4
12212,6
12214,2
12215,3
12216,3
12217,1
12219,4
12221,7
12222,3
12223,3
12225,4
12226,6
12227,4
12229,4
12230,3
12232,6
12233,5
12236,2
12237,4
12238,1
12241,1
12242,5
12243,2
12245,2
12246,2
12248,1
12251,3
12252,3
12259,4
12270,3
