"","Timestamp","Metric","Value"
"80",2025-05-19 08:36:41.775,"Processor Queue Length",0
"81",2025-05-19 08:37:11.762,"% Committed Bytes In Use",2.79336480954507
"82",2025-05-19 08:37:11.762,"Available MBytes",1530124
"83",2025-05-19 08:37:11.762,"Pages/sec",0.266807832912342
"84",2025-05-19 08:37:11.762,"Bytes Total/sec",509.102696175862
"85",2025-05-19 08:37:11.762,"Avg. Disk sec/Read",0.0015178
"86",2025-05-19 08:37:11.762,"Avg. Disk sec/Write",0.00078039649122807
"87",2025-05-19 08:37:11.762,"Current Disk Queue Length",0
"88",2025-05-19 08:37:11.762,"% Processor Time",0.0187179224230616
"89",2025-05-19 08:37:11.762,"Context Switches/sec",5843.15824273851
"90",2025-05-19 08:37:11.762,"Processor Queue Length",0
"91",2025-05-19 08:37:41.765,"% Committed Bytes In Use",2.79343563662689
"92",2025-05-19 08:37:41.765,"Available MBytes",1530122
"93",2025-05-19 08:37:41.765,"Pages/sec",0.299996570039216
"94",2025-05-19 08:37:41.765,"Bytes Total/sec",1328.78480756037
"95",2025-05-19 08:37:41.765,"Avg. Disk sec/Read",0.0014378
"96",2025-05-19 08:37:41.765,"Avg. Disk sec/Write",0.000580214563106796
"97",2025-05-19 08:37:41.765,"Current Disk Queue Length",0
"98",2025-05-19 08:37:41.765,"% Processor Time",0.0341593365868031
"99",2025-05-19 08:37:41.765,"Context Switches/sec",6417.32662856555
"100",2025-05-19 08:37:41.765,"Processor Queue Length",0
"101",2025-05-19 08:38:11.784,"% Committed Bytes In Use",2.79368239054309
"102",2025-05-19 08:38:11.784,"Available MBytes",1530121
"103",2025-05-19 08:38:11.784,"Pages/sec",0.0333161160087949
"104",2025-05-19 08:38:11.784,"Bytes Total/sec",1299.66168550309
"105",2025-05-19 08:38:11.784,"Avg. Disk sec/Read",0
"106",2025-05-19 08:38:11.784,"Avg. Disk sec/Write",0.000690177419354839
"107",2025-05-19 08:38:11.784,"Current Disk Queue Length",0
"108",2025-05-19 08:38:11.784,"% Processor Time",0.0284224332309124
"109",2025-05-19 08:38:11.784,"Context Switches/sec",6056.60336147084
"110",2025-05-19 08:38:11.784,"Processor Queue Length",0
"111",2025-05-19 08:38:41.771,"% Committed Bytes In Use",2.79674441618769
"112",2025-05-19 08:38:41.771,"Available MBytes",1530060
"113",2025-05-19 08:38:41.771,"Pages/sec",80.3418168444433
"114",2025-05-19 08:38:41.771,"Bytes Total/sec",443.464150510819
"115",2025-05-19 08:38:41.771,"Avg. Disk sec/Read",0
"116",2025-05-19 08:38:41.771,"Avg. Disk sec/Write",0.00261295774193548
"117",2025-05-19 08:38:41.771,"Current Disk Queue Length",0
"118",2025-05-19 08:38:41.771,"% Processor Time",0.131842191354015
"119",2025-05-19 08:38:41.771,"Context Switches/sec",6133.85925862599
"120",2025-05-19 08:38:41.771,"Processor Queue Length",0
"121",2025-05-19 08:39:11.774,"% Committed Bytes In Use",2.82969926549813
