weighted_hhwrks0,weighted_hhwrks1,weighted_hhwrks2,weighted_hhwrks3p,weighted_ownkidsyes,weighted_rentkidsyes,weighted_ownkidsno,weighted_rentkidsno,taz,county_fips,TAZ1454
306.0,921.0,851.0,338.0,424.0,370.0,1071.0,551.0,1065,06013,1065
541.0,1096.0,518.0,252.0,178.0,760.0,523.0,946.0,1066,06013,1066
184.0,582.0,352.0,177.0,313.0,377.0,274.0,331.0,1067,06013,1067
217.0,573.0,376.0,236.0,390.0,356.0,431.0,225.0,1068,06013,1068
380.0,652.0,433.0,167.0,327.0,481.0,586.0,238.0,1069,06013,1069
46.0,306.0,314.0,95.0,7.0,137.0,155.0,462.0,107,06075,107
173.0,479.0,219.0,308.0,214.0,334.0,430.0,201.0,1070,06013,1070
430.0,496.0,485.0,297.0,367.0,546.0,435.0,360.0,1071,06013,1071
218.0,744.0,493.0,264.0,323.0,335.0,439.0,622.0,1072,06013,1072
619.0,701.0,463.0,190.0,144.0,441.0,755.0,633.0,1073,06013,1073
587.0,1030.0,814.0,258.0,580.0,150.0,1514.0,445.0,1074,06013,1074
119.0,383.0,445.0,73.0,86.0,268.0,409.0,257.0,1075,06013,1075
247.0,365.0,533.0,64.0,163.0,55.0,793.0,198.0,1076,06013,1076
378.0,548.0,659.0,164.0,275.0,284.0,862.0,328.0,1077,06013,1077
318.0,590.0,530.0,251.0,227.0,426.0,631.0,405.0,1078,06013,1078
544.0,479.0,327.0,198.0,272.0,54.0,1113.0,109.0,1079,06013,1079
225.0,258.0,240.0,0.0,6.0,28.0,205.0,484.0,108,06075,108
464.0,439.0,716.0,228.0,513.0,258.0,723.0,353.0,1080,06013,1080
352.0,474.0,351.0,340.0,227.0,373.0,818.0,99.0,1081,06013,1081
378.0,620.0,618.0,184.0,260.0,317.0,903.0,320.0,1082,06013,1082
346.0,768.0,683.0,110.0,312.0,169.0,867.0,559.0,1083,06013,1083
676.0,659.0,837.0,213.0,450.0,100.0,1423.0,412.0,1084,06013,1084
327.0,452.0,439.0,316.0,346.0,120.0,928.0,140.0,1085,06013,1085
400.0,765.0,906.0,241.0,527.0,166.0,1323.0,296.0,1086,06013,1086
480.0,556.0,695.0,319.0,544.0,51.0,1296.0,159.0,1087,06013,1087
334.0,318.0,264.0,263.0,327.0,42.0,594.0,216.0,1088,06013,1088
739.0,707.0,689.0,132.0,324.0,540.0,750.0,653.0,1089,06013,1089
147.26172025236218,267.4484157049627,493.95411098101755,34.33905584360015,93.77203711136964,127.45072649643902,141.97878858411602,579.801750590018,109,06075,109
499.0,554.0,314.0,118.0,161.0,111.0,720.0,493.0,1090,06013,1090
437.0,619.0,384.0,63.0,212.0,203.0,553.0,535.0,1091,06013,1091
274.0,203.0,53.0,11.0,26.0,81.0,110.0,324.0,1092,06013,1092
176.0,522.0,263.0,64.0,81.0,138.0,247.0,559.0,1093,06013,1093
338.0,514.0,597.0,57.0,240.0,194.0,843.0,229.0,1094,06013,1094
140.0,371.0,459.0,52.0,286.0,87.0,481.0,168.0,1095,06013,1095
421.0,958.0,995.0,129.0,555.0,367.0,1173.0,408.0,1096,06013,1096
145.0,403.0,474.0,154.0,139.0,135.0,719.0,183.0,1097,06013,1097
32.0,394.0,224.0,78.0,241.0,122.0,201.0,164.0,1098,06013,1098
382.0,622.0,357.0,201.0,347.0,176.0,878.0,161.0,1099,06013,1099
615.0,686.0,327.0,130.0,0.0,271.0,32.0,1455.0,11,06075,11
298.73827974763776,542.5515842950373,1002.0458890189824,69.66094415639984,190.22796288863034,258.549273503561,288.02121141588395,1176.198249409982,110,06075,110
523.0,629.0,543.0,49.0,464.0,166.0,910.0,204.0,1100,06013,1100
209.96022166230387,261.4504664985355,276.94753047837224,72.9861722921342,269.44895113328994,64.98768765737977,481.9086992439546,4.99905289672152,1101,06013,1101
210.03977833769616,261.5495335014645,277.0524695216278,73.01382770786581,269.55104886671006,65.01231234262025,482.0913007560455,5.00094710327848,1102,06013,1102
272.0,467.0,596.0,293.0,479.0,150.0,930.0,69.0,1103,06013,1103
208.6324261273226,319.7413228323386,244.0514194001006,49.0043605554874,172.2430494772082,106.25697981833406,394.94603457590836,147.9834650437986,1104,06013,1104
221.36757387267735,339.25867716766135,258.94858059989934,51.99563944451259,182.75695052279178,112.74302018166591,419.0539654240916,157.01653495620138,1105,06013,1105
870.0,660.0,338.0,69.0,124.0,133.0,1097.0,583.0,1106,06013,1106
307.0,418.0,381.0,282.0,195.0,155.0,542.0,496.0,1107,06013,1107
369.0,860.0,723.0,183.0,498.0,197.0,1178.0,262.0,1108,06013,1108
446.0,835.0,1355.0,206.0,791.0,337.0,1381.0,333.0,1109,06013,1109
111.0,662.0,904.0,44.0,121.0,134.0,389.0,1077.0,111,06075,111
882.0,1262.0,489.0,226.0,413.0,240.0,1360.0,846.0,1110,06013,1110
493.0,625.0,712.0,199.0,433.0,265.0,1165.0,166.0,1111,06013,1111
449.0,647.0,625.0,333.0,366.0,221.0,845.0,622.0,1112,06013,1112
505.0,532.0,287.0,43.0,0.0,97.0,72.0,1198.0,1113,06013,1113
332.0,870.0,364.0,60.0,71.0,720.0,238.0,597.0,1114,06013,1114
143.0,586.0,552.0,352.0,22.0,626.0,197.0,788.0,1115,06013,1115
185.0,236.0,472.0,220.0,273.0,116.0,543.0,181.0,1116,06013,1116
216.0,345.0,453.0,133.0,240.0,104.0,633.0,170.0,1117,06013,1117
395.0,896.0,551.0,197.0,350.0,230.0,1104.0,355.0,1118,06013,1118
328.0,412.0,501.0,122.0,266.0,70.0,898.0,129.0,1119,06013,1119
102.0,403.0,365.0,132.0,146.0,38.0,294.0,524.0,112,06075,112
408.0,533.0,341.0,94.0,110.0,242.0,712.0,312.0,1120,06013,1120
407.0,1238.0,686.0,157.0,192.0,377.0,561.0,1358.0,1121,06013,1121
288.0,291.0,336.0,270.0,251.0,38.0,869.0,27.0,1122,06013,1122
555.0,932.0,646.0,222.0,369.0,524.0,539.0,923.0,1123,06013,1123
498.0,799.0,954.0,207.0,681.0,190.0,1273.0,314.0,1124,06013,1124
539.0,527.0,524.0,203.0,410.0,129.0,1002.0,252.0,1125,06013,1125
625.0,1173.0,675.0,180.0,651.0,136.0,1703.0,163.0,1126,06013,1126
637.0,772.0,719.0,255.0,632.0,106.0,1354.0,291.0,1127,06013,1127
370.0,554.0,719.0,48.0,429.0,208.0,863.0,191.0,1128,06013,1128
676.0,724.0,704.0,277.0,569.0,88.0,1099.0,625.0,1129,06013,1129
257.0,502.0,307.0,85.0,133.0,111.0,528.0,379.0,113,06075,113
484.0,446.0,371.0,84.0,434.0,18.0,790.0,143.0,1130,06013,1130
649.0,695.0,573.0,331.0,651.0,106.0,1380.0,111.0,1131,06013,1131
337.0,634.0,522.0,100.0,544.0,123.0,859.0,67.0,1132,06013,1132
568.0,438.0,550.0,115.0,392.0,184.0,961.0,134.0,1133,06013,1133
571.0,933.0,727.0,88.0,326.0,449.0,813.0,731.0,1134,06013,1134
656.0,1110.0,1079.0,175.0,261.0,557.0,1330.0,872.0,1135,06013,1135
294.0,1425.0,1039.0,45.0,332.0,173.0,745.0,1553.0,1136,06013,1136
319.0,633.0,476.0,85.0,457.0,36.0,930.0,90.0,1137,06013,1137
705.0,1010.0,620.0,87.0,440.0,99.0,1433.0,450.0,1138,06013,1138
290.0,442.0,441.0,53.0,409.0,22.0,777.0,18.0,1139,06013,1139
265.0,521.0,605.0,114.0,279.0,71.0,683.0,472.0,114,06075,114
404.0,327.0,323.0,73.0,275.0,13.0,745.0,94.0,1140,06013,1140
531.0,641.0,780.0,68.0,423.0,153.0,1279.0,165.0,1141,06013,1141
291.0,447.0,487.0,95.0,393.0,28.0,745.0,154.0,1142,06013,1142
386.0,457.0,671.0,57.0,376.0,128.0,786.0,281.0,1143,06013,1143
619.0,741.0,578.0,233.0,339.0,326.0,784.0,722.0,1144,06013,1144
470.0,1151.0,622.0,6.0,52.0,244.0,174.0,1779.0,1145,06013,1145
191.0,1246.0,547.0,21.0,0.0,299.0,279.0,1427.0,1146,06013,1146
551.7500620672894,372.19238462150787,429.027167678576,89.02439470000932,319.8842657017284,72.42662619661775,696.1003517786039,353.5827653904325,1147,06013,1147
1086.0,188.0,36.0,0.0,0.0,0.0,1291.0,19.0,1148,06013,1148
413.0,755.0,678.0,131.0,469.0,222.0,829.0,457.0,1149,06013,1149
64.0,301.0,267.0,115.0,33.0,113.0,241.0,360.0,115,06075,115
646.0,967.0,551.0,87.0,384.0,307.0,902.0,658.0,1150,06013,1150
468.0,647.0,861.0,54.0,751.0,103.0,1127.0,49.0,1151,06013,1151
431.0,955.0,1020.0,84.0,409.0,341.0,841.0,899.0,1152,06013,1152
332.0,492.0,612.0,74.0,489.0,82.0,928.0,11.0,1153,06013,1153
810.0,904.0,934.0,103.0,756.0,55.0,1751.0,189.0,1154,06013,1154
154.0,349.0,284.0,22.0,285.0,27.0,444.0,53.0,1155,06013,1155
353.0,475.0,513.0,99.0,553.0,54.0,760.0,73.0,1156,06013,1156
385.0,283.0,329.0,107.0,248.0,75.0,693.0,88.0,1157,06013,1157
556.0,1009.0,681.0,87.0,677.0,124.0,1097.0,435.0,1158,06013,1158
312.0,276.0,264.0,45.0,245.0,55.0,553.0,44.0,1159,06013,1159
175.0,594.0,684.0,327.0,276.0,321.0,428.0,755.0,116,06075,116
426.0,613.0,588.0,51.0,601.0,75.0,974.0,28.0,1160,06013,1160
652.0,1105.0,817.0,219.0,635.0,345.0,1325.0,488.0,1161,06013,1161
545.2499379327106,367.80761537849213,423.972832321424,87.97560529999068,316.1157342982716,71.57337380338225,687.8996482213961,349.4172346095675,1162,06013,1162
437.0,493.0,267.0,89.0,380.0,31.0,838.0,37.0,1163,06013,1163
514.0,533.0,528.0,193.0,493.0,11.0,1181.0,83.0,1164,06013,1164
654.0,372.0,374.0,53.0,345.0,8.0,1052.0,48.0,1165,06013,1165
580.0,948.0,1202.0,154.0,1172.0,47.0,1424.0,241.0,1166,06013,1166
739.0,1040.0,773.0,76.0,744.0,47.0,1569.0,268.0,1167,06013,1167
313.0,826.0,442.0,34.0,393.0,137.0,606.0,479.0,1168,06013,1168
505.0,755.0,727.0,203.0,627.0,233.0,1132.0,198.0,1169,06013,1169
151.0,461.0,441.0,408.0,155.0,257.0,369.0,680.0,117,06075,117
117.0,1081.0,715.0,104.0,530.0,280.0,465.0,742.0,1170,06013,1170
541.0,552.0,904.0,189.0,772.0,183.0,954.0,277.0,1171,06013,1171
240.0,567.0,953.0,270.0,884.0,201.0,832.0,113.0,1172,06013,1172
109.0,426.0,560.0,130.0,595.0,30.0,586.0,14.0,1173,06013,1173
645.0,457.0,653.0,219.0,605.0,99.0,889.0,381.0,1174,06013,1174
354.0,1298.0,530.0,168.0,804.0,284.0,703.0,559.0,1175,06013,1175
531.0,854.0,747.0,47.0,540.0,47.0,1453.0,139.0,1176,06013,1176
176.0,171.0,176.0,75.0,139.0,54.0,233.0,172.0,1177,06013,1177
235.0,547.0,527.0,198.0,556.0,165.0,711.0,75.0,1178,06013,1178
452.0,735.0,623.0,394.0,982.0,315.0,767.0,140.0,1179,06013,1179
181.0,438.0,500.0,326.0,165.0,327.0,179.0,774.0,118,06075,118
233.0,313.0,440.0,65.0,388.0,146.0,450.0,67.0,1180,06013,1180
502.0,780.0,404.0,148.0,462.0,109.0,884.0,379.0,1181,06013,1181
181.0,412.0,469.0,187.0,444.0,143.0,463.0,199.0,1182,06013,1182
290.0,827.0,131.0,106.0,116.0,296.0,665.0,277.0,1183,06013,1183
170.0,488.0,520.0,90.0,450.0,64.0,627.0,127.0,1184,06013,1184
251.0,610.0,653.0,400.0,484.0,323.0,801.0,306.0,1185,06013,1185
451.0,499.0,561.0,480.0,417.0,333.0,972.0,269.0,1186,06013,1186
1162.0,949.0,398.0,254.0,802.0,330.0,1325.0,306.0,1187,06013,1187
485.0,515.0,380.0,290.0,306.0,278.0,670.0,416.0,1188,06013,1188
512.0,1073.0,370.0,177.0,110.0,747.0,403.0,872.0,1189,06013,1189
64.0,308.0,245.0,121.0,37.0,95.0,290.0,316.0,119,06075,119
434.0,785.0,234.0,92.0,24.0,779.0,195.0,547.0,1190,06013,1190
377.0,714.0,501.0,222.0,274.0,521.0,536.0,483.0,1191,06013,1191
411.0,437.0,419.0,151.0,283.0,189.0,810.0,136.0,1192,06013,1192
626.0,1047.0,732.0,172.0,187.0,819.0,806.0,765.0,1193,06013,1193
362.0,536.0,314.0,211.0,263.0,139.0,834.0,187.0,1194,06013,1194
463.0,422.0,518.0,261.0,409.0,142.0,1039.0,74.0,1195,06013,1195
264.0,690.0,656.0,365.0,505.0,144.0,834.0,492.0,1196,06013,1196
172.0,446.0,277.0,148.0,185.0,340.0,399.0,119.0,1197,06013,1197
298.0,644.0,462.0,92.0,137.0,412.0,505.0,442.0,1198,06013,1198
577.0,357.0,704.0,63.0,190.0,294.0,636.0,581.0,1199,06013,1199
95.94441005057298,150.66270640754038,145.04096363113962,33.35567380664451,32.23132525136436,0.0,245.48276790283322,147.28966074169992,12,06075,12
157.0,248.0,494.0,186.0,105.0,143.0,284.0,553.0,120,06075,120
305.0,738.0,609.0,137.0,309.0,359.0,612.0,509.0,1200,06013,1200
26.0,216.0,178.0,87.0,150.0,62.0,252.0,43.0,1201,06013,1201
273.0,316.0,619.0,300.0,219.0,441.0,596.0,252.0,1202,06013,1202
315.0,459.0,530.0,124.0,341.0,353.0,451.0,283.0,1203,06013,1203
219.0,241.0,123.0,95.0,59.0,198.0,179.0,242.0,1204,06013,1204
444.0,486.0,309.0,47.0,239.0,103.0,510.0,434.0,1205,06013,1205
623.0,626.0,425.0,240.0,247.0,438.0,867.0,362.0,1206,06013,1206
176.0,744.0,581.0,364.0,413.0,304.0,950.0,198.0,1207,06013,1207
177.0,453.0,227.0,447.0,259.0,366.0,431.0,248.0,1208,06013,1208
196.0,558.0,425.0,236.0,221.0,468.0,364.0,362.0,1209,06013,1209
143.0,459.0,598.0,89.0,339.0,103.0,423.0,424.0,121,06075,121
306.0,608.0,487.0,290.0,524.0,496.0,545.0,126.0,1210,06013,1210
421.0,539.0,518.0,133.0,297.0,225.0,805.0,284.0,1211,06095,1211
790.0,1072.0,574.0,77.0,236.0,285.0,1404.0,588.0,1212,06095,1212
336.0,534.0,380.0,51.0,282.0,110.0,711.0,198.0,1213,06095,1213
343.0,551.0,382.0,143.0,262.0,141.0,691.0,325.0,1214,06095,1214
429.0,791.0,445.0,93.0,265.0,288.0,822.0,383.0,1215,06095,1215
267.0,489.0,438.0,88.0,269.0,46.0,767.0,200.0,1216,06095,1216
340.0,563.0,779.0,156.0,677.0,176.0,917.0,68.0,1217,06095,1217
356.0,601.0,715.0,215.0,470.0,227.0,581.0,609.0,1218,06095,1218
232.0,643.0,359.0,50.0,250.0,61.0,732.0,241.0,1219,06095,1219
564.0,683.0,847.0,185.0,334.0,181.0,1098.0,666.0,122,06075,122
280.0,464.0,473.0,165.0,232.0,84.0,800.0,266.0,1220,06095,1220
247.0,476.0,451.0,213.0,342.0,227.0,589.0,229.0,1221,06095,1221
196.51561219513073,356.6209713693362,224.44676519748432,34.913941252942,89.77870607899372,103.24551199084279,299.76112418597353,319.7119477590832,1222,06095,1222
280.0,540.0,303.0,62.0,241.0,211.0,527.0,206.0,1223,06095,1223
599.0,799.0,174.0,0.0,0.0,367.0,120.0,1085.0,1224,06095,1224
161.0,695.0,217.0,19.0,183.0,248.0,230.0,431.0,1225,06095,1225
264.0,376.0,214.0,201.0,60.0,221.0,451.0,323.0,1226,06095,1226
239.0,552.0,92.0,183.0,132.0,172.0,552.0,210.0,1227,06095,1227
124.0,331.0,318.0,54.0,218.0,149.0,329.0,131.0,1228,06095,1228
310.0,503.0,487.0,141.0,278.0,257.0,500.0,406.0,1229,06095,1229
261.0,632.0,666.0,174.0,232.0,159.0,533.0,809.0,123,06075,123
418.0,509.0,278.0,209.0,296.0,219.0,669.0,230.0,1230,06095,1230
303.0,420.0,299.0,93.0,191.0,179.0,438.0,307.0,1231,06095,1231
257.0,477.0,284.0,209.0,158.0,259.0,371.0,439.0,1232,06095,1232
231.0,479.0,364.0,76.0,242.0,140.0,555.0,213.0,1233,06095,1233
306.0,659.0,202.0,94.0,80.0,394.0,247.0,540.0,1234,06095,1234
240.0,611.0,177.0,44.0,20.0,312.0,263.0,477.0,1235,06095,1235
309.0,628.0,294.0,75.0,117.0,224.0,337.0,628.0,1236,06095,1236
154.0,318.0,333.0,127.0,197.0,165.0,340.0,230.0,1237,06095,1237
197.48438780486927,358.37902863066375,225.55323480251565,35.08605874705799,90.22129392100626,103.7544880091572,301.23887581402647,321.2880522409167,1238,06095,1238
140.0,258.0,332.0,165.0,185.0,79.0,455.0,176.0,1239,06095,1239
