taz,emp_lodes,emp_self
1,16820,1069
10,24494,1040
100,2128,355
1000,804,305
1001,307,185
1002,742,308
1003,2853,357
1004,508,347
1005,189,245
1006,824,241
1007,266,53
1008,1733,316
1009,593,264
101,3057,792
1010,1286,297
1011,1277,417
1012,527,231
1013,218,133
1014,11997,2106
1015,855,144
1016,750,192
1017,705,403
1018,6343,1042
1019,368,172
102,1633,377
1020,327,198
1021,14506,388
1022,2900,277
1023,935,206
1024,261,266
1025,537,243
1026,350,159
1027,1186,445
1028,144,183
1029,771,238
103,981,386
1030,153,192
1031,220,344
1032,133,98
1033,981,551
1034,410,494
1035,477,146
1036,565,453
1037,416,238
1038,910,66
1039,857,264
104,1817,386
1040,253,47
1041,1141,170
1042,208,187
1043,459,355
1044,235,241
1045,179,102
1046,128,115
1047,474,175
1048,329,270
1049,843,252
105,1563,358
1050,1024,170
1051,1999,231
1052,83,102
1053,306,387
1054,338,109
1055,673,163
1056,856,103
1057,194,52
1058,1184,148
1059,5367,725
106,3664,578
1060,938,107
1061,772,60
1062,5432,468
1063,1805,170
1064,241,52
1065,514,251
1066,2445,124
1067,458,162
1068,1272,152
1069,6885,380
107,26622,825
1070,233,32
1071,358,123
1072,1158,115
1073,311,40
1074,2063,333
1075,575,150
1076,219,107
1077,360,157
1078,413,171
1079,846,366
108,4430,457
1080,567,47
1081,158,57
1082,685,323
1083,3490,831
1084,455,361
1085,526,143
1086,686,70
1087,196,123
1088,234,20
1089,914,135
109,5747,580
1090,813,60
1091,4441,130
1092,1697,231
1093,3427,59
1094,2833,235
1095,2985,157
1096,3162,370
1097,9520,641
1098,685,14
1099,898,230
11,10902,611
110,6845,208
1100,1004,198
1101,308,209
1102,90,34
1103,875,318
1104,126,147
1105,51,35
1106,1305,345
1107,335,155
1108,892,95
1109,1515,87
111,6875,729
1110,1186,402
1111,626,152
1112,1519,180
1113,8201,743
1114,355,47
1115,452,34
1116,1915,101
1117,219,189
1118,3009,773
1119,861,353
112,786,225
1120,659,245
1121,8642,1273
1122,14184,826
1123,2100,170
1124,3168,217
1125,488,127
1126,375,282
1127,2905,372
1128,736,304
1129,1622,304
113,920,449
1130,295,143
1131,283,308
1132,707,362
1133,1027,648
1134,2346,205
1135,710,422
1136,2434,335
1137,8372,712
1138,870,182
1139,151,143
114,1247,281
1140,1399,87
1141,4909,175
1142,197,392
1143,1119,257
1144,940,526
1145,13209,2330
1146,11021,1036
1147,1556,451
1148,549,324
1149,485,402
115,557,196
1150,2506,974
1151,480,223
1152,4153,927
1153,705,526
1154,1698,676
1155,205,203
1156,463,237
1157,697,163
1158,1288,476
1159,803,102
116,4964,825
1160,641,267
1161,6815,2014
1162,155,33
1163,186,82
1164,718,372
1165,743,494
1166,1655,617
1167,1010,564
1168,15715,1821
1169,3213,610
117,926,308
1170,4642,765
1171,767,395
1172,493,175
1173,330,107
1174,543,155
1175,3655,607
1176,4748,1762
1177,1692,562
1178,9013,1411
1179,6743,1277
118,640,264
1180,1204,398
1181,236,82
1182,1572,289
1183,1549,172
1184,459,37
1185,2921,306
1186,2993,543
1187,1666,172
1188,1324,253
1189,4737,583
119,401,157
1190,522,74
1191,1069,82
1192,220,54
1193,748,169
1194,324,40
1195,1119,500
1196,371,68
1197,1271,82
1198,1407,87
1199,3012,327
12,16144,927
120,622,83
1200,416,122
1201,322,48
1202,355,23
1203,1062,34
1204,1162,68
1205,1135,130
1206,707,131
1207,268,235
1208,427,270
1209,353,60
121,433,252
1210,300,27
1211,6520,495
1212,1262,490
1213,519,129
1214,226,61
1215,557,105
1216,95,36
1217,1090,121
1218,88,30
1219,435,36
122,1052,482
1220,469,158
1221,150,73
1222,499,95
1223,1095,171
1224,919,367
1225,236,110
1226,405,70
1227,211,70
1228,117,18
1229,582,91
123,1650,326
1230,432,48
1231,395,61
1232,704,91
1233,218,110
1234,1183,367
1235,260,25
1236,991,67
1237,81,43
1238,1489,114
1239,64,39
124,292,151
1240,330,34
1241,3070,220
1242,4079,134
1243,1117,135
1244,436,61
1245,146,49
1246,3172,227
1247,2379,235
1248,2727,416
1249,2414,441
125,224,134
1250,3640,300
1251,1401,115
1252,1015,122
1253,105,25
1254,202,61
1255,412,36
1256,361,159
1257,251,61
1258,186,36
1259,1102,99
126,238,34
1260,119,55
1261,353,109
1262,3678,429
1263,1150,110
1264,570,61
1265,3925,67
1266,815,122
1267,645,76
1268,1413,241
1269,2118,188
127,601,180
1270,2278,430
1271,531,311
1272,2933,67
1273,560,91
1274,1403,195
1275,228,92
1276,402,153
1277,173,135
1278,323,36
1279,7306,330
128,536,471
1280,4819,305
1281,1299,226
1282,2921,302
1283,754,171
1284,2822,1036
1285,247,184
1286,867,171
1287,587,306
1288,1504,146
1289,3206,348
129,240,161
1290,1664,319
1291,1971,179
1292,8762,974
1293,913,156
1294,3130,210
1295,2015,411
1296,687,382
1297,2145,653
1298,3572,594
1299,4225,614
13,17303,756
130,764,162
1300,807,125
1301,1077,389
1302,873,271
1303,123,227
1304,691,353
1305,2742,629
1306,4325,499
1307,756,295
1308,1364,271
1309,413,241
131,362,281
1310,2570,335
1311,3013,699
1312,358,99
1313,4100,452
1314,4690,1232
1315,3765,405
1316,548,202
1317,2473,435
1318,1459,230
1319,967,327
132,578,109
1320,2945,871
1321,670,247
1322,0,327
1323,3762,1039
1324,3656,332
1325,7770,774
1326,495,254
1327,1645,290
1328,866,592
1329,1872,337
133,1934,196
1330,474,132
1331,1890,236
1332,5096,1058
1333,178,11
1334,309,67
1335,1150,211
1336,5509,1011
1337,8454,623
1338,535,297
1339,665,188
134,744,499
1340,825,169
1341,337,156
1342,1438,116
1343,426,101
1344,1337,169
1345,108,24
1346,2280,254
1347,684,223
1348,4432,915
1349,1272,182
135,564,39
1350,1179,369
1351,406,182
1352,144,132
