tract,hhwrks0_,hhwrks1_,hhwrks2_,hhwrks3p_,ownkidsyes_,rentkidsyes_,ownkidsno_,rentkidsno_,county_fips,taz,weight
06001408500,0,0,0,0,0,0,0,0,06001,890,1.0
06001408600,0,0,0,0,0,0,0,0,06001,900,1.0
06001408700,0,0,0,0,0,0,0,0,06001,899,1.0
06001408800,0,0,0,0,0,0,0,0,06001,895,1.0
06001408900,0,0,0,0,0,0,0,0,06001,894,1.0
06001409000,0,0,0,0,0,0,0,0,06001,874,0.5022710967648834
06001409000,0,0,0,0,0,0,0,0,06001,875,0.4977289032351167
06001409100,0,0,0,0,0,0,0,0,06001,876,1.0
06001409200,0,0,0,0,0,0,0,0,06001,877,1.0
06001409300,0,0,0,0,0,0,0,0,06001,878,1.0
06001409400,0,0,0,0,0,0,0,0,06001,892,1.0
06001409500,0,0,0,0,0,0,0,0,06001,893,1.0
06001409600,0,0,0,0,0,0,0,0,06001,891,1.0
06001409700,0,0,0,0,0,0,0,0,06001,888,1.0
06001409800,0,0,0,0,0,0,0,0,06001,887,1.0
06001409900,0,0,0,0,0,0,0,0,06001,884,1.0
06001410000,0,0,0,0,0,0,0,0,06001,883,1.0
06001410100,0,0,0,0,0,0,0,0,06001,882,1.0
06001410200,0,0,0,0,0,0,0,0,06001,881,1.0
06001410300,0,0,0,0,0,0,0,0,06001,880,1.0
06001410400,0,0,0,0,0,0,0,0,06001,879,1.0
06001410500,0,0,0,0,0,0,0,0,06001,985,0.5016242668263085
06001410500,0,0,0,0,0,0,0,0,06001,984,0.49837573317369155
06001420100,0,0,0,0,0,0,0,0,06001,1035,1.0
06001420200,0,0,0,0,0,0,0,0,06001,1036,1.0
06001420301,0,0,0,0,0,0,0,0,06001,,
06001420302,0,0,0,0,0,0,0,0,06001,1039,1.0
06001420401,0,0,0,0,0,0,0,0,06001,,
06001420402,0,0,0,0,0,0,0,0,06001,1038,1.0
06001420500,0,0,0,0,0,0,0,0,06001,1037,1.0
06001420600,0,0,0,0,0,0,0,0,06001,1034,1.0
06001421100,0,0,0,0,0,0,0,0,06001,1030,1.0
06001421200,0,0,0,0,0,0,0,0,06001,1031,1.0
06001421300,0,0,0,0,0,0,0,0,06001,1033,1.0
06001421400,0,0,0,0,0,0,0,0,06001,1032,1.0
06001421500,0,0,0,0,0,0,0,0,06001,1029,1.0
06001421600,0,0,0,0,0,0,0,0,06001,1028,1.0
06001421700,0,0,0,0,0,0,0,0,06001,1027,1.0
06001421800,0,0,0,0,0,0,0,0,06001,1026,1.0
06001421900,0,0,0,0,0,0,0,0,06001,1025,1.0
06001422000,0,0,0,0,0,0,0,0,06001,1014,1.0
06001422100,0,0,0,0,0,0,0,0,06001,1024,1.0
06001422200,0,0,0,0,0,0,0,0,06001,1023,1.0
06001422300,0,0,0,0,0,0,0,0,06001,1022,1.0
