tract,gq_inst_m_0017,gq_noninst_m_0017_univ,gq_noninst_m_0017_mil,gq_noninst_m_0017_oth,gq_inst_m_1864,gq_noninst_m_1864_univ,gq_noninst_m_1864_mil,gq_noninst_m_1864_oth,gq_inst_m_65p,gq_noninst_m_65p_univ,gq_noninst_m_65p_mil,gq_noninst_m_65p_oth,gq_inst_f_0017,gq_noninst_f_0017_univ,gq_noninst_f_0017_mil,gq_noninst_f_0017_oth,gq_inst_f_1864,gq_noninst_f_1864_univ,gq_noninst_f_1864_mil,gq_noninst_f_1864_oth,gq_inst_f_65p,gq_noninst_f_65p_univ,gq_noninst_f_65p_mil,gq_noninst_f_65p_oth,county_fips,County_Name
06001401400,0,0,0,8,0,0,0,471,6,0,0,22,0,0,0,9,5,0,0,197,11,0,0,11,001,Alameda
06001401100,0,0,0,13,0,0,0,102,0,0,0,11,0,0,0,11,0,0,0,45,0,0,0,10,001,Alameda
06001401200,0,0,0,17,0,0,0,92,4,0,0,10,0,0,0,5,0,0,0,47,10,0,0,2,001,Alameda
06001401300,0,0,0,91,51,0,0,836,89,0,0,66,1,0,0,44,30,0,0,347,103,0,0,43,001,Alameda
06001401500,0,0,0,2,0,0,0,44,0,0,0,18,0,0,0,4,0,0,0,5,0,0,0,3,001,Alameda
06001401600,0,0,0,5,20,0,0,270,2,0,0,37,0,0,0,7,1,0,0,111,0,0,0,7,001,Alameda
06001401700,0,0,0,9,0,0,0,1199,0,0,0,159,0,0,0,5,0,0,0,752,0,0,0,7,001,Alameda
06001401800,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,001,Alameda
06001402200,0,0,0,11,0,0,0,359,0,0,0,34,0,0,0,7,0,0,0,222,0,0,0,2,001,Alameda
06001402400,4,0,0,1,5,0,0,16,0,0,0,2,1,0,0,1,0,0,0,8,0,0,0,1,001,Alameda
06001402500,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,001,Alameda
06001402600,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,3,001,Alameda
06001402700,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,001,Alameda
06001402801,0,13,0,1,47,118,0,44,20,0,0,7,0,8,0,2,11,153,0,36,0,1,0,7,001,Alameda
06001402802,0,0,0,7,60,0,0,75,9,0,0,10,0,0,0,5,9,0,0,43,0,0,0,4,001,Alameda
06001402900,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,1,001,Alameda
06001403000,0,0,0,2,0,0,0,70,0,0,0,8,0,0,0,2,0,0,0,39,0,0,0,4,001,Alameda
06001403100,0,0,0,0,0,0,0,98,0,0,0,20,0,0,0,1,0,0,0,10,0,0,0,1,001,Alameda
06001403301,0,0,0,2,11,0,0,86,24,0,0,10,0,0,0,1,15,0,0,7,39,0,0,0,001,Alameda
06001403302,0,0,0,2,0,0,0,167,0,0,0,26,0,0,0,0,0,0,0,16,0,0,0,2,001,Alameda
06001403401,0,0,0,2,0,0,0,72,1,0,0,21,0,0,0,7,4,0,0,28,13,0,0,27,001,Alameda
06001403402,0,0,0,1,0,0,0,59,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,1,001,Alameda
06001403501,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,001,Alameda
06001403502,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,001,Alameda
06001403600,0,0,0,1,10,0,0,9,21,0,0,0,0,0,0,3,25,0,0,19,23,0,0,0,001,Alameda
06001403701,0,0,0,0,3,0,0,9,42,0,0,3,0,0,0,3,3,0,0,13,210,0,0,3,001,Alameda
06001403702,0,0,0,1,0,0,0,10,11,0,0,3,0,0,0,9,0,0,0,13,38,0,0,1,001,Alameda
06001403800,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,001,Alameda
06001403900,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,2,6,0,0,3,1,0,0,2,001,Alameda
06001404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,001,Alameda
06001404101,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,001,Alameda
06001404102,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,72,0,0,0,001,Alameda
