origin_name,destination_name,"Total, means of transportation",Long-distance train or commuter rail,"Light rail, streetcar or trolley (carro público in Puerto Rico)",Ferryboat ,Bicycle ,Walked ,Taxicab,Motorcycle,Other means,Worked from home ,"Car, truck, or van -- Drove alone","Car, truck, or van -- In a 2-person carpool","Car, truck, or van -- In a 3-person carpool","Car, truck, or van -- In a 4-person carpool","Car, truck, or van -- In a 5-or-6-person carpool","Car, truck, or van -- In a 7-or-more-person carpool",Bus,Subway or elevated rail,"Total, means of transportation_MOE",Long-distance train or commuter rail_MOE,"Light rail, streetcar or trolley (carro público in Puerto Rico)_MOE",Ferryboat _MOE,Bicycle _MOE,Walked _MOE,Taxicab_MOE,Motorcycle_MOE,Other means_MOE,Worked from home _MOE,"Car, truck, or van -- Drove alone_MOE","Car, truck, or van -- In a 2-person carpool_MOE","Car, truck, or van -- In a 3-person carpool_MOE","Car, truck, or van -- In a 4-person carpool_MOE","Car, truck, or van -- In a 5-or-6-person carpool_MOE","Car, truck, or van -- In a 7-or-more-person carpool_MOE",Bus_MOE,Subway or elevated rail_MOE,destination_geoid,geoid,origin_geoid
"Alameda County, California","Alameda County, California","558,420","1,185",240,70,"10,095","23,240","1,865","1,625","5,520","133,695","309,855","34,450","7,330","1,915","1,155",200,"15,310","10,670","+/-4,502",+/-253,+/-104,+/-50,+/-854,"+/-1,247",+/-421,+/-309,+/-730,"+/-2,815","+/-3,650","+/-2,009",+/-734,+/-320,+/-331,+/-124,"+/-1,109",+/-910,C2300US06001,C4300US0600106001,C0300US06001
"Alameda County, California","Contra Costa County, California","36,865",115,60,0,540,"1,125",125,160,470,0,"29,265","2,505",465,145,215,25,505,"1,150","+/-1,524",+/-78,+/-70,+/-30,+/-130,+/-251,+/-109,+/-90,+/-177,+/-30,"+/-1,447",+/-394,+/-161,+/-87,+/-129,+/-21,+/-179,+/-374,C2300US06013,C4300US0600106013,C0300US06001
"Alameda County, California","Marin County, California","3,380",0,0,0,10,50,0,15,60,0,"2,980",165,75,0,0,0,20,4,+/-536,+/-30,+/-30,+/-30,+/-13,+/-42,+/-30,+/-21,+/-69,+/-30,+/-466,+/-85,+/-85,+/-30,+/-30,+/-30,+/-27,+/-9,C2300US06041,C4300US0600106041,C0300US06001
"Alameda County, California","Napa County, California",600,25,0,0,0,0,0,10,20,0,505,10,10,0,4,0,0,10,+/-197,+/-41,+/-30,+/-30,+/-30,+/-30,+/-30,+/-15,+/-32,+/-30,+/-182,+/-18,+/-17,+/-30,+/-13,+/-30,+/-30,+/-20,C2300US06055,C4300US0600106055,C0300US06001
"Alameda County, California","San Francisco County, California","95,555","4,900",950,"2,535",700,570,270,475,"1,265",0,"25,590","3,570","2,315",565,380,65,"10,300","41,095","+/-2,669",+/-509,+/-310,+/-408,+/-194,+/-163,+/-131,+/-120,+/-235,+/-30,"+/-1,350",+/-531,+/-349,+/-180,+/-415,+/-72,+/-778,"+/-1,334",C2300US06075,C4300US0600106075,C0300US06001
"Alameda County, California","San Mateo County, California","38,550",275,35,410,90,65,95,135,235,0,"27,995","3,755",830,475,270,155,"2,140","1,595","+/-1,430",+/-112,+/-44,+/-110,+/-46,+/-49,+/-78,+/-82,+/-104,+/-30,"+/-1,230",+/-534,+/-224,+/-165,+/-137,+/-99,+/-361,+/-303,C2300US06081,C4300US0600106081,C0300US06001
"Alameda County, California","Santa Clara County, California","72,780","1,420",25,75,305,470,165,350,395,0,"56,930","6,685","1,230",415,190,40,"3,200",890,"+/-1,819",+/-257,+/-40,+/-93,+/-130,+/-164,+/-114,+/-128,+/-118,+/-30,"+/-1,493",+/-754,+/-244,+/-120,+/-147,+/-32,+/-375,+/-209,C2300US06085,C4300US0600106085,C0300US06001
"Alameda County, California","Solano County, California","1,715",0,0,0,0,0,0,15,0,0,"1,350",295,35,0,4,0,20,0,+/-325,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-16,+/-30,+/-30,+/-264,+/-176,+/-28,+/-30,+/-13,+/-30,+/-24,+/-30,C2300US06095,C4300US0600106095,C0300US06001
"Alameda County, California","Sonoma County, California",530,0,0,0,0,25,0,0,10,0,340,145,0,0,0,0,10,0,+/-180,+/-30,+/-30,+/-30,+/-30,+/-51,+/-30,+/-30,+/-14,+/-30,+/-113,+/-135,+/-30,+/-30,+/-30,+/-30,+/-15,+/-30,C2300US06097,C4300US0600106097,C0300US06001
"Contra Costa County, California","Alameda County, California","98,655","1,215",160,0,555,195,315,425,730,0,"75,855","8,075","1,720",570,325,80,"1,760","6,685","+/-2,418",+/-289,+/-90,+/-30,+/-188,+/-101,+/-192,+/-160,+/-266,+/-30,"+/-2,031",+/-834,+/-382,+/-169,+/-144,+/-42,+/-365,+/-788,C2300US06001,C4300US0601306001,C0300US06013
"Contra Costa County, California","Contra Costa County, California","338,755",345,365,55,"1,420","7,705",620,505,"3,210","79,165","208,765","23,495","4,800","2,670",815,530,"2,835","1,455","+/-4,072",+/-214,+/-268,+/-92,+/-359,"+/-1,066",+/-221,+/-169,+/-560,"+/-2,902","+/-3,808","+/-1,547",+/-666,+/-597,+/-250,+/-299,+/-433,+/-327,C2300US06013,C4300US0601306013,C0300US06013
"Contra Costa County, California","Marin County, California","8,630",10,0,0,10,0,30,0,10,0,"7,460",750,165,85,35,10,65,4,+/-875,+/-19,+/-30,+/-30,+/-20,+/-30,+/-29,+/-30,+/-18,+/-30,+/-806,+/-269,+/-102,+/-62,+/-50,+/-15,+/-57,+/-12,C2300US06041,C4300US0601306041,C0300US06013
"Contra Costa County, California","Napa County, California","1,185",0,0,0,10,0,0,0,0,0,"1,010",135,25,4,0,0,0,0,+/-274,+/-30,+/-30,+/-30,+/-19,+/-30,+/-30,+/-30,+/-30,+/-30,+/-247,+/-102,+/-30,+/-3,+/-30,+/-30,+/-30,+/-30,C2300US06055,C4300US0601306055,C0300US06013
"Contra Costa County, California","San Francisco County, California","58,570","4,610",675,280,105,35,40,105,600,0,"22,295","3,165","1,370",405,200,135,"2,900","21,655","+/-1,758",+/-696,+/-166,+/-129,+/-81,+/-31,+/-63,+/-55,+/-220,+/-30,"+/-1,506",+/-597,+/-301,+/-174,+/-105,+/-106,+/-544,+/-905,C2300US06075,C4300US0601306075,C0300US06013
"Contra Costa County, California","San Mateo County, California","13,920",190,10,25,0,40,0,0,140,0,"9,945","1,130",305,70,35,30,795,"1,205",+/-978,+/-102,+/-18,+/-28,+/-30,+/-47,+/-30,+/-30,+/-94,+/-30,+/-872,+/-275,+/-128,+/-62,+/-38,+/-22,+/-208,+/-273,C2300US06081,C4300US0601306081,C0300US06013
"Contra Costa County, California","Santa Clara County, California","14,605",315,10,0,0,0,0,145,85,0,"11,205","1,310",225,175,175,20,550,395,"+/-1,059",+/-129,+/-14,+/-30,+/-30,+/-30,+/-30,+/-75,+/-59,+/-30,+/-946,+/-359,+/-128,+/-88,+/-159,+/-32,+/-167,+/-150,C2300US06085,C4300US0601306085,C0300US06013
"Contra Costa County, California","Solano County, California","7,215",4,0,0,10,35,4,25,10,0,"6,250",620,145,55,0,0,50,0,+/-691,+/-31,+/-30,+/-30,+/-19,+/-41,+/-16,+/-40,+/-24,+/-30,+/-662,+/-223,+/-84,+/-62,+/-30,+/-30,+/-57,+/-30,C2300US06095,C4300US0601306095,C0300US06013
"Contra Costa County, California","Sonoma County, California","1,355",0,0,0,0,0,0,0,20,0,"1,095",110,130,0,0,0,0,0,+/-312,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-33,+/-30,+/-222,+/-117,+/-144,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06097,C4300US0601306097,C0300US06013
"Marin County, California","Alameda County, California","3,525",15,0,0,30,0,0,15,0,0,"3,185",230,35,4,0,0,15,0,+/-411,+/-28,+/-30,+/-30,+/-37,+/-30,+/-30,+/-22,+/-30,+/-30,+/-369,+/-107,+/-54,+/-11,+/-30,+/-30,+/-23,+/-30,C2300US06001,C4300US0604106001,C0300US06041
"Marin County, California","Contra Costa County, California","2,410",0,0,50,0,0,0,0,10,0,"2,190",130,35,0,0,0,0,0,+/-420,+/-30,+/-30,+/-81,+/-30,+/-30,+/-30,+/-30,+/-13,+/-30,+/-394,+/-95,+/-50,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06013,C4300US0604106013,C0300US06041
"Marin County, California","Marin County, California","89,875",55,25,80,885,"3,795",4,120,620,"28,055","48,275","4,600","1,410",195,280,30,"1,440",10,"+/-1,878",+/-52,+/-38,+/-51,+/-245,+/-593,+/-10,+/-76,+/-200,"+/-1,256","+/-1,873",+/-766,+/-472,+/-110,+/-92,+/-34,+/-314,+/-23,C2300US06041,C4300US0604106041,C0300US06041
"Marin County, California","Napa County, California",440,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,+/-201,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-201,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06055,C4300US0604106055,C0300US06041
"Marin County, California","San Francisco County, California","22,870",0,0,"2,790",350,100,0,50,90,0,"13,470","1,760",310,110,55,0,"3,775",4,"+/-1,159",+/-30,+/-30,+/-372,+/-120,+/-64,+/-30,+/-44,+/-82,+/-30,+/-995,+/-320,+/-166,+/-80,+/-66,+/-30,+/-468,+/-11,C2300US06075,C4300US0604106075,C0300US06041
"Marin County, California","San Mateo County, California","1,945",0,0,10,25,4,0,0,0,0,"1,635",190,20,0,15,0,45,0,+/-377,+/-30,+/-30,+/-16,+/-33,+/-7,+/-30,+/-30,+/-30,+/-30,+/-337,+/-124,+/-29,+/-30,+/-23,+/-30,+/-43,+/-30,C2300US06081,C4300US0604106081,C0300US06041
"Marin County, California","Santa Clara County, California",830,0,0,20,0,4,0,0,0,0,765,15,10,0,0,0,20,0,+/-268,+/-30,+/-30,+/-32,+/-30,+/-12,+/-30,+/-30,+/-30,+/-30,+/-259,+/-17,+/-22,+/-30,+/-30,+/-30,+/-26,+/-30,C2300US06085,C4300US0604106085,C0300US06041
"Marin County, California","Solano County, California",665,0,0,0,0,0,0,0,0,0,645,15,0,0,0,0,0,0,+/-207,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,+/-206,+/-34,+/-30,+/-30,+/-30,+/-30,+/-30,+/-30,C2300US06095,C4300US0604106095,C0300US06041
"Marin County, California","Sonoma County, California","4,140",30,0,0,30,15,0,15,25,0,"3,630",235,90,15,35,0,0,20,+/-539,+/-51,+/-30,+/-30,+/-43,+/-20,+/-30,+/-25,+/-27,+/-30,+/-487,+/-100,+/-86,+/-26,+/-40,+/-30,+/-30,+/-35,C2300US06097,C4300US0604106097,C0300US06041
