,county,grouping,universe,share,dataset
270,Solano,"Total: Taxicab, motorcycle, bicycle, or other means:",2594,0.41924248668654596,2023 ACS 1 Year
271,Solano,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",272,0.043960661672606205,2023 ACS 1 Year
272,Solano,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",238,0.03846557896353043,2023 ACS 1 Year
273,Solano,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",1425,0.23030861354214646,2023 ACS 1 Year
274,Solano,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",659,0.10650763250826283,2023 ACS 1 Year
275,Solano,Total: Worked from home:,22973,3.7128980904587583,2023 ACS 1 Year
276,Solano,Total: Worked from home: No vehicle available,249,0.04024339983999612,2023 ACS 1 Year
277,Solano,Total: Worked from home: 1 vehicle available,4949,0.7998577743298827,2023 ACS 1 Year
278,Solano,Total: Worked from home: 2 vehicles available,7508,1.2134435582276741,2023 ACS 1 Year
279,Solano,Total: Worked from home: 3 or more vehicles available,10267,1.6593533580612057,2023 ACS 1 Year
281,Sonoma,Total: No vehicle available,4567,0.626577763143453,2023 ACS 1 Year
282,Sonoma,Total: 1 vehicle available,40620,5.572933816266052,2023 ACS 1 Year
283,Sonoma,Total: 2 vehicles available,96569,13.24895730435737,2023 ACS 1 Year
284,Sonoma,Total: 3 or more vehicles available,101204,13.884864449566459,2023 ACS 1 Year
285,Sonoma,"Total: Car, truck, or van - drove alone:",169794,23.295192624300295,2023 ACS 1 Year
286,Sonoma,"Total: Car, truck, or van - drove alone: No vehicle available",1958,0.2686313247722533,2023 ACS 1 Year
287,Sonoma,"Total: Car, truck, or van - drove alone: 1 vehicle available",26841,3.6824991768192294,2023 ACS 1 Year
288,Sonoma,"Total: Car, truck, or van - drove alone: 2 vehicles available",66770,9.160630007683022,2023 ACS 1 Year
289,Sonoma,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",74225,10.183432115025793,2023 ACS 1 Year
290,Sonoma,"Total: Car, truck, or van - carpooled:",24949,3.422922840522445,2023 ACS 1 Year
291,Sonoma,"Total: Car, truck, or van - carpooled: No vehicle available",511,0.07010756228734497,2023 ACS 1 Year
292,Sonoma,"Total: Car, truck, or van - carpooled: 1 vehicle available",4906,0.6730874766765449,2023 ACS 1 Year
293,Sonoma,"Total: Car, truck, or van - carpooled: 2 vehicles available",8305,1.1394193831632093,2023 ACS 1 Year
294,Sonoma,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",11227,1.5403084183953464,2023 ACS 1 Year
295,Sonoma,Total: Public transportation (excluding taxicab):,1627,0.22321918559982437,2023 ACS 1 Year
296,Sonoma,Total: Public transportation (excluding taxicab): No vehicle available,194,0.02661617824607617,2023 ACS 1 Year
297,Sonoma,Total: Public transportation (excluding taxicab): 1 vehicle available,464,0.06365931291845023,2023 ACS 1 Year
298,Sonoma,Total: Public transportation (excluding taxicab): 2 vehicles available,764,0.1048183514433103,2023 ACS 1 Year
299,Sonoma,Total: Public transportation (excluding taxicab): 3 or more vehicles available,205,0.02812534299198771,2023 ACS 1 Year
300,Sonoma,Total: Walked:,5809,0.7969761826363737,2023 ACS 1 Year
301,Sonoma,Total: Walked: No vehicle available,186,0.02551860388541324,2023 ACS 1 Year
302,Sonoma,Total: Walked: 1 vehicle available,1028,0.14103830534518713,2023 ACS 1 Year
303,Sonoma,Total: Walked: 2 vehicles available,2900,0.3978707057403139,2023 ACS 1 Year
304,Sonoma,Total: Walked: 3 or more vehicles available,1695,0.23254856766545934,2023 ACS 1 Year
305,Sonoma,"Total: Taxicab, motorcycle, bicycle, or other means:",4104,0.5630556470200856,2023 ACS 1 Year
306,Sonoma,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",776,0.10646471298430468,2023 ACS 1 Year
307,Sonoma,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",670,0.0919218527055208,2023 ACS 1 Year
308,Sonoma,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",1647,0.22596312150148173,2023 ACS 1 Year
309,Sonoma,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",1011,0.1387059598287784,2023 ACS 1 Year
310,Sonoma,Total: Worked from home:,36677,5.031966853254308,2023 ACS 1 Year
311,Sonoma,Total: Worked from home: No vehicle available,942,0.1292393809680606,2023 ACS 1 Year
312,Sonoma,Total: Worked from home: 1 vehicle available,6711,0.9207276918011196,2023 ACS 1 Year
313,Sonoma,Total: Worked from home: 2 vehicles available,16183,2.2202557348260346,2023 ACS 1 Year
314,Sonoma,Total: Worked from home: 3 or more vehicles available,12841,1.7617440456590934,2023 ACS 1 Year
316,Bay Area,Total: No vehicle available,226035,1.9751727768263172,2023 ACS 1 Year
317,Bay Area,Total: 1 vehicle available,894546,7.816855384426637,2023 ACS 1 Year
318,Bay Area,Total: 2 vehicles available,1394075,12.181914255996409,2023 ACS 1 Year
319,Bay Area,Total: 3 or more vehicles available,1299947,11.359390916083973,2023 ACS 1 Year
320,Bay Area,"Total: Car, truck, or van - drove alone:",2237967,19.556137296594166,2023 ACS 1 Year
321,Bay Area,"Total: Car, truck, or van - drove alone: No vehicle available",49953,0.436506760991904,2023 ACS 1 Year
322,Bay Area,"Total: Car, truck, or van - drove alone: 1 vehicle available",439922,3.8441920867431465,2023 ACS 1 Year
323,Bay Area,"Total: Car, truck, or van - drove alone: 2 vehicles available",859929,7.514359947811084,2023 ACS 1 Year
324,Bay Area,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",888163,7.761078501048034,2023 ACS 1 Year
325,Bay Area,"Total: Car, truck, or van - carpooled:",366530,3.202867157255071,2023 ACS 1 Year
326,Bay Area,"Total: Car, truck, or van - carpooled: No vehicle available",16477,0.14398178089130986,2023 ACS 1 Year
327,Bay Area,"Total: Car, truck, or van - carpooled: 1 vehicle available",76389,0.6675137622447211,2023 ACS 1 Year
328,Bay Area,"Total: Car, truck, or van - carpooled: 2 vehicles available",122500,1.0704477853483922,2023 ACS 1 Year
329,Bay Area,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",151164,1.320923828770648,2023 ACS 1 Year
330,Bay Area,Total: Public transportation (excluding taxicab):,267691,2.3391774539403793,2023 ACS 1 Year
331,Bay Area,Total: Public transportation (excluding taxicab): No vehicle available,63121,0.5515733441549051,2023 ACS 1 Year
332,Bay Area,Total: Public transportation (excluding taxicab): 1 vehicle available,93520,0.8172104235574013,2023 ACS 1 Year
333,Bay Area,Total: Public transportation (excluding taxicab): 2 vehicles available,68201,0.5959641584371077,2023 ACS 1 Year
334,Bay Area,Total: Public transportation (excluding taxicab): 3 or more vehicles available,42849,0.3744295277909654,2023 ACS 1 Year
335,Bay Area,Total: Walked:,116272,1.0160253461063533,2023 ACS 1 Year
336,Bay Area,Total: Walked: No vehicle available,30985,0.2707577520736321,2023 ACS 1 Year
337,Bay Area,Total: Walked: 1 vehicle available,39778,0.34759405718847636,2023 ACS 1 Year
338,Bay Area,Total: Walked: 2 vehicles available,30421,0.26582932308639545,2023 ACS 1 Year
339,Bay Area,Total: Walked: 3 or more vehicles available,15088,0.13184421375784933,2023 ACS 1 Year
340,Bay Area,"Total: Taxicab, motorcycle, bicycle, or other means:",117422,1.026074447764726,2023 ACS 1 Year
341,Bay Area,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",22377,0.19553804157339572,2023 ACS 1 Year
342,Bay Area,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",41994,0.366958239166697,2023 ACS 1 Year
343,Bay Area,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",31980,0.2794524095954415,2023 ACS 1 Year
344,Bay Area,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",21071,0.18412575742919163,2023 ACS 1 Year
345,Bay Area,Total: Worked from home:,708721,6.1930516316726365,2023 ACS 1 Year
346,Bay Area,Total: Worked from home: No vehicle available,43122,0.3768150971411704,2023 ACS 1 Year
347,Bay Area,Total: Worked from home: 1 vehicle available,202943,1.7733868155261943,2023 ACS 1 Year
348,Bay Area,Total: Worked from home: 2 vehicles available,281044,2.4558606317179885,2023 ACS 1 Year
349,Bay Area,Total: Worked from home: 3 or more vehicles available,181612,1.5869890872872834,2023 ACS 1 Year
