,county,grouping,universe,share,dataset
56,Contra Costa,Total: Walked: No vehicle available,1160,0.06930690111518388,2023 ACS 1 Year
57,Contra Costa,Total: Walked: 1 vehicle available,3001,0.17930173297126453,2023 ACS 1 Year
58,Contra Costa,Total: Walked: 2 vehicles available,3357,0.20057178193420028,2023 ACS 1 Year
59,Contra Costa,Total: Walked: 3 or more vehicles available,1717,0.10258616311618167,2023 ACS 1 Year
60,Contra Costa,"Total: Taxicab, motorcycle, bicycle, or other means:",12537,0.7490522580009141,2023 ACS 1 Year
61,Contra Costa,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",902,0.05389209034991023,2023 ACS 1 Year
62,Contra Costa,"Total: Taxicab, motorcycle, bicycle, or other means: 1 vehicle available",3543,0.21168478504404875,2023 ACS 1 Year
63,Contra Costa,"Total: Taxicab, motorcycle, bicycle, or other means: 2 vehicles available",3539,0.21144579572985844,2023 ACS 1 Year
64,Contra Costa,"Total: Taxicab, motorcycle, bicycle, or other means: 3 or more vehicles available",4553,0.2720295868770968,2023 ACS 1 Year
65,Contra Costa,Total: Worked from home:,99139,5.923290404877772,2023 ACS 1 Year
66,Contra Costa,Total: Worked from home: No vehicle available,1902,0.11363941889748254,2023 ACS 1 Year
67,Contra Costa,Total: Worked from home: 1 vehicle available,21169,1.2647911980235582,2023 ACS 1 Year
68,Contra Costa,Total: Worked from home: 2 vehicles available,45976,2.746943177303185,2023 ACS 1 Year
69,Contra Costa,Total: Worked from home: 3 or more vehicles available,30092,1.7979166106535462,2023 ACS 1 Year
71,Marin,Total: No vehicle available,2185,0.6041101609393705,2023 ACS 1 Year
72,Marin,Total: 1 vehicle available,26287,7.267846133003768,2023 ACS 1 Year
73,Marin,Total: 2 vehicles available,55124,15.240717854289182,2023 ACS 1 Year
74,Marin,Total: 3 or more vehicles available,36967,10.220659185101013,2023 ACS 1 Year
75,Marin,"Total: Car, truck, or van - drove alone:",66964,18.51424842889886,2023 ACS 1 Year
76,Marin,"Total: Car, truck, or van - drove alone: No vehicle available",434,0.11999259031930747,2023 ACS 1 Year
77,Marin,"Total: Car, truck, or van - drove alone: 1 vehicle available",12815,3.543099181893837,2023 ACS 1 Year
78,Marin,"Total: Car, truck, or van - drove alone: 2 vehicles available",31431,8.690062456972703,2023 ACS 1 Year
79,Marin,"Total: Car, truck, or van - drove alone: 3 or more vehicles available",22284,6.161094199713013,2023 ACS 1 Year
80,Marin,"Total: Car, truck, or van - carpooled:",8672,2.397639961403305,2023 ACS 1 Year
81,Marin,"Total: Car, truck, or van - carpooled: No vehicle available",239,0.06607886886247577,2023 ACS 1 Year
82,Marin,"Total: Car, truck, or van - carpooled: 1 vehicle available",1741,0.48135276439150765,2023 ACS 1 Year
83,Marin,"Total: Car, truck, or van - carpooled: 2 vehicles available",4057,1.121681886924955,2023 ACS 1 Year
84,Marin,"Total: Car, truck, or van - carpooled: 3 or more vehicles available",2635,0.7285264412243667,2023 ACS 1 Year
85,Marin,Total: Public transportation (excluding taxicab):,4741,1.310794632958149,2023 ACS 1 Year
86,Marin,Total: Public transportation (excluding taxicab): No vehicle available,609,0.16837669931902824,2023 ACS 1 Year
87,Marin,Total: Public transportation (excluding taxicab): 1 vehicle available,897,0.2480031187014258,2023 ACS 1 Year
88,Marin,Total: Public transportation (excluding taxicab): 2 vehicles available,2096,0.5795033855052268,2023 ACS 1 Year
89,Marin,Total: Public transportation (excluding taxicab): 3 or more vehicles available,1139,0.31491142943246825,2023 ACS 1 Year
90,Marin,Total: Walked:,4473,1.2366978260328625,2023 ACS 1 Year
91,Marin,Total: Walked: No vehicle available,138,0.03815432595406551,2023 ACS 1 Year
92,Marin,Total: Walked: 1 vehicle available,934,0.258232901747081,2023 ACS 1 Year
93,Marin,Total: Walked: 2 vehicles available,2682,0.7415210304985774,2023 ACS 1 Year
94,Marin,Total: Walked: 3 or more vehicles available,719,0.1987895678331384,2023 ACS 1 Year
95,Marin,"Total: Taxicab, motorcycle, bicycle, or other means:",3865,1.0685976073366898,2023 ACS 1 Year
96,Marin,"Total: Taxicab, motorcycle, bicycle, or other means: No vehicle available",462,0.12773404775926278,2023 ACS 1 Year
