origin_name,destination_name,Total Workers,Total Workers_MOE,destination_geoid,geoid,origin_geoid
"Alameda County, California","Alameda County, California","558,420","+/-4,502",C2300US06001,C4300US0600106001,C0300US06001
"Alameda County, California","Contra Costa County, California","36,865","+/-1,524",C2300US06013,C4300US0600106013,C0300US06001
"Alameda County, California","Marin County, California","3,380",+/-536,C2300US06041,C4300US0600106041,C0300US06001
"Alameda County, California","Napa County, California",600,+/-197,C2300US06055,C4300US0600106055,C0300US06001
"Alameda County, California","San Francisco County, California","95,555","+/-2,669",C2300US06075,C4300US0600106075,C0300US06001
"Alameda County, California","San Mateo County, California","38,550","+/-1,430",C2300US06081,C4300US0600106081,C0300US06001
"Alameda County, California","Santa Clara County, California","72,780","+/-1,819",C2300US06085,C4300US0600106085,C0300US06001
"Alameda County, California","Solano County, California","1,715",+/-325,C2300US06095,C4300US0600106095,C0300US06001
"Alameda County, California","Sonoma County, California",530,+/-180,C2300US06097,C4300US0600106097,C0300US06001
"Contra Costa County, California","Alameda County, California","98,655","+/-2,418",C2300US06001,C4300US0601306001,C0300US06013
"Contra Costa County, California","Contra Costa County, California","338,755","+/-4,072",C2300US06013,C4300US0601306013,C0300US06013
"Contra Costa County, California","Marin County, California","8,630",+/-875,C2300US06041,C4300US0601306041,C0300US06013
"Contra Costa County, California","Napa County, California","1,185",+/-274,C2300US06055,C4300US0601306055,C0300US06013
"Contra Costa County, California","San Francisco County, California","58,570","+/-1,758",C2300US06075,C4300US0601306075,C0300US06013
"Contra Costa County, California","San Mateo County, California","13,920",+/-978,C2300US06081,C4300US0601306081,C0300US06013
"Contra Costa County, California","Santa Clara County, California","14,605","+/-1,059",C2300US06085,C4300US0601306085,C0300US06013
"Contra Costa County, California","Solano County, California","7,215",+/-691,C2300US06095,C4300US0601306095,C0300US06013
"Contra Costa County, California","Sonoma County, California","1,355",+/-312,C2300US06097,C4300US0601306097,C0300US06013
"Marin County, California","Alameda County, California","3,525",+/-411,C2300US06001,C4300US0604106001,C0300US06041
"Marin County, California","Contra Costa County, California","2,410",+/-420,C2300US06013,C4300US0604106013,C0300US06041
"Marin County, California","Marin County, California","89,875","+/-1,878",C2300US06041,C4300US0604106041,C0300US06041
"Marin County, California","Napa County, California",440,+/-201,C2300US06055,C4300US0604106055,C0300US06041
"Marin County, California","San Francisco County, California","22,870","+/-1,159",C2300US06075,C4300US0604106075,C0300US06041
"Marin County, California","San Mateo County, California","1,945",+/-377,C2300US06081,C4300US0604106081,C0300US06041
"Marin County, California","Santa Clara County, California",830,+/-268,C2300US06085,C4300US0604106085,C0300US06041
"Marin County, California","Solano County, California",665,+/-207,C2300US06095,C4300US0604106095,C0300US06041
"Marin County, California","Sonoma County, California","4,140",+/-539,C2300US06097,C4300US0604106097,C0300US06041
"Napa County, California","Alameda County, California",915,+/-195,C2300US06001,C4300US0605506001,C0300US06055
"Napa County, California","Contra Costa County, California","1,595",+/-221,C2300US06013,C4300US0605506013,C0300US06055
"Napa County, California","Marin County, California","1,070",+/-226,C2300US06041,C4300US0605506041,C0300US06055
"Napa County, California","Napa County, California","54,060","+/-1,340",C2300US06055,C4300US0605506055,C0300US06055
"Napa County, California","San Francisco County, California","1,335",+/-240,C2300US06075,C4300US0605506075,C0300US06055
"Napa County, California","San Mateo County, California",515,+/-157,C2300US06081,C4300US0605506081,C0300US06055
"Napa County, California","Santa Clara County, California",270,+/-147,C2300US06085,C4300US0605506085,C0300US06055
