origin_name,destination_name,"Total, all industries","Agriculture, forestry, fishing and hunting, and mining; Construction; Armed Forces",Manufacturing,"Wholesale trade; Retail trade; Transportation and warehousing, and utilities","Information; Finance and insurance, and real estate, and rental and leasing; Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration; Public administration","Total, all industries_MOE","Agriculture, forestry, fishing and hunting, and mining; Construction; Armed Forces_MOE",Manufacturing_MOE,"Wholesale trade; Retail trade; Transportation and warehousing, and utilities_MOE","Information; Finance and insurance, and real estate, and rental and leasing; Professional, scientific, and management, and administrative, and waste management services_MOE","Educational services, and health care and social assistance_MOE","Arts, entertainment, and recreation, and accommodation and food services_MOE","Other services, except public administration; Public administration_MOE",destination_geoid,geoid,origin_geoid
"Napa County, California","Napa County, California","54,060","6,020","7,470","7,870","9,070","10,950","8,225","4,450","+/-1,340",+/-540,+/-772,+/-626,+/-637,+/-785,+/-646,+/-564,C2300US06055,C4300US0605506055,C0300US06055
"Napa County, California","San Francisco County, California","1,335",155,4,205,320,305,115,230,+/-240,+/-84,+/-9,+/-79,+/-98,+/-115,+/-54,+/-101,C2300US06075,C4300US0605506075,C0300US06055
"Napa County, California","San Mateo County, California",515,80,25,250,65,20,0,75,+/-157,+/-59,+/-30,+/-110,+/-44,+/-32,+/-30,+/-77,C2300US06081,C4300US0605506081,C0300US06055
"Napa County, California","Santa Clara County, California",270,80,50,0,115,30,0,0,+/-147,+/-85,+/-41,+/-30,+/-100,+/-39,+/-30,+/-30,C2300US06085,C4300US0605506085,C0300US06055
"Napa County, California","Solano County, California","4,935",215,350,"1,105",550,"1,630",490,595,+/-549,+/-83,+/-115,+/-258,+/-163,+/-268,+/-149,+/-161,C2300US06095,C4300US0605506095,C0300US06055
"Napa County, California","Sonoma County, California","3,035",345,660,765,330,660,125,155,+/-428,+/-113,+/-237,+/-180,+/-114,+/-190,+/-61,+/-80,C2300US06097,C4300US0605506097,C0300US06055
"San Francisco County, California","Alameda County, California","16,735",790,"1,880","2,485","5,080","3,945","1,025","1,530","+/-1,027",+/-223,+/-321,+/-347,+/-589,+/-537,+/-330,+/-255,C2300US06001,C4300US0607506001,C0300US06075
"San Francisco County, California","Contra Costa County, California","3,055",300,320,470,"1,030",600,65,275,+/-500,+/-150,+/-128,+/-157,+/-274,+/-198,+/-55,+/-134,C2300US06013,C4300US0607506013,C0300US06075
"San Francisco County, California","Marin County, California","5,045",305,385,910,"1,580",995,365,505,+/-616,+/-175,+/-132,+/-328,+/-301,+/-284,+/-138,+/-177,C2300US06041,C4300US0607506041,C0300US06075
"San Francisco County, California","Napa County, California",340,20,10,125,10,120,55,0,+/-163,+/-25,+/-14,+/-100,+/-17,+/-115,+/-56,+/-30,C2300US06055,C4300US0607506055,C0300US06075
"San Francisco County, California","San Francisco County, California","401,990","13,255","13,505","57,345","166,960","78,310","41,790","30,820","+/-3,913","+/-1,127","+/-1,059","+/-2,082","+/-2,800","+/-2,178","+/-1,817","+/-1,477",C2300US06075,C4300US0607506075,C0300US06075
"San Francisco County, California","San Mateo County, California","44,925","1,340","4,600","10,390","16,405","5,675","3,885","2,635","+/-1,514",+/-302,+/-539,+/-769,+/-901,+/-679,+/-542,+/-413,C2300US06081,C4300US0607506081,C0300US06075
"San Francisco County, California","Santa Clara County, California","23,455",525,"4,040","1,505","13,345","2,965",375,700,"+/-1,357",+/-151,+/-452,+/-351,"+/-1,111",+/-503,+/-197,+/-234,C2300US06085,C4300US0607506085,C0300US06075
"San Francisco County, California","Solano County, California",490,100,4,120,200,60,4,0,+/-178,+/-104,+/-9,+/-91,+/-100,+/-55,+/-14,+/-30,C2300US06095,C4300US0607506095,C0300US06075
"San Francisco County, California","Sonoma County, California",800,65,105,140,180,120,95,90,+/-182,+/-50,+/-62,+/-95,+/-117,+/-67,+/-63,+/-76,C2300US06097,C4300US0607506097,C0300US06075
"San Mateo County, California","Alameda County, California","11,860","1,370","2,680","2,215","2,650","1,625",450,870,+/-824,+/-331,+/-432,+/-421,+/-402,+/-266,+/-152,+/-165,C2300US06001,C4300US0608106001,C0300US06081
"San Mateo County, California","Contra Costa County, California","1,925",245,195,280,745,280,30,150,+/-407,+/-196,+/-113,+/-125,+/-254,+/-123,+/-24,+/-133,C2300US06013,C4300US0608106013,C0300US06081
"San Mateo County, California","Marin County, California","1,090",120,190,205,135,150,165,125,+/-250,+/-73,+/-107,+/-113,+/-58,+/-84,+/-91,+/-101,C2300US06041,C4300US0608106041,C0300US06081
"San Mateo County, California","Napa County, California",40,0,0,0,0,15,15,10,+/-39,+/-30,+/-30,+/-30,+/-30,+/-23,+/-32,+/-13,C2300US06055,C4300US0608106055,C0300US06081
"San Mateo County, California","San Francisco County, California","73,495","4,960","2,705","13,265","21,835","17,180","5,990","7,565","+/-1,793",+/-566,+/-420,"+/-1,038","+/-1,135","+/-1,043",+/-667,+/-656,C2300US06075,C4300US0608106075,C0300US06081
"San Mateo County, California","San Mateo County, California","252,835","14,245","16,870","44,900","85,690","46,750","24,385","19,995","+/-2,617","+/-1,146",+/-965,"+/-1,964","+/-2,256","+/-1,581","+/-1,451","+/-1,378",C2300US06081,C4300US0608106081,C0300US06081
"San Mateo County, California","Santa Clara County, California","55,765","2,760","7,845","5,030","20,090","14,855","2,995","2,190","+/-1,674",+/-480,+/-648,+/-568,+/-976,+/-934,+/-537,+/-330,C2300US06085,C4300US0608106085,C0300US06081
"San Mateo County, California","Solano County, California",30,0,10,0,20,0,0,0,+/-30,+/-30,+/-22,+/-30,+/-28,+/-30,+/-30,+/-30,C2300US06095,C4300US0608106095,C0300US06081
"San Mateo County, California","Sonoma County, California",355,45,0,15,55,195,0,50,+/-189,+/-48,+/-30,+/-25,+/-45,+/-161,+/-30,+/-55,C2300US06097,C4300US0608106097,C0300US06081
"Santa Clara County, California","Alameda County, California","38,795","3,245","14,955","4,790","8,100","4,095","1,135","2,475","+/-1,534",+/-401,"+/-1,027",+/-562,+/-606,+/-476,+/-218,+/-363,C2300US06001,C4300US0608506001,C0300US06085
"Santa Clara County, California","Contra Costa County, California","1,935",235,180,315,725,350,100,35,+/-299,+/-98,+/-85,+/-86,+/-221,+/-100,+/-83,+/-32,C2300US06013,C4300US0608506013,C0300US06085
"Santa Clara County, California","Marin County, California",195,25,20,0,100,4,20,20,+/-81,+/-27,+/-31,+/-30,+/-63,+/-15,+/-26,+/-28,C2300US06041,C4300US0608506041,C0300US06085
"Santa Clara County, California","Napa County, California",80,0,0,0,0,20,0,60,+/-71,+/-30,+/-30,+/-30,+/-30,+/-26,+/-30,+/-63,C2300US06055,C4300US0608506055,C0300US06085
"Santa Clara County, California","San Francisco County, California","18,060","3,770","1,065","2,820","7,145","1,875",640,745,"+/-1,191",+/-607,+/-259,+/-411,+/-628,+/-355,+/-222,+/-184,C2300US06075,C4300US0608506075,C0300US06085
"Santa Clara County, California","San Mateo County, California","44,155","2,810","5,345","4,840","20,255","6,420","1,690","2,800","+/-1,528",+/-402,+/-448,+/-574,+/-992,+/-581,+/-275,+/-412,C2300US06081,C4300US0608506081,C0300US06085
"Santa Clara County, California","Santa Clara County, California","861,940","43,600","139,280","112,540","277,775","169,815","68,295","50,630","+/-4,853","+/-1,798","+/-3,166","+/-2,763","+/-3,584","+/-3,089","+/-2,200","+/-1,934",C2300US06085,C4300US0608506085,C0300US06085
"Santa Clara County, California","Solano County, California",270,95,0,105,10,20,0,40,+/-121,+/-66,+/-30,+/-94,+/-14,+/-27,+/-30,+/-35,C2300US06095,C4300US0608506095,C0300US06085
"Santa Clara County, California","Sonoma County, California",275,105,0,35,35,4,40,60,+/-115,+/-86,+/-30,+/-38,+/-33,+/-1,+/-44,+/-43,C2300US06097,C4300US0608506097,C0300US06085
"Solano County, California","Alameda County, California","12,640","1,850","1,100","3,000","2,075","2,545",460,"1,620",+/-963,+/-409,+/-226,+/-514,+/-314,+/-424,+/-150,+/-335,C2300US06001,C4300US0609506001,C0300US06095
"Solano County, California","Contra Costa County, California","21,990","3,035","2,590","4,070","3,555","5,150","1,340","2,250","+/-1,328",+/-433,+/-401,+/-603,+/-511,+/-641,+/-328,+/-393,C2300US06013,C4300US0609506013,C0300US06095
"Solano County, California","Marin County, California","5,700",535,205,"1,025","1,060","1,225",460,"1,190",+/-707,+/-214,+/-99,+/-286,+/-267,+/-313,+/-262,+/-260,C2300US06041,C4300US0609506041,C0300US06095
"Solano County, California","Napa County, California","13,050","1,360","2,275","2,245","1,520","2,940","1,520","1,185","+/-1,001",+/-325,+/-446,+/-304,+/-335,+/-402,+/-370,+/-235,C2300US06055,C4300US0609506055,C0300US06095
"Solano County, California","San Francisco County, California","10,670","1,925",285,"2,130","2,580","1,705",650,"1,395",+/-756,+/-312,+/-129,+/-423,+/-300,+/-341,+/-202,+/-366,C2300US06075,C4300US0609506075,C0300US06095
"Solano County, California","San Mateo County, California","3,050",235,235,900,975,370,160,175,+/-488,+/-117,+/-106,+/-258,+/-279,+/-142,+/-96,+/-99,C2300US06081,C4300US0609506081,C0300US06095
"Solano County, California","Santa Clara County, California","1,755",540,55,120,345,195,225,275,+/-372,+/-295,+/-45,+/-69,+/-144,+/-98,+/-181,+/-120,C2300US06085,C4300US0609506085,C0300US06095
"Solano County, California","Solano County, California","125,880","12,115","10,480","25,715","21,820","29,485","12,385","13,885","+/-2,527","+/-1,121",+/-871,"+/-1,153","+/-1,140","+/-1,385",+/-879,+/-996,C2300US06095,C4300US0609506095,C0300US06095
"Solano County, California","Sonoma County, California","2,870",445,295,735,245,555,165,430,+/-447,+/-186,+/-100,+/-228,+/-103,+/-187,+/-110,+/-204,C2300US06097,C4300US0609506097,C0300US06095
"Sonoma County, California","Alameda County, California","1,700",310,170,320,420,355,65,65,+/-318,+/-131,+/-96,+/-154,+/-144,+/-120,+/-63,+/-37,C2300US06001,C4300US0609706001,C0300US06097
"Sonoma County, California","Contra Costa County, California","1,115",175,110,285,240,135,45,125,+/-254,+/-102,+/-47,+/-139,+/-125,+/-79,+/-51,+/-81,C2300US06013,C4300US0609706013,C0300US06097
"Sonoma County, California","Marin County, California","13,700","1,785",465,"2,450","2,735","2,900","1,000","2,365","+/-1,019",+/-388,+/-139,+/-294,+/-416,+/-396,+/-278,+/-424,C2300US06041,C4300US0609706041,C0300US06097
"Sonoma County, California","Napa County, California","5,205","1,155","1,015",535,570,"1,020",320,585,+/-653,+/-357,+/-262,+/-207,+/-215,+/-246,+/-127,+/-245,C2300US06055,C4300US0609706055,C0300US06097
"Sonoma County, California","San Francisco County, California","6,510","1,745",295,"1,015","1,695",830,365,570,+/-547,+/-335,+/-126,+/-266,+/-311,+/-204,+/-135,+/-202,C2300US06075,C4300US0609706075,C0300US06097
"Sonoma County, California","San Mateo County, California","1,230",265,105,370,215,150,45,85,+/-265,+/-122,+/-58,+/-121,+/-108,+/-100,+/-54,+/-64,C2300US06081,C4300US0609706081,C0300US06097
"Sonoma County, California","Santa Clara County, California",665,40,290,30,135,70,10,95,+/-225,+/-32,+/-172,+/-28,+/-84,+/-60,+/-19,+/-103,C2300US06085,C4300US0609706085,C0300US06097
"Sonoma County, California","Solano County, California",830,140,140,130,75,260,0,80,+/-208,+/-105,+/-120,+/-78,+/-48,+/-100,+/-30,+/-60,C2300US06095,C4300US0609706095,C0300US06097
"Sonoma County, California","Sonoma County, California","210,665","22,660","22,660","36,870","40,360","45,715","21,775","20,615","+/-2,576","+/-1,265","+/-1,317","+/-1,711","+/-1,359","+/-1,778","+/-1,206","+/-1,222",C2300US06097,C4300US0609706097,C0300US06097
