origin_name,destination_name,"Total, all industries","Agriculture, forestry, fishing and hunting, and mining; Construction; Armed Forces",Manufacturing,"Wholesale trade; Retail trade; Transportation and warehousing, and utilities","Information; Finance and insurance, and real estate, and rental and leasing; Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration; Public administration","Total, all industries_MOE","Agriculture, forestry, fishing and hunting, and mining; Construction; Armed Forces_MOE",Manufacturing_MOE,"Wholesale trade; Retail trade; Transportation and warehousing, and utilities_MOE","Information; Finance and insurance, and real estate, and rental and leasing; Professional, scientific, and management, and administrative, and waste management services_MOE","Educational services, and health care and social assistance_MOE","Arts, entertainment, and recreation, and accommodation and food services_MOE","Other services, except public administration; Public administration_MOE",destination_geoid,geoid,origin_geoid
"Alameda County, California","Alameda County, California","558,420","29,355","54,110","96,200","149,460","132,185","48,900","48,215","+/-4,502","+/-1,461","+/-1,452","+/-2,222","+/-3,085","+/-2,852","+/-1,750","+/-1,970",C2300US06001,C4300US0600106001,C0300US06001
"Alameda County, California","Contra Costa County, California","36,865","2,280","2,395","5,525","9,935","10,695","2,810","3,230","+/-1,524",+/-333,+/-360,+/-588,+/-713,+/-803,+/-454,+/-370,C2300US06013,C4300US0600106013,C0300US06001
"Alameda County, California","Marin County, California","3,380",330,305,580,985,570,270,335,+/-536,+/-127,+/-152,+/-170,+/-265,+/-158,+/-137,+/-137,C2300US06041,C4300US0600106041,C0300US06001
"Alameda County, California","Napa County, California",600,105,65,90,70,190,60,20,+/-197,+/-69,+/-58,+/-88,+/-60,+/-84,+/-49,+/-32,C2300US06055,C4300US0600106055,C0300US06001
"Alameda County, California","San Francisco County, California","95,555","5,800","2,960","14,355","41,465","15,340","7,415","8,215","+/-2,669",+/-782,+/-336,+/-859,"+/-1,235",+/-900,+/-564,+/-744,C2300US06075,C4300US0600106075,C0300US06001
"Alameda County, California","San Mateo County, California","38,550","2,675","3,885","6,815","14,920","5,975","1,850","2,435","+/-1,430",+/-424,+/-397,+/-640,"+/-1,063",+/-575,+/-331,+/-353,C2300US06081,C4300US0600106081,C0300US06001
"Alameda County, California","Santa Clara County, California","72,780","4,630","15,310","7,560","26,655","12,175","2,360","4,090","+/-1,819",+/-615,+/-688,+/-570,"+/-1,000",+/-808,+/-386,+/-580,C2300US06085,C4300US0600106085,C0300US06001
"Alameda County, California","Solano County, California","1,715",175,125,150,225,650,60,335,+/-325,+/-101,+/-64,+/-99,+/-100,+/-206,+/-43,+/-119,C2300US06095,C4300US0600106095,C0300US06001
"Alameda County, California","Sonoma County, California",530,155,65,35,150,75,15,35,+/-180,+/-134,+/-57,+/-34,+/-57,+/-52,+/-20,+/-36,C2300US06097,C4300US0600106097,C0300US06001
"Contra Costa County, California","Alameda County, California","98,655","8,010","8,655","19,010","20,775","25,925","6,980","9,300","+/-2,418",+/-783,+/-675,"+/-1,277","+/-1,213","+/-1,367",+/-620,+/-677,C2300US06001,C4300US0601306001,C0300US06013
"Contra Costa County, California","Contra Costa County, California","338,755","22,820","18,750","59,580","93,585","81,680","30,735","31,605","+/-4,072","+/-1,256","+/-1,313","+/-2,058","+/-2,480","+/-2,415","+/-1,829","+/-1,473",C2300US06013,C4300US0601306013,C0300US06013
"Contra Costa County, California","Marin County, California","8,630","1,050",280,"2,100","1,455","1,945",920,880,+/-875,+/-282,+/-117,+/-386,+/-344,+/-427,+/-304,+/-308,C2300US06041,C4300US0601306041,C0300US06013
"Contra Costa County, California","Napa County, California","1,185",245,215,190,205,215,65,45,+/-274,+/-128,+/-97,+/-91,+/-159,+/-136,+/-67,+/-53,C2300US06055,C4300US0601306055,C0300US06013
"Contra Costa County, California","San Francisco County, California","58,570","5,735","1,250","8,360","22,985","9,200","5,395","5,650","+/-1,758",+/-794,+/-271,+/-677,"+/-1,129",+/-825,+/-622,+/-605,C2300US06075,C4300US0601306075,C0300US06013
"Contra Costa County, California","San Mateo County, California","13,920","1,805","1,235","3,760","3,805","1,440",815,"1,060",+/-978,+/-380,+/-263,+/-543,+/-472,+/-358,+/-246,+/-258,C2300US06081,C4300US0601306081,C0300US06013
"Contra Costa County, California","Santa Clara County, California","14,605","2,020","3,170","1,360","5,170","1,695",330,860,"+/-1,059",+/-340,+/-409,+/-271,+/-640,+/-310,+/-194,+/-270,C2300US06085,C4300US0601306085,C0300US06013
"Contra Costa County, California","Solano County, California","7,215",885,"1,160","1,110","1,135","1,930",400,595,+/-691,+/-233,+/-317,+/-247,+/-251,+/-378,+/-150,+/-155,C2300US06095,C4300US0601306095,C0300US06013
"Contra Costa County, California","Sonoma County, California","1,355",530,120,240,145,175,50,90,+/-312,+/-260,+/-74,+/-99,+/-90,+/-106,+/-56,+/-70,C2300US06097,C4300US0601306097,C0300US06013
"Marin County, California","Alameda County, California","3,525",230,150,815,"1,245",790,130,160,+/-411,+/-133,+/-69,+/-217,+/-242,+/-194,+/-105,+/-87,C2300US06001,C4300US0604106001,C0300US06041
"Marin County, California","Contra Costa County, California","2,410",230,325,565,585,475,65,170,+/-420,+/-126,+/-176,+/-222,+/-175,+/-181,+/-70,+/-91,C2300US06013,C4300US0604106013,C0300US06041
"Marin County, California","Marin County, California","89,875","6,690","3,715","14,755","29,010","18,920","8,305","8,480","+/-1,878",+/-756,+/-473,"+/-1,106","+/-1,118","+/-1,001",+/-722,+/-873,C2300US06041,C4300US0604106041,C0300US06041
"Marin County, California","Napa County, California",440,20,70,140,130,30,25,25,+/-201,+/-33,+/-78,+/-133,+/-75,+/-38,+/-27,+/-39,C2300US06055,C4300US0604106055,C0300US06041
"Marin County, California","San Francisco County, California","22,870","1,440",550,"1,900","10,730","4,945","1,270","2,025","+/-1,159",+/-372,+/-176,+/-409,+/-702,+/-587,+/-271,+/-395,C2300US06075,C4300US0604106075,C0300US06041
"Marin County, California","San Mateo County, California","1,945",55,280,390,705,260,155,100,+/-377,+/-46,+/-143,+/-155,+/-208,+/-120,+/-96,+/-71,C2300US06081,C4300US0604106081,C0300US06041
"Marin County, California","Santa Clara County, California",830,20,190,40,470,40,20,50,+/-268,+/-25,+/-121,+/-36,+/-229,+/-34,+/-26,+/-49,C2300US06085,C4300US0604106085,C0300US06041
"Marin County, California","Solano County, California",665,100,35,30,105,360,0,35,+/-207,+/-116,+/-40,+/-37,+/-96,+/-125,+/-30,+/-43,C2300US06095,C4300US0604106095,C0300US06041
"Marin County, California","Sonoma County, California","4,140",295,540,865,940,835,190,470,+/-539,+/-146,+/-173,+/-234,+/-249,+/-223,+/-97,+/-178,C2300US06097,C4300US0604106097,C0300US06041
"Napa County, California","Alameda County, California",915,205,120,190,65,235,40,60,+/-195,+/-91,+/-70,+/-81,+/-34,+/-114,+/-36,+/-56,C2300US06001,C4300US0605506001,C0300US06055
"Napa County, California","Contra Costa County, California","1,595",135,155,400,400,260,50,195,+/-221,+/-62,+/-67,+/-137,+/-128,+/-66,+/-39,+/-87,C2300US06013,C4300US0605506013,C0300US06055
"Napa County, California","Marin County, California","1,070",140,95,170,170,265,60,170,+/-226,+/-69,+/-60,+/-74,+/-94,+/-93,+/-47,+/-87,C2300US06041,C4300US0605506041,C0300US06055
