GEOID_block group,TAZ_NODE,num_mazs,COUNTY,county_name,PUMA
060014001001,300125.0,32,4.0,Alameda,00112
060014001001,301054.0,45,4.0,Alameda,00112
060014002001,300114.0,15,4.0,Alameda,00111
060014002001,301088.0,8,4.0,Alameda,00111
060014002002,300569.0,18,4.0,Alameda,00111
060014003001,300113.0,18,4.0,Alameda,00112
060014003002,300115.0,9,4.0,Alameda,00112
060014003002,301090.0,13,4.0,Alameda,00112
060014003002,301091.0,3,4.0,Alameda,00112
060014003003,300115.0,31,4.0,Alameda,00112
060014003004,300115.0,2,4.0,Alameda,00112
060014003004,301089.0,7,4.0,Alameda,00112
060014003004,301090.0,8,4.0,Alameda,00112
060014004001,300568.0,16,4.0,Alameda,00111
060014004002,300466.0,21,4.0,Alameda,00111
060014004003,300123.0,20,4.0,Alameda,00111
060014005001,300118.0,29,4.0,Alameda,00111
060014005002,300093.0,8,4.0,Alameda,00111
060014005003,300094.0,8,4.0,Alameda,00111
060014006001,300288.0,14,4.0,Alameda,00111
060014006002,300018.0,13,4.0,Alameda,00111
060014007001,300282.0,38,4.0,Alameda,00111
060014007002,300241.0,16,4.0,Alameda,00111
060014007002,301084.0,4,4.0,Alameda,00111
060014007002,301085.0,6,4.0,Alameda,00111
060014007003,300166.0,13,4.0,Alameda,00111
060014007003,301086.0,4,4.0,Alameda,00111
060014007004,300167.0,23,4.0,Alameda,00111
060014007004,301087.0,8,4.0,Alameda,00111
060014008001,300339.0,30,4.0,Alameda,00111
060014008002,300766.0,14,4.0,Alameda,00111
060014008003,300234.0,21,4.0,Alameda,00111
060014009001,300126.0,15,4.0,Alameda,00111
060014009002,300825.0,17,4.0,Alameda,00111
060014010001,300715.0,21,4.0,Alameda,00111
060014010002,300716.0,16,4.0,Alameda,00111
060014010003,300127.0,24,4.0,Alameda,00111
060014010004,300022.0,19,4.0,Alameda,00111
060014010005,300016.0,17,4.0,Alameda,00111
060014010006,300023.0,13,4.0,Alameda,00111
060014011001,300377.0,18,4.0,Alameda,00112
060014011002,300376.0,16,4.0,Alameda,00112
060014011003,300177.0,20,4.0,Alameda,00112
060014011004,300170.0,38,4.0,Alameda,00112
060014012001,300120.0,22,4.0,Alameda,00112
060014012002,300173.0,10,4.0,Alameda,00112
060014012003,300175.0,17,4.0,Alameda,00112
060014013001,300111.0,38,4.0,Alameda,00111
060014013002,300112.0,27,4.0,Alameda,00111
060014013003,300419.0,15,4.0,Alameda,00111
060014014001,300174.0,19,4.0,Alameda,00111
060014014002,300128.0,30,4.0,Alameda,00111
060014014003,300235.0,40,4.0,Alameda,00111
060014015001,300116.0,26,4.0,Alameda,00111
060014015002,300480.0,9,4.0,Alameda,00111
060014015003,300481.0,13,4.0,Alameda,00111
060014016001,300289.0,30,4.0,Alameda,00111
060014016002,300287.0,23,4.0,Alameda,00111
060014017001,300150.0,17,4.0,Alameda,00111
060014017001,300240.0,51,4.0,Alameda,00111
060014017002,300051.0,33,4.0,Alameda,00111
060014017003,300049.0,81,4.0,Alameda,00111
060014018001,300231.0,18,4.0,Alameda,00111
060014018002,300232.0,13,4.0,Alameda,00111
060014022001,300441.0,31,4.0,Alameda,00111
060014022002,300442.0,16,4.0,Alameda,00111
060014022003,300092.0,22,4.0,Alameda,00111
060014024001,300284.0,27,4.0,Alameda,00111
060014024002,300670.0,11,4.0,Alameda,00111
060014025001,300845.0,21,4.0,Alameda,00111
060014025002,300025.0,8,4.0,Alameda,00111
060014026001,300331.0,53,4.0,Alameda,00111
060014027001,300027.0,31,4.0,Alameda,00111
060014027002,300958.0,30,4.0,Alameda,00111
060014028001,300239.0,13,4.0,Alameda,00111
060014028002,300691.0,44,4.0,Alameda,00111
060014029001,300899.0,27,4.0,Alameda,00111
060014029001,301059.0,9,4.0,Alameda,00111
060014030001,300028.0,22,4.0,Alameda,00111
060014030002,300378.0,34,4.0,Alameda,00111
060014031001,300477.0,20,4.0,Alameda,00111
060014031001,301058.0,16,4.0,Alameda,00111
060014033001,300855.0,44,4.0,Alameda,00111
060014033002,300473.0,21,4.0,Alameda,00111
060014034001,300332.0,31,4.0,Alameda,00111
060014034002,300024.0,2,4.0,Alameda,00111
060014034002,301092.0,8,4.0,Alameda,00111
060014034003,300024.0,1,4.0,Alameda,00111
060014034004,300024.0,2,4.0,Alameda,00111
060014035011,300693.0,24,4.0,Alameda,00111
060014035012,300738.0,25,4.0,Alameda,00111
060014035013,300739.0,16,4.0,Alameda,00111
060014035021,300740.0,5,4.0,Alameda,00111
060014035022,300741.0,7,4.0,Alameda,00111
060014036001,300771.0,9,4.0,Alameda,00111
060014036002,300742.0,4,4.0,Alameda,00111
060014036003,300742.0,6,4.0,Alameda,00111
060014037011,300743.0,7,4.0,Alameda,00111
060014037012,300744.0,4,4.0,Alameda,00111
060014037021,300745.0,12,4.0,Alameda,00111
060014037022,300746.0,9,4.0,Alameda,00111
