"TAZ","TOTHH","TOTPOP","hh_own","hh_rent","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","gq_tot_pop"
"1","378.0","231.45659068803653","12.0","391.0","160.0","210.0","0.0","18.0","1224.0","191.0","6.0","29.0","3.0","15.0","188.0"
"10","7493.0","1508.9133206786507","964.0","6539.0","3747.0","3069.0","424.0","296.0","2677.0","270.0","752.0","335.0","563.0","2425.0","706.1550094517959"
"100","1023.0","229.95935797534065","159.0","868.0","427.0","312.0","176.0","128.0","1644.0","339.0","305.0","192.0","401.0","680.0","83.0"
"1000","944.0","145.65833328521546","498.0","455.0","317.0","300.0","128.0","209.0","1439.0","624.0","195.0","99.0","240.0","1279.0","24.80246913580247"
"1001","1454.0","181.84730209623703","706.0","760.0","451.0","467.0","182.0","367.0","1560.0","360.0","222.0","179.0","453.0","820.0","2.717032967032967"
"1002","869.0","213.58690307075807","340.0","541.0","261.0","407.0","52.0","161.0","879.0","214.0","127.0","145.0","180.0","441.0","101.12108980827446"
"1003","869.0","102.0128181390473","277.0","601.0","369.0","278.0","122.0","109.0","741.0","163.0","118.0","66.0","101.0","447.0","1.5623775310254735"
"1004","944.0","121.1882835534493","661.0","291.0","228.0","460.0","104.0","161.0","1331.0","372.0","158.0","80.0","121.0","1074.0","0.0"
"1005","1058.0","140.97272702962803","961.0","102.0","236.0","448.0","174.0","204.0","1183.0","384.0","112.0","67.0","47.0","1048.0","0.0"
"1006","1738.0","1245.1418344789229","587.0","1167.0","677.0","527.0","260.0","290.0","1055.0","291.0","221.0","176.0","171.0","574.0","1032.0"
"1007","1530.0","2573.481993219862","222.0","1308.0","582.0","397.0","266.0","285.0","1103.0","34.0","482.0","69.0","121.0","300.0","2348.0"
"1008","1908.0","7664.340881747576","37.0","1885.0","888.0","522.0","256.0","254.0","1772.0","0.0","750.0","256.0","310.0","189.0","7441.0"
"1009","2550.0","569.7996278991868","588.0","1962.0","735.0","929.0","382.0","504.0","2458.0","251.0","695.0","402.0","585.0","602.0","178.0"
"101","1732.0","277.1138945320491","295.0","1449.0","712.0","539.0","205.0","288.0","1415.0","279.0","461.0","274.0","571.0","1396.0","24.956663215500665"
"1010","907.0","175.00722498616156","429.0","489.0","297.0","343.0","151.0","128.0","1171.0","223.0","138.0","120.0","226.0","724.0","60.13205610673965"
"1011","1152.0","473.4834478208175","350.0","813.0","424.0","443.0","182.0","114.0","1507.0","386.0","314.0","190.0","297.0","839.0","346.0"
"1012","1152.0","214.61710811309436","478.0","679.0","371.0","257.0","193.0","335.0","1931.0","591.0","502.0","58.0","406.0","1208.0","54.0"
"1013","793.0","102.18973957969138","443.0","350.0","260.0","249.0","166.0","118.0","1214.0","450.0","288.0","198.0","268.0","679.0","0.0"
"1014","680.0","1598.8806001965606","133.0","559.0","340.0","261.0","30.0","62.0","1303.0","149.0","151.0","108.0","202.0","791.0","1533.0"
"1015","1114.0","207.94652778239683","374.0","746.0","417.0","317.0","133.0","254.0","1076.0","312.0","231.0","299.0","182.0","476.0","67.0"
"1016","1379.0","338.2909334898883","464.0","921.0","571.0","398.0","294.0","122.0","1861.0","551.0","536.0","456.0","373.0","707.0","188.0"
"1017","1001.0","299.1532969296088","374.0","636.0","396.0","368.0","100.0","146.0","1938.0","411.0","302.0","471.0","355.0","819.0","182.0"
"1018","1813.0","487.73015471265103","17.0","1796.0","840.0","457.0","310.0","206.0","1250.0","95.0","691.0","316.0","539.0","587.0","289.1840455840456"
"1019","812.0","841.0264776345585","129.0","686.0","552.0","93.0","157.0","10.0","302.0","25.0","53.0","44.0","62.0","58.0","773.3154574132492"
"102","2062.0","322.59105594944947","571.0","1510.0","909.0","735.0","221.0","231.0","1398.0","209.0","257.0","139.0","250.0","1921.0","64.2031959324496"
"1020","1889.0","1974.624479858417","402.0","1489.0","924.0","714.0","154.0","97.0","1915.0","112.0","525.0","525.0","263.0","663.0","1797.7085642767745"
"1021","1794.0","275.01901132041223","346.0","1461.0","587.0","862.0","66.0","293.0","2124.0","122.0","242.0","302.0","351.0","825.0","65.01019313304721"
"1022","1265.0","180.54181300689396","363.0","910.0","473.0","511.0","129.0","160.0","1680.0","319.0","177.0","281.0","340.0","882.0","36.0"
"1023","774.0","130.4139736100022","340.0","445.0","386.0","178.0","83.0","139.0","1255.0","448.0","223.0","179.0","325.0","781.0","41.133254716981135"
"1024","774.0","91.1267249483534","411.0","374.0","278.0","258.0","125.0","124.0","1213.0","455.0","145.0","192.0","217.0","817.0","0.0"
"1025","774.0","115.15441550275128","482.0","295.0","224.0","247.0","131.0","176.0","1315.0","679.0","213.0","148.0","225.0","1160.0","14.812881873727088"
"1026","623.0","83.57152251093264","413.0","225.0","177.0","237.0","125.0","98.0","832.0","214.0","37.0","36.0","84.0","633.0","0.0"
"1027","1228.0","169.56192450786784","388.0","857.0","458.0","560.0","123.0","104.0","1580.0","294.0","238.0","252.0","308.0","979.0","35.40671436433682"
"1028","755.0","200.25724475494087","600.0","159.0","199.0","270.0","85.0","205.0","1448.0","386.0","165.0","77.0","124.0","1217.0","99.4422018348624"
"1029","491.0","115.44255942662438","413.0","89.0","90.0","218.0","86.0","107.0","1375.0","492.0","156.0","152.0","398.0","2419.0","46.88190267905959"
"103","1763.0","244.67890144227303","724.0","1043.0","752.0","644.0","188.0","231.0","1572.0","163.0","427.0","119.0","356.0","1869.0","16.122441096948627"
"1030","661.0","107.24372941907464","602.0","75.0","133.0","342.0","100.0","102.0","794.0","233.0","64.0","31.0","81.0","708.0","20.0"
"1031","642.0","85.95360464429166","617.0","31.0","124.0","322.0","61.0","141.0","1185.0","438.0","23.0","48.0","179.0","1149.0","0.0"
"1032","718.0","104.33718281012608","639.0","79.0","128.0","243.0","215.0","132.0","603.0","165.0","38.0","36.0","64.0","524.0","0.0"
"1033","604.0","72.23741597041905","502.0","110.0","237.0","198.0","72.0","104.0","1673.0","461.0","309.0","179.0","258.0","1161.0","0.0"
"1034","755.0","120.36543134696844","632.0","139.0","166.0","277.0","119.0","209.0","931.0","639.0","114.0","125.0","200.0","917.0","13.0"
"1035","699.0","97.3779267822237","557.0","145.0","148.0","245.0","139.0","167.0","788.0","423.0","63.0","41.0","144.0","717.0","0.0"
"1036","944.0","141.8863935674548","434.0","520.0","186.0","346.0","250.0","172.0","943.0","544.0","107.0","89.0","212.0","881.0","13.0"
"1037","1095.0","176.91437040854635","562.0","538.0","252.0","384.0","198.0","266.0","641.0","462.0","70.0","94.0","168.0","623.0","22.92825112107624"
"1038","2946.0","1037.0514888550836","0.0","2964.0","504.0","1703.0","464.0","293.0","458.0","177.0","255.0","174.0","192.0","453.0","669.9693496801706"
"1039","10690.0","1281.633709475437","6398.0","4300.0","3712.0","2807.0","2676.0","1502.0","780.0","436.0","134.0","274.0","532.0","1160.0","9.183901175532975"
"104","1889.0","209.47233270447435","659.0","1249.0","1162.0","571.0","141.0","50.0","2596.0","192.0","192.0","182.0","286.0","1593.0","23.0"
"1040","1284.0","164.1077476444563","136.0","1181.0","411.0","394.0","251.0","284.0","736.0","248.0","57.0","159.0","164.0","278.0","25.0"
"1041","1330.0","128.6304151718881","388.0","979.0","518.0","460.0","158.0","230.0","1180.0","332.0","114.0","211.0","215.0","500.0","2.0"
"1042","757.0","129.5429893190913","682.0","109.0","162.0","410.0","131.0","111.0","827.0","270.0","15.0","79.0","124.0","507.0","53.0"
"1043","1490.0","164.43461429851612","1269.0","232.0","402.0","581.0","307.0","234.0","1022.0","473.0","97.0","73.0","109.0","822.0","10.965794066317628"
"1044","1032.0","114.8368661579588","899.0","142.0","227.0","462.0","194.0","204.0","1033.0","330.0","24.0","20.0","155.0","683.0","0.0"
"1045","1995.0","208.9305745025787","1595.0","421.0","549.0","836.0","292.0","384.0","1420.0","295.0","85.0","93.0","242.0","773.0","0.0"
"1046","1169.0","122.94111248204754","1077.0","128.0","214.0","585.0","197.0","210.0","981.0","321.0","59.0","58.0","135.0","657.0","0.0"
"1047","1376.0","149.68897866568108","481.0","928.0","458.0","449.0","287.0","238.0","1179.0","523.0","80.0","179.0","298.0","635.0","8.0"
"1048","871.0","110.21379355244224","400.0","487.0","202.0","333.0","247.0","151.0","978.0","559.0","92.0","91.0","225.0","654.0","12.0"
"1049","917.0","136.4898260056651","325.0","617.0","260.0","260.0","224.0","221.0","2067.0","940.0","294.0","352.0","273.0","1231.0","36.5302407516148"
"105","2692.0","366.1431811765023","582.0","2110.0","1436.0","905.0","233.0","150.0","2005.0","182.0","564.0","369.0","473.0","1848.0","73.74687890137328"
"1050","3554.0","716.5851173957006","1092.0","2482.0","839.0","1039.0","571.0","1149.0","2413.0","1753.0","858.0","528.0","603.0","889.0","259.60462038262546"
"1051","2018.0","223.565216822853","342.0","1702.0","735.0","603.0","301.0","405.0","1607.0","501.0","337.0","206.0","323.0","545.0","17.3968345323741"
"1052","1651.0","177.6135562283721","1367.0","308.0","305.0","679.0","330.0","384.0","473.0","283.0","62.0","46.0","70.0","349.0","0.0"
"1053","619.0","77.51503502966928","543.0","95.0","122.0","280.0","120.0","116.0","1603.0","773.0","46.0","132.0","264.0","1144.0","10.293287094377012"
"1054","527.0","105.63457024245218","439.0","101.0","105.0","228.0","149.0","105.0","1111.0","513.0","77.0","79.0","200.0","754.0","45.71899159663865"
"1055","711.0","136.87462381046254","454.0","284.0","224.0","168.0","152.0","217.0","2096.0","877.0","181.0","215.0","660.0","1021.0","52.0"
"1056","757.0","88.19731997943654","444.0","341.0","311.0","177.0","98.0","223.0","1786.0","748.0","356.0","383.0","282.0","746.0","3.0"
"1057","1032.0","183.48375332987456","409.0","653.0","213.0","156.0","112.0","603.0","822.0","1158.0","305.0","209.0","415.0","459.0","13.0"
"1058","963.0","418.3334750569936","422.0","563.0","401.0","170.0","109.0","329.0","1938.0","1189.0","564.0","269.0","392.0","959.0","291.0"
"1059","2637.0","359.1819246042777","1576.0","1082.0","1355.0","838.0","259.0","229.0","1905.0","323.0","900.0","1153.0","1074.0","3071.0","146.66356777149016"
"106","2235.0","658.6030590409202","453.0","1804.0","906.0","746.0","333.0","273.0","1908.0","237.0","647.0","261.0","601.0","1874.0","358.4004622941346"
"1060","642.0","223.20526596564892","241.0","415.0","123.0","127.0","77.0","352.0","1172.0","1613.0","492.0","336.0","527.0","581.0","113.07357398732432"
"1061","1674.0","235.80063831507107","671.0","1025.0","611.0","280.0","282.0","546.0","1962.0","1601.0","855.0","661.0","558.0","415.0","31.0"
"1062","1834.0","173.7717179980028","1223.0","621.0","640.0","853.0","189.0","186.0","2289.0","412.0","363.0","427.0","606.0","2389.0","10.0"
"1063","963.0","193.22929766643145","341.0","650.0","159.0","176.0","219.0","459.0","1435.0","1117.0","432.0","208.0","555.0","585.0","40.0"
"1064","642.0","130.92474084351704","314.0","362.0","69.0","126.0","176.0","305.0","847.0","1033.0","120.0","259.0","339.0","576.0","35.0"
"1065","619.0","139.47691707160016","423.0","229.0","144.0","166.0","93.0","248.0","2413.0","1094.0","135.0","463.0","798.0","1045.0","58.0"
"1066","3462.0","733.1393090407478","1072.0","2417.0","1025.0","1190.0","654.0","643.0","2290.0","1326.0","443.0","404.0","1054.0","599.0","374.0"
"1067","1697.0","243.02847680992969","729.0","994.0","339.0","325.0","385.0","698.0","909.0","959.0","485.0","361.0","802.0","881.0","3.8826833073322935"
"1068","596.0","488.3820332402259","360.0","255.0","75.0","73.0","96.0","370.0","799.0","1101.0","127.0","335.0","363.0","498.0","385.0"
"1069","3829.0","397.7379981179543","1181.0","2671.0","1303.0","1323.0","499.0","772.0","1951.0","689.0","400.0","684.0","1157.0","1649.0","20.06519138755981"
"107","834.0","838.2773086386692","183.0","661.0","259.0","492.0","78.0","46.0","1198.0","297.0","113.0","195.0","153.0","732.0","733.0"
"1070","1421.0","216.75590426413797","856.0","591.0","227.0","437.0","119.0","688.0","1050.0","741.0","112.0","258.0","375.0","481.0","0.0955031166518254"
"1071","1972.0","308.5328264265437","1040.0","944.0","282.0","331.0","325.0","1069.0","1308.0","1207.0","216.0","438.0","420.0","664.0","0.0"
"1072","1765.0","261.83035585241714","1023.0","764.0","385.0","520.0","306.0","599.0","1549.0","884.0","196.0","349.0","438.0","762.0","10.0"
"1073","2545.0","332.15467152966573","886.0","1680.0","823.0","645.0","543.0","578.0","1742.0","1042.0","291.0","282.0","723.0","616.0","33.0"
"1074","3370.0","482.4884941149296","2479.0","906.0","510.0","1271.0","660.0","968.0","2520.0","1243.0","270.0","266.0","903.0","1166.0","64.0"
"1075","1100.0","164.20038147698466","550.0","590.0","343.0","223.0","202.0","395.0","933.0","493.0","122.0","141.0","359.0","376.0","32.25450138504155"
"1076","1490.0","180.26844557066389","1281.0","236.0","549.0","522.0","220.0","271.0","1300.0","336.0","120.0","51.0","225.0","773.0","19.762611275964392"
"1077","1926.0","272.65778646577536","1304.0","654.0","325.0","795.0","284.0","555.0","1739.0","739.0","219.0","228.0","404.0","1029.0","39.84238410596026"
"1078","2155.0","303.0061427764986","1078.0","1084.0","455.0","464.0","537.0","751.0","1758.0","780.0","145.0","179.0","377.0","907.0","21.0"
"1079","2453.0","355.6940801395842","2087.0","377.0","446.0","946.0","432.0","686.0","1580.0","615.0","288.0","387.0","476.0","1915.0","46.00844829430008"
"108","3337.0","616.0056310853599","778.0","2574.0","1996.0","801.0","425.0","162.0","1530.0","188.0","248.0","111.0","135.0","712.0","253.0"
"1080","1536.0","192.6474663037368","1085.0","462.0","374.0","264.0","563.0","369.0","1480.0","1126.0","212.0","305.0","333.0","939.0","12.244675324675326"
"1081","1100.0","177.5104022491502","856.0","271.0","219.0","102.0","340.0","490.0","1222.0","716.0","147.0","219.0","262.0","711.0","19.0"
"1082","2797.0","368.9909439032171","1923.0","899.0","857.0","762.0","444.0","759.0","1844.0","709.0","194.0","280.0","282.0","1033.0","33.42552422270427"
"1083","3256.0","397.1716782883332","2555.0","729.0","855.0","927.0","699.0","825.0","1606.0","677.0","573.0","665.0","1211.0","3588.0","5.577189359893113"
"1084","1697.0","245.7286994904444","1477.0","236.0","241.0","810.0","311.0","374.0","2478.0","820.0","133.0","142.0","457.0","1494.0","40.0"
"1085","3233.0","435.3035804814856","2775.0","481.0","516.0","1043.0","736.0","985.0","1468.0","612.0","117.0","147.0","227.0","919.0","15.0"
"1086","3645.0","487.0420808286712","2890.0","762.0","711.0","1119.0","716.0","1152.0","2220.0","1019.0","272.0","132.0","425.0","1479.0","17.788377655832278"
"1087","3049.0","342.6926742364068","2696.0","380.0","792.0","1032.0","611.0","664.0","2187.0","695.0","574.0","278.0","572.0","2970.0","3.03078231292517"
"1088","1307.0","201.6717007692419","947.0","374.0","90.0","497.0","248.0","532.0","1044.0","585.0","63.0","158.0","300.0","618.0","20.00272209849048"
"1089","1490.0","344.2161287249442","661.0","864.0","340.0","600.0","435.0","173.0","2058.0","883.0","426.0","400.0","484.0","679.0","167.0"
"109","5872.0","1052.1386860711168","2367.0","3511.0","2745.0","1935.0","521.0","693.0","2944.0","600.0","415.0","418.0","429.0","2439.0","320.8328190743338"
"1090","1055.0","97.23959012540696","621.0","438.0","437.0","356.0","205.0","106.0","1799.0","396.0","210.0","118.0","426.0","747.0","0.0"
"1091","940.0","124.94505091069492","531.0","431.0","381.0","286.0","142.0","176.0","1572.0","441.0","137.0","235.0","316.0","676.0","30.811743877249924"
