"TAZ","TOTHH","TOTPOP","hh_own","hh_rent","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","gq_tot_pop"
"1092","1880.0","815.9978455178036","415.0","1487.0","1180.0","376.0","226.0","144.0","680.0","123.0","213.0","53.0","167.0","114.0","677.0"
"1093","802.0","84.00066912997708","386.0","445.0","381.0","264.0","107.0","103.0","990.0","377.0","126.0","212.0","191.0","421.0","11.0"
"1094","2270.0","263.0830894353125","1207.0","1080.0","565.0","678.0","610.0","481.0","1429.0","756.0","281.0","227.0","672.0","1892.0","9.26979753204744"
"1095","1605.0","233.58990167088987","1379.0","246.0","292.0","427.0","401.0","529.0","1009.0","452.0","139.0","147.0","701.0","1064.0","18.0"
"1096","3324.0","389.73377265234654","2457.0","876.0","827.0","1091.0","682.0","778.0","2043.0","995.0","191.0","300.0","841.0","2258.0","20.74715678310317"
"1097","2293.0","334.0207405825807","1576.0","747.0","335.0","657.0","383.0","971.0","1037.0","584.0","130.0","43.0","280.0","669.0","24.0"
"1098","4700.0","682.4293941681343","3474.0","1259.0","460.0","1381.0","899.0","1992.0","1555.0","1339.0","255.0","176.0","385.0","2554.0","6.423882681564246"
"1099","2155.0","263.77961113169323","1578.0","614.0","443.0","727.0","492.0","529.0","1508.0","622.0","197.0","373.0","583.0","1812.0","16.8236569501325"
"11","3983.0","951.4672597617572","593.0","3409.0","3017.0","460.0","112.0","414.0","1924.0","275.0","755.0","252.0","324.0","828.0","523.081679389313"
"110","3951.0","1608.9219106169337","1122.0","2846.0","795.0","2112.0","406.0","670.0","3461.0","796.0","220.0","280.0","184.0","2067.0","989.0"
"1100","3003.0","352.64430039305296","2464.0","570.0","709.0","1030.0","500.0","841.0","1413.0","711.0","186.0","211.0","526.0","2024.0","7.116046917893686"
"1101","1399.0","181.039850346521","1310.0","108.0","231.0","433.0","282.0","495.0","1508.0","727.0","59.0","100.0","160.0","939.0","0.0"
"1102","1490.0","159.9846519490149","1252.0","267.0","538.0","428.0","78.0","499.0","1508.0","727.0","40.0","49.0","34.0","172.0","0.0"
"1103","2316.0","298.39758726470683","2029.0","309.0","463.0","739.0","587.0","551.0","1396.0","537.0","206.0","406.0","339.0","1677.0","3.627458396369138"
"1104","1857.0","226.0355742222144","1444.0","457.0","295.0","610.0","479.0","540.0","1344.0","909.0","74.0","108.0","85.0","883.0","0.0"
"1105","2247.0","321.01738389117463","1385.0","894.0","135.0","806.0","395.0","943.0","1344.0","909.0","52.0","46.0","74.0","248.0","0.0"
"1106","3600.0","417.3167158263302","2101.0","1527.0","1418.0","1111.0","500.0","621.0","1791.0","542.0","551.0","338.0","412.0","1918.0","71.68862275449102"
"1107","2293.0","415.7566607646843","1477.0","834.0","548.0","653.0","418.0","716.0","1494.0","466.0","156.0","180.0","294.0","715.0","135.0"
"1108","917.0","157.41708275376504","720.0","213.0","212.0","324.0","199.0","220.0","1933.0","956.0","108.0","203.0","520.0","1185.0","45.0"
"1109","1421.0","286.9479056115722","1091.0","350.0","210.0","604.0","164.0","464.0","2432.0","1453.0","223.0","108.0","603.0","1801.0","107.1137824633582"
"111","2487.0","862.2818126409957","484.0","2018.0","947.0","1236.0","166.0","169.0","2452.0","331.0","30.0","103.0","138.0","1974.0","575.0"
"1110","2293.0","388.3738226194958","1372.0","959.0","592.0","788.0","551.0","400.0","3045.0","910.0","207.0","670.0","695.0","1199.0","122.06044857768052"
"1111","871.0","122.44071660715156","715.0","174.0","170.0","337.0","153.0","274.0","1996.0","806.0","151.0","210.0","443.0","1218.0","17.44031922276197"
"1112","1307.0","269.1668528128313","908.0","417.0","255.0","471.0","297.0","325.0","2100.0","745.0","172.0","305.0","450.0","1006.0","92.0"
"1113","3164.0","335.53401687069174","300.0","2879.0","1742.0","1239.0","87.0","157.0","1788.0","216.0","452.0","281.0","239.0","407.0","115.0"
"1114","8552.0","1073.7966895740294","1072.0","7512.0","2136.0","2093.0","1462.0","2892.0","1079.0","796.0","546.0","505.0","790.0","708.0","0.0"
"1115","6122.0","697.074737097259","970.0","5179.0","1926.0","1502.0","1128.0","1616.0","1378.0","842.0","243.0","327.0","437.0","545.0","0.0"
"1116","1100.0","183.2327750971828","889.0","235.0","183.0","336.0","334.0","317.0","1079.0","568.0","45.0","158.0","151.0","789.0","37.0"
"1117","2545.0","325.750413397906","1931.0","638.0","457.0","1167.0","342.0","649.0","1189.0","437.0","120.0","116.0","261.0","642.0","24.50446291166513"
"1118","4035.0","550.7279629239088","2057.0","2007.0","1332.0","1194.0","673.0","865.0","1718.0","638.0","630.0","510.0","604.0","1288.0","123.9768115942029"
"1119","2682.0","354.8517790280968","1526.0","1187.0","606.0","623.0","602.0","882.0","1424.0","743.0","341.0","275.0","899.0","1407.0","18.88081764637949"
"112","803.0","112.36326329565716","306.0","512.0","256.0","386.0","147.0","45.0","1093.0","182.0","87.0","56.0","103.0","779.0","8.0"
"1120","4058.0","580.0084020786805","929.0","3163.0","786.0","1046.0","581.0","1679.0","1280.0","883.0","478.0","564.0","838.0","1063.0","13.21268808458723"
"1121","3668.0","376.4953024010584","743.0","2953.0","1626.0","1332.0","423.0","337.0","2193.0","526.0","726.0","799.0","1126.0","2656.0","72.41727058412643"
"1122","1995.0","300.61204197724857","1263.0","744.0","673.0","576.0","150.0","631.0","1404.0","520.0","400.0","439.0","584.0","1164.0","72.50795306388527"
"1123","3760.0","425.0532444069452","1252.0","2530.0","830.0","1516.0","908.0","528.0","2094.0","1178.0","268.0","292.0","549.0","1174.0","38.0"
"1124","2568.0","462.8566498525063","1887.0","693.0","668.0","845.0","404.0","709.0","2289.0","1287.0","184.0","192.0","414.0","1693.0","163.0"
"1125","1742.0","188.98968240293868","1463.0","313.0","455.0","693.0","209.0","419.0","1762.0","731.0","89.0","154.0","325.0","1190.0","0.0353763883175647"
"1126","2866.0","291.4965257479797","2642.0","249.0","637.0","1602.0","303.0","372.0","2839.0","679.0","253.0","212.0","394.0","1638.0","9.917641959254444"
"1127","2797.0","336.4321603744333","2206.0","616.0","671.0","846.0","603.0","726.0","2192.0","1157.0","145.0","290.0","355.0","1553.0","19.09639846743295"
"1128","1100.0","184.74037476672143","810.0","318.0","171.0","446.0","286.0","248.0","1378.0","873.0","103.0","76.0","275.0","1104.0","56.0"
"1129","2361.0","575.7251344749811","1763.0","622.0","739.0","648.0","292.0","728.0","2153.0","915.0","194.0","200.0","301.0","1456.0","307.9793796569052"
"113","1826.0","243.1429411361256","829.0","1014.0","699.0","730.0","235.0","194.0","1340.0","367.0","278.0","283.0","289.0","1844.0","10.498882969582402"
"1130","3049.0","328.09293561336693","2786.0","288.0","651.0","1385.0","520.0","541.0","1374.0","477.0","55.0","107.0","228.0","904.0","22.0"
"1131","4058.0","541.5346990061976","3731.0","361.0","518.0","1350.0","459.0","1788.0","1788.0","1406.0","69.0","29.0","173.0","1910.0","1.0568144499178982"
"1132","2705.0","395.652574946869","2513.0","223.0","210.0","997.0","366.0","1186.0","1087.0","1050.0","56.0","72.0","102.0","1258.0","21.0"
"1133","2018.0","240.759953393555","1472.0","559.0","505.0","804.0","380.0","364.0","1588.0","585.0","226.0","423.0","299.0","2074.0","31.28686292309688"
"1134","2935.0","521.5606710777649","1499.0","1448.0","772.0","873.0","524.0","824.0","1940.0","1058.0","183.0","251.0","366.0","1279.0","154.0"
"1135","3645.0","351.69543618372245","1977.0","1674.0","998.0","1647.0","559.0","493.0","3103.0","903.0","279.0","189.0","519.0","1955.0","8.89993626513703"
"1136","3943.0","371.10921045054175","1417.0","2545.0","1191.0","1806.0","653.0","358.0","3038.0","844.0","219.0","211.0","270.0","1857.0","12.668540378489787"
"1137","1651.0","310.2840727412714","1421.0","256.0","442.0","605.0","312.0","341.0","1503.0","644.0","75.0","63.0","194.0","1171.0","135.0"
"1138","1651.0","202.6710539717928","1274.0","401.0","510.0","373.0","386.0","429.0","2083.0","1156.0","231.0","229.0","374.0","1429.0","15.0"
"1139","1307.0","163.07976845241856","1247.0","82.0","100.0","634.0","286.0","331.0","975.0","668.0","67.0","39.0","70.0","970.0","3.0"
"114","1118.0","218.3508787074914","583.0","544.0","356.0","498.0","113.0","176.0","1822.0","489.0","151.0","79.0","267.0","1397.0","61.10168598524763"
"1140","825.0","183.2646374066152","822.0","23.0","128.0","341.0","149.0","273.0","1011.0","468.0","58.0","33.0","78.0","855.0","86.0"
"1141","1628.0","197.91223027684305","1402.0","239.0","319.0","751.0","205.0","435.0","1995.0","738.0","49.0","157.0","252.0","1462.0","7.0"
"1142","2155.0","256.4918891985057","1727.0","446.0","306.0","1002.0","356.0","531.0","1387.0","524.0","63.0","40.0","208.0","1021.0","0.0"
"1143","2912.0","455.265100920438","1921.0","1015.0","849.0","1041.0","424.0","622.0","1720.0","704.0","282.0","81.0","118.0","1215.0","148.0"
"1144","2935.0","339.84382311260464","1779.0","1172.0","571.0","1332.0","473.0","598.0","2193.0","919.0","111.0","195.0","328.0","1538.0","10.0"
"1145","8964.0","724.212867619333","1876.0","7121.0","4134.0","3390.0","785.0","688.0","2736.0","387.0","471.0","439.0","830.0","2555.0","31.828265692287616"
"1146","9469.0","875.6657118243588","1360.0","8123.0","4796.0","2357.0","900.0","1454.0","2315.0","361.0","128.0","239.0","646.0","848.0","71.0"
"1147","3622.0","576.486433963393","2165.0","1473.0","1487.0","1221.0","312.0","664.0","2699.0","1309.0","131.0","220.0","218.0","1671.0","225.66133866133865"
"1148","5984.0","373.1559025475429","5537.0","460.0","3837.0","2121.0","54.0","7.0","2021.0","3.0","764.0","1245.0","1499.0","1854.0","10.56978615773741"
"1149","2178.0","364.39612530673577","1380.0","823.0","992.0","716.0","169.0","326.0","2075.0","812.0","110.0","109.0","434.0","1365.0","175.52967359050444"
"115","1055.0","424.95923071099855","494.0","574.0","319.0","454.0","89.0","222.0","746.0","210.0","67.0","47.0","130.0","530.0","272.0"
"1150","3806.0","421.783083293229","2235.0","1593.0","1251.0","923.0","740.0","935.0","2002.0","946.0","340.0","214.0","228.0","1265.0","1.2815571401040664"
"1151","2224.0","285.70657018897606","2091.0","148.0","199.0","821.0","658.0","607.0","1580.0","1138.0","76.0","90.0","191.0","1542.0","16.0"
"1152","2201.0","250.7379556039648","1368.0","869.0","440.0","774.0","513.0","509.0","2023.0","1055.0","78.0","198.0","266.0","1591.0","0.0"
"1153","2407.0","317.8506067824598","2324.0","104.0","227.0","1006.0","588.0","652.0","1222.0","887.0","56.0","66.0","132.0","1205.0","18.0"
"1154","2797.0","332.6143403539112","2408.0","394.0","711.0","1079.0","460.0","552.0","2794.0","1138.0","296.0","116.0","132.0","2198.0","39.0"
"1155","6190.0","711.3938437872823","5283.0","928.0","932.0","2752.0","870.0","1680.0","701.0","472.0","77.0","114.0","222.0","1227.0","0.0"
"1156","3829.0","507.763107902825","3600.0","229.0","483.0","1205.0","689.0","1475.0","1104.0","1037.0","126.0","228.0","241.0","2433.0","0.2273771244832338"
"1157","2797.0","289.43071072512845","2536.0","279.0","917.0","1112.0","222.0","586.0","1072.0","418.0","121.0","78.0","125.0","717.0","0.0"
"1158","6603.0","787.9559018735538","4216.0","2421.0","1251.0","2644.0","703.0","2061.0","2154.0","1055.0","365.0","118.0","287.0","1471.0","47.0"
"1159","2499.0","1225.851844730833","2224.0","284.0","233.0","996.0","515.0","787.0","744.0","487.0","23.0","53.0","69.0","713.0","911.0"
"116","1307.0","386.0713162752274","619.0","701.0","553.0","326.0","235.0","222.0","1905.0","508.0","311.0","274.0","181.0","1182.0","186.0"
"1160","1765.0","741.8972023365492","1624.0","176.0","248.0","768.0","368.0","415.0","1324.0","1010.0","94.0","33.0","142.0","1365.0","535.0"
"1161","6603.0","737.2738343688592","5694.0","937.0","2070.0","2239.0","772.0","1573.0","1998.0","1100.0","747.0","533.0","873.0","6474.0","40.37228330350294"
"1162","3508.0","625.3354868839779","2340.0","1170.0","523.0","925.0","1578.0","529.0","2701.0","1311.0","0.0","90.0","142.0","287.0","226.0"
"1163","1742.0","191.6738217385356","1696.0","83.0","255.0","854.0","310.0","359.0","1207.0","593.0","38.0","107.0","157.0","955.0","0.0"
"1164","5594.0","758.8698227693777","5373.0","241.0","528.0","2637.0","808.0","1641.0","1872.0","690.0","47.0","47.0","48.0","1647.0","50.0"
