"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","gqpop","hhlds"
"1012","19","19","4","1152.0","160.61710811309433","214.61710811309436","802.0","989","1221","502.0","58.0","406.0","1208.0","182","151","31","0.16216","98.3941469981696","206","1006","2221","1346","617","21","90","249","0","4","35","0","0","3","0","0","0","1.50062","2","0","121","1152.0"
"1013","19","19","4","793.0","102.18973957969138","102.18973957969138","445.0","1192","584","288.0","198.0","268.0","679.0","176","90","67","0.18645","54.56443924665378","315","600","1517","1043","585","173","76","158","0","115","56","0","0","3","0","0","0","1.4995","3","0","0","793.0"
"1014","19","19","4","680.0","65.88060019656072","1598.8806001965606","418.0","239","721","151.0","108.0","202.0","791.0","1042","7.93909","487.10733","0.12367","51.29442932115055","214","246","1136","382","181","2623","3274","4484","17","6623","1695","0","0","2","0","0","0","2.59526","3","0","302","680.0"
"1015","19","19","4","1114.0","140.94652778239683","207.94652778239683","576.0","406","826","231.0","299.0","182.0","476.0","114","50","64","0.09155","70.67050835205795","145","663","1429","725","162","164","190","684","13","72","184","0","0","3","366","0","0","1.86013","3","0","69","1114.0"
"1016","19","19","4","1379.0","150.29093348988832","338.2909334898883","598.0","999","1079","536.0","456.0","373.0","707.0","184","153","30","0.19364","73.40750263389418","261","520","1701","1167","658","107","143","917","0","195","888","0","0","3","0","0","0","1.82935","2","0","29","1379.0"
"1017","19","19","4","1001.0","117.15329692960876","299.1532969296088","596.0","946","1255","302.0","471.0","355.0","819.0","175","162","13","0.17068","73.1889344642359","164","488","2395","998","607","58","164","411","0","28","21","0","0","3","0","0","0","1.52117","2","0","137","1001.0"
"1018","19","19","4","1813.0","198.54610912860545","487.73015471265103","853.0","124","2007","691.0","316.0","539.0","587.0","134","55.0041","78","0.05734","104.64537756676152","71","1143","2964","733","234","606","2108","3217","0","452","1845","131","80","1","3113","596","2985","4.00509","2","0","244","1813.0"
"1019","19","19","4","812.0","67.71102022130933","841.0264776345585","1849.0","31","129","53.0","44.0","62.0","58.0","419","13","406","0.01923","226.8964734793168","11","455","991","80","23","59","13094","8839","0","15","524","168.05315","44.8997","1","0","34928","3261","3.5831","1","0","1185","812.0"
"102","3","3","1","2062.0","258.38786001699987","322.59105594944947","1333.0","283","2604","257.0","139.0","250.0","1921.0","81","45.23017","3","0.11561","184.62752196127943","189","250","3112","1050","390","123","130","623","0","24","490","0","105.25612","2","0","0","0","3.91153","1","0","38","2062.0"
"1020","19","19","4","1889.0","176.91591558164265","1974.624479858417","1333.0","325","1580","525.0","525.0","263.0","663.0","116","91","25","0.07946","163.7786279276322","121","747","3464","561","380","34","75","814","0","0","2","131","35","1","0","796","294","3.31909","1","0","1707","1889.0"
