"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","gqpop","hhlds"
"1271","26","26","6","1357.0","151.75324152360196","157.60269413353362","816.0","4796","414","359.0","427.0","1086.0","3574.0","4587","744","325","0.10502","74.47010189508808","1036","3505","5656","3814","1339","133","123","397","1","9","31","0","0","4","0","0","0","1.17185","3","0","0","1357.0"
"1272","26","26","6","0.0","0.0","6618.0","0.0","0","0","0.0","0.0","0.0","0.0","890","0","463","0","0.0","0","0","0","0","0","0","0","19","0","0","1430","0","0","2","0","0","0","1.03176","3","0","0","0.0"
"1273","26","26","6","2148.0","191.5292648481148","209.5292648481148","1002.0","1326","356","230.0","356.0","402.0","581.0","2115","326","57.17422","0.13928","89.57983650381223","499","975","1648","1358","546","203","137","558","0","44","46","0","0","4","709","0","0","1.23333","3","0","3","2148.0"
"1274","26","26","6","2544.0","240.89086349299765","240.89086349299765","1278.0","1561","885","327.0","275.0","804.0","628.0","625","342","123.15377","0.16525","118.8111787281476","536","1358","2169","1221","852","557","214","854","4","348","186","0","0","4","1712","0","0","1.32355","2","0","0","2544.0"
"1275","26","26","6","3392.0","303.4554164305035","303.4554164305035","1430.0","902","444","162.0","252.0","450.0","552.0","275","169","17","0.11362","145.90342893153442","139","700","1508","863","293","179","176","256","4","46","105","0","0","4","0","0","0","1.3976","2","0","0","3392.0"
"1276","26","26","6","2007.0","189.84972511391533","189.84972511391533","1089.0","944","392","62.0","160.0","471.0","613.0","267","153","17","0.12685","104.91595992237964","388","858","1600","878","454","90","22","137","0","0","24","0","0","4","0","0","0","1.38836","3","0","0","2007.0"
"1277","26","26","6","1357.0","142.91974642027347","152.8718422286567","763.0","1841","255","113.0","107.0","463.0","1164.0","430","276","14","0.13761","72.91063080847212","290","1337","2309","1607","561","59","35","87","0","10","30","0","0","4","0","0","0","1.29155","3","0","6","1357.0"
"1278","26","26","6","1696.0","194.8865762140635","215.75163754982","1122.0","1070","16","30.0","118.0","387.0","1155.0","1390","228","56","0.14583","103.21050567286802","145","679","1002","948","250","18","28","173","0","4","19","0","0","4","0","0","0","1.11683","3","0","0","1696.0"
"1279","26","26","6","2346.0","234.37967319384623","256.7211180607664","1311.0","2156","396","345.0","336.0","909.0","1873.0","13849","5026.12793","805.15833","0.20644","126.26276232024176","344","1106","2120","1693","1044","1034","737","11105","16","3259","1776","0","0","5","50","0","0","1.04796","3","0","13","2346.0"
"128","3","3","1","1307.0","177.12077091787947","200.15720146065772","905.0","961","1744","165.0","140.0","340.0","2024.0","119","69","4.11321","0.1218","125.32496701183273","344","432","2638","1266","435","47","86","321","0","18","149","0","0","3","0","0","0","2.46333","1","0","40","1307.0"
"1280","26","26","6","3392.0","264.9472486745058","304.3415568564941","1447.0","3897","957","588.0","739.0","939.0","2357.0","1678","760.7757","310.05307","0.369","130.18218628391415","295","1655","2044","3042","3449","2839","430","2811","0","168","272","0","0","4","0","0","0","1.32692","3","0","0","3392.0"
"1281","26","26","6","4409.0","361.26913027361337","361.26913027361337","2120.0","1149","1439","403.0","234.0","1033.0","990.0","612","226","126","0.10711","200.53202423465945","285","1217","2533","1439","576","622","378","993","1","150","241","0","0","4","0","0","0","1.48341","2","0","0","4409.0"
"1282","26","26","6","1357.0","149.60693352606455","166.33666893135646","749.0","3440","1163","584.0","462.0","1071.0","2735.0","2907","1122","180","0.10587","67.02907629444248","1245","2977","4751","3688","1158","508","323","902","3","181","354","0","0","4","2","0","0","1.15454","1","0","4","1357.0"
"1283","26","26","6","1244.0","107.1964029839698","165.1964029839698","519.0","1191","414","225.0","295.0","420.0","561.0","457","238","84","0.15775","48.08908427375063","141","837","1597","1026","475","78","482","1028","0","77","182","0","0","3","2148","0","0","1.36101","3","0","0","1244.0"
"1284","26","26","6","1498.0","133.20922429325745","156.20922429325745","720.0","1702","407","111.0","294.0","436.0","1091.0","1511","460","161.58513","0.19669","63.98042983017848","258","990","1752","1398","864","472","1274","1999","4","162","1423","0","0","4","0","0","0","1.41116","1","0","13","1498.0"
"1285","26","26","6","2318.0","221.3504136269433","221.3504136269433","1220.0","1853","0","112.0","207.0","448.0","1167.0","1246","496","61","0.26349","108.58734585529136","229","948","1037","1443","1068","31","176","209","0","121","38","0","0","3","0","0","0","1.08739","2","0","0","2318.0"
"1286","26","26","6","1639.0","168.28301673171572","174.18819101186293","912.0","1682","0","185.0","126.0","364.0","1116.0","56212","10421","96","0.31177","80.78097051754482","147","571","790","1611","1009","49","155","59","90","81","182","0","0","4","0","0","0","0.90667","1","0","6","1639.0"
"1287","26","26","6","198.0","18.8156577898682","21.8156577898682","78.0","977","0","4.0","93.0","141.0","185.0","109722","2606","3460","0.2274","6.9316669301383005","172","469","811","878","502","125","176","144","306","835","87","0","0","5","0","0","0","0.91727","3","0","13","198.0"
"1288","26","26","6","1894.0","192.6189599505508","194.5558960906534","1125.0","3201","670","345.0","622.0","1108.0","1987.0","2502","785","126","0.13082","99.64158756318685","656","3095","4211","2898","1126","284","278","970","2","113","204","0","0","4","0","0","0","1.21056","3","0","1","1894.0"
"1289","26","26","6","2205.0","233.84854148933687","233.9203518541986","1292.0","1995","429","396.0","614.0","802.0","1521.0","4140","570.52234","437","0.18709","115.79168049093084","471","1842","2620","1603","1161","600","422","944","14","1185","548","0","0","4","1210","0","0","1.1868","3","0","0","2205.0"
"129","3","3","1","1999.0","242.20008824970688","242.20008824970688","1031.0","1043","1194","165.0","36.0","250.0","1704.0","148","76","1","0.20929","142.77733960314768","202","401","1667","1374","728","16","89","151","0","19","90","0","0","2","0","0","0","2.07587","1","0","0","1999.0"
"1290","26","26","6","791.0","60.12865499496971","108.19633418495106","235.0","4852","204","635.0","1299.0","1669.0","2013.0","149505","4347.34229","3135","0.45137","20.795995151613063","254","1096","1971","2824","3807","345","262","969","397","369","569","0","0","4","0","0","0","0.93696","2","0","2","791.0"
"1291","27","27","7","2071.0","294.83198529357287","302.6235671546817","1659.0","3012","309","361.0","321.0","703.0","1828.0","18433","1148","63.79836","0.15675","144.7242067798234","688","2690","3641","3055","1403","537","154","1341","75","159","345","0","0","4","1585","0","0","1.15254","2","0","6","2071.0"
"1292","27","27","7","986.0","150.4153773259788","172.44223565773592","855.0","2658","44","527.0","551.0","1015.0","3046.0","10156","719","1712.89636","0.13182","74.73805511542375","705","1949","3561","2787","981","797","1954","1945","34","3153","1615","0","0","4","15","0","0","1.13556","3","0","55","986.0"
"1293","27","27","7","2737.0","304.7996937828414","671.3477853858949","1764.0","1482","956","169.0","411.0","347.0","1180.0","3647","399.06903","22","0.21529","153.9271670471257","281","1088","1906","1200","1020","77","65","455","44","113","156","0","0","4","0","0","0","1.21428","2","0","52","2737.0"
"1294","27","27","7","173.0","7.130764089997773","29.13076408999777","137.0","0","69","15.0","0.0","0.0","0.0","1242","486","230","1.71127","11.992648696814436","0","1","52","55","34","57","417","1100","15","669","234","0","0","4","0","1613","4630","1.05023","2","0","73","173.0"
"1295","27","27","7","2441.0","260.6832910003329","330.6830507023634","1617.0","2257","511","428.0","419.0","665.0","1486.0","1204","504.31741","164.7972","0.16177","141.11549965469197","660","1607","2792","2044","1063","1111","296","1047","1","445","243","0","0","4","102","0","0","1.30862","2","0","51","2441.0"
"1296","27","27","7","1110.0","104.35175489169508","120.35175489169508","571.0","1508","122","48.0","226.0","197.0","914.0","1610","692","17","0.24038","49.81236775251735","220","577","1371","1085","799","88","89","326","107","68","108","0","0","4","82","0","0","1.04314","1","0","8","1110.0"
"1297","27","27","7","3822.0","385.0932842202023","564.0816777552928","2488.0","2042","1441","569.0","509.0","1006.0","1197.0","637","388","22","0.15252","217.100023643042","506","1981","3713","1846","1035","331","474","1691","2","107","207","0","0","4","1903","0","0","1.57216","3","0","101","3822.0"
"1298","27","27","7","1233.0","123.36880151706988","1146.36880151707","929.0","456","283","53.0","103.0","169.0","363.0","337","95","64","0.12924","81.08178730468971","65","266","642","454","136","1044","1089","1921","2","513","606","0","0","4","403","0","0","2.4634","3","0","13","1233.0"
"1299","27","27","7","814.0","66.06697999219975","319.0669799921998","419.0","592","661","175.0","166.0","255.0","300.0","250","103","36","0.15641","36.546636323777705","287","387","1235","725","371","536","1211","1319","24","328","1986","0","0","2","0","0","0","2.93758","3","0","319","814.0"
"13","1","1","1","724.0","64.50488130975505","98.50488130975504","302.0","0","13","28.0","-1.0","1.0","58.0","26.5","1","19.37625","0.14286","41.86680457102495","0","0","8","5","1","1246","13859","2877","0","548","736","196.01954","861.60002","0","0","1574","3501","5.49303","3","0","1","724.0"
"130","3","3","1","1118.0","165.95310525353838","165.95310525353838","598.0","1282","629","143.0","305.0","288.0","1111.0","307","103","43","0.22881","82.82465155505817","263","583","1340","1202","847","203","137","247","0","16","94","0","0","2","932","0","0","1.60044","1","0","0","1118.0"
"1300","27","27","7","1282.0","136.72079015361533","188.72079015361533","727.0","655","240","135.0","151.0","170.0","250.0","212","124","7","0.10875","63.46745214156826","138","542","957","573","190","35","163","274","3","233","56","0","0","4","0","0","0","1.46236","3","0","1","1282.0"
"1301","27","27","7","2244.0","242.29248710435272","264.29248710435274","1422.0","970","433","80.0","228.0","479.0","554.0","328","160","29","0.13542","124.07502228907764","178","725","1129","845","350","247","426","1109","0","192","1848","0","0","4","40","0","0","2.0587","3","0","18","2244.0"
"1302","27","27","7","3156.0","402.12752116465487","416.0101533682682","2133.0","1992","573","235.0","244.0","687.0","1192.0","1566","576","22","0.11869","186.96253991855173","466","1853","2746","2054","700","662","51","438","1","659","131","0","0","4","0","0","0","1.26134","1","0","22","3156.0"
"1303","27","27","7","1997.0","209.16209740458103","209.16209740458103","1075.0","1201","0","86.0","55.0","173.0","811.0","562","407","5","0.32239","93.79627262304746","109","432","595","926","711","41","84","33","0","14","53","0","0","4","2","0","0","1.03643","1","0","2","1997.0"
"1304","27","27","7","2219.0","249.52770867499964","273.8332905103828","1566.0","2082","636","462.0","501.0","644.0","1112.0","698","548","12","0.16534","136.6234547249009","571","1549","2945","2018","1076","80","161","540","0","34","62","0","0","4","126","0","0","1.21482","3","0","5","2219.0"
"1305","27","27","7","1726.0","246.6764023079573","293.6764023079573","1408.0","1385","452","173.0","237.0","468.0","742.0","480","232","71.97474","0.10222","122.83210742566992","407","1277","1986","1180","423","477","612","1250","0","389","270","0","0","4","235","0","0","1.61867","3","0","0","1726.0"
"1306","27","27","7","1751.0","173.88079143586123","210.2536206966573","968.0","3097","509","681.0","646.0","965.0","2420.0","1317","727","83","0.21746","84.44849970861974","521","1891","2776","2745","1724","1205","1245","3320","81","676","995","0","0","4","1845","0","0","1.50078","3","0","41","1751.0"
"1307","27","27","7","2269.0","214.9317339018084","242.2766491560457","1242.0","2104","498","367.0","337.0","423.0","1577.0","830","495","36","0.25012","108.83546953744096","294","1039","1619","1885","1360","41","334","1012","19","417","40","0","0","4","691","0","0","1.24842","3","0","22","2269.0"
"1308","27","27","7","1578.0","165.42122135753883","181.0034707837056","903.0","1782","5","146.0","316.0","546.0","1844.0","37851","1183","141","0.30389","79.07854408607976","108","657","802","1433","962","18","99","237","121","609","132","0","0","4","0","0","0","0.98823","1","0","66","1578.0"
"1309","28","28","7","3896.0","329.11318321459424","329.11318321459424","1014.0","2044","72","61.0","21.0","23.0","46.0","14722","838","261","0.32339","88.43429947843713","163","816","1090","1558","1370","80","164","579","105","828","84","0","0","4","0","0","0","1.04736","3","0","13","3896.0"
"131","3","3","1","960.0","149.87754721425802","149.87754721425802","508.0","2776","38","188.0","245.0","492.0","1773.0","348","199","1","0.24818","70.36445439950293","512","854","2047","2124","1317","38","74","75","0","36","54","0","0","3","0","0","0","1.54533","1","0","0","960.0"
"1310","28","28","7","2195.0","154.9369358077355","1670.4124964747857","1015.0","1376","268","243.0","285.0","326.0","587.0","1041","156","340","0.65612","88.51842438831477","44","173","346","701","1234","174","165","3526","28","334","227","0","0","4","0","0","0","1.36938","2","0","71","2195.0"
"1311","28","28","7","2515.0","244.27903494068508","288.04748919936014","1305.0","3394","527","234.0","173.0","316.0","1630.0","92029","3184","239","0.3389","113.84160762284358","190","975","1521","2483","2019","94","245","1099","648","1059","189","0","0","4","0","0","0","0.97529","1","0","69","2515.0"
"1312","28","28","7","1208.0","119.90317928001804","169.25889124536724","684.0","1019","6","70.0","76.0","116.0","229.0","187154","1192","392","0.23201","59.68347153571176","71","294","435","631","306","24","69","75","57","61","279","0","0","5","0","0","0","0.93156","1","0","12","1208.0"
"1313","28","28","7","1184.0","111.33390506713532","952.1547350751162","1095.0","2039","173","126.0","164.0","237.0","812.0","43845","1828","446","0.24178","95.54316294148111","198","1038","2031","1303","1146","174","95","3522","162","1005","261","0","0","4","85","1497","170","1.0391","1","0","1177","1184.0"
"1314","28","28","7","2071.0","196.7885649903584","223.05099592958493","1154.0","2448","587","102.0","333.0","392.0","1365.0","3031","823","99","0.30128","100.7240471264254","300","942","1522","1766","1554","732","1013","2291","263","2404","460","0","0","4","478","0","0","1.34423","2","0","115","2071.0"
"1315","28","28","7","1134.0","96.27343623857428","111.38460427136116","638.0","1149","38","61.0","142.0","117.0","452.0","32879","629","217","0.39184","55.92552010766631","35","340","473","527","733","226","140","354","352","3965","307","0","0","4","0","0","0","1.21137","3","0","18","1134.0"
"1316","28","28","7","1011.0","125.1565500437232","199.7705035320953","810.0","737","14","42.0","44.0","84.0","319.0","44316","1228","140","0.31273","70.70579017161346","57","128","391","449","334","5","84","291","31","815","116","0","0","4","0","0","0","0.95659","1","0","75","1011.0"
"1317","28","28","7","2343.0","219.6708524362236","240.74163283549763","1261.0","1930","638","340.0","409.0","427.0","901.0","1662","711","58","0.24221","110.02482964938392","207","1020","1645","1340","1019","373","231","1520","31","218","284","0","0","4","240","0","0","1.16254","2","0","24","2343.0"
"1318","29","29","8","1821.0","156.0124256955217","189.8005360989187","716.0","2485","245","185.0","168.0","431.0","1243.0","24850","6420","1741","0.35448","74.8330573697454","223","645","1079","1632","1324","181","587","1044","158","705","485","0","0","4","0","0","0","0.92435","1","0","60","1821.0"
"1319","29","29","8","3567.0","438.6793325347701","456.8457680410114","2050.0","3033","881","358.0","417.0","790.0","1525.0","3884","1330","117","0.14847","214.0980417428392","591","2119","3939","2441","1141","168","137","1450","10","94","133","0","0","4","14","0","0","1.07792","1","0","12","3567.0"
"132","3","3","1","1401.0","246.05365878568944","246.05365878568944","887.0","1257","127","205.0","81.0","231.0","1069.0","205","104.94115","15","0.25953","122.82663558539711","302","685","904","989","923","297","123","371","0","20","47","0","0","3","858","0","0","1.74895","1","0","3","1401.0"
"1320","29","29","8","1550.0","142.82074238461053","177.09137188433365","690.0","2432","335","304.0","260.0","629.0","1285.0","7896","2195","334","0.32913","72.6633359526867","81","645","964","1559","1275","774","783","1772","16","423","189","0","0","4","13","0","0","0.9953","2","0","21","1550.0"
"1321","29","29","8","1107.0","109.74491933910404","123.43713472833458","502.0","2198","352","228.0","469.0","527.0","1281.0","752","489","30","0.22359","52.43314707395537","454","1173","1639","1923","916","69","111","304","0","44","106","0","0","4","0","0","0","1.15184","3","0","23","1107.0"
"1322","29","29","8","369.0","34.209273624823695","46.209273624823695","130.0","2547","0","-1.0","1.0","5.0","23.0","15493","3507","1197","0.53625","13.59308885754584","100","483","430","1573","2048","33","165","2498","67","109","90","0","0","4","102","0","0","0.94136","2","0","10","369.0"
"1323","29","29","8","2116.0","171.61399382827426","255.44931660537537","724.0","3445","849","508.0","548.0","994.0","2118.0","1786","1109","208","0.35647","75.57213251011095","355","1205","1908","2602","2489","940","1412","2680","28","487","1013","0","0","4","1349","0","0","1.22283","3","0","0","2116.0"
"1324","29","29","8","1747.0","143.55742446804285","148.51095098526537","511.0","1165","43","215.0","361.0","301.0","962.0","39085","3090","1094","0.29466","53.39299010921655","129","308","640","811","620","443","472","179","212","1512","601","0","0","5","0","0","0","0.94279","3","0","2","1747.0"
"1325","29","29","8","3100.0","341.91612678714387","347.920408737078","1977.0","2469","807","516.0","471.0","1823.0","4461.0","43455","2898","1017","0.19372","206.51273180481417","567","1418","2871","2591","1313","677","2251","1232","470","3152","459","0","0","4","0","0","0","1.0262","2","0","0","3100.0"
"1326","29","29","8","2239.0","220.13636167578147","243.13636167578147","1098.0","1870","88","60.0","243.0","377.0","1231.0","5043","1365","453","0.24464","114.63405395540036","331","838","1153","1571","910","39","50","230","2","34","68","0","0","4","0","0","0","0.95277","1","0","2","2239.0"
"1327","29","29","8","2805.0","245.07804568993708","504.0780456899371","1230.0","1733","377","307.0","258.0","324.0","1053.0","3413","694","97","0.24165","128.42698244309148","210","947","1629","1585","930","16","47","1126","15","9","806","0","0","4","1425","0","0","1.12206","1","0","0","2805.0"
"1328","29","29","8","1821.0","199.7487275730782","477.12028532071486","921.0","1973","90","182.0","211.0","332.0","978.0","29862","2982","933","0.21561","103.78358127082656","295","1092","1707","1732","1018","62","72","372","83","156","1640","0","0","4","0","0","0","0.9492","1","0","335","1821.0"
"1329","29","29","8","1550.0","143.10502336634147","143.10502336634147","660.0","1474","125","158.0","284.0","177.0","663.0","3862","2372","202","0.23543","68.98446472811456","42","664","1004","1431","805","745","483","570","38","1798","667","0","0","4","10","0","0","0.99547","2","0","8","1550.0"
"133","3","3","1","771.0","129.58391655238367","142.58391655238367","589.0","2020","641","227.0","202.0","248.0","1774.0","280","116","67","0.18939","81.55528998093311","419","638","2913","1782","996","90","193","287","0","33","69","0","0","3","494","6540","20617","1.68823","1","0","2","771.0"
"1330","29","29","8","1870.0","186.27091660534265","206.27091660534265","945.0","1378","101","156.0","179.0","370.0","836.0","559","449","41","0.22939","98.68425727784468","221","477","1000","1046","543","46","62","276","0","74","142","0","0","4","288","0","0","1.06517","1","0","0","1870.0"
"1331","29","29","8","1747.0","172.72436382586272","181.72436382586272","876.0","1356","733","225.0","389.0","429.0","992.0","754","344","231","0.14965","91.5099462853219","393","892","1920","1317","503","1018","340","781","2","552","174","0","0","4","0","0","0","1.26152","2","0","8","1747.0"
"1332","29","29","8","1402.0","123.83513840409373","274.8351384040937","678.0","1359","606","196.0","291.0","592.0","1185.0","893","259","533","0.23538","71.68509570364262","237","690","1407","1714","825","1297","1899","2530","7","594","992","0","0","4","156","0","0","1.39977","2","0","209","1402.0"
"1333","29","29","8","3198.0","376.6180468110952","408.6180468110952","1971.0","1193","218","7.0","203.0","600.0","620.0","301","282","19","0.13846","205.9048508654072","217","1281","1354","1179","548","21","27","95","2","9","16","0","0","4","0","0","0","1.18288","3","0","9","3198.0"
"1334","29","29","8","984.0","116.54444422764404","116.54444422764404","553.0","1544","17","131.0","145.0","429.0","878.0","410","316","91","0.21141","57.811288616724376","234","673","1428","1065","772","12","49","299","0","0","37","0","0","4","1711","0","0","1.1153","3","0","0","984.0"
"1335","29","29","8","1353.0","112.97531406265308","209.97531406265307","521.0","2156","722","567.0","594.0","686.0","1210.0","843","521.67444","203","0.2546","54.98594688626471","341","1048","2178","1818","1626","834","268","1031","0","110","192","0","0","4","0","0","0","1.20779","3","0","29","1353.0"
"1336","29","29","8","1525.0","154.30174296438304","155.42393287999187","739.0","4901","294","560.0","397.0","1238.0","2943.0","3624","1865","443","0.19084","77.65621537945151","834","3052","3863","4250","2149","959","1182","2797","21","1899","1298","0","0","4","76","0","0","1.15437","3","0","33","1525.0"
"1337","29","29","8","3371.0","333.01454208919006","344.8951597140959","1766.0","2367","773","523.0","632.0","704.0","1330.0","7050","3431","943.90265","0.18506","184.4530295970237","137","1562","2217","2339","1029","1479","1133","2145","34","2298","1626","0","0","4","1","0","0","1.01152","2","0","52","3371.0"
"1338","29","29","8","2337.0","222.2741614791429","229.2741614791429","1253.0","1034","372","194.0","220.0","373.0","674.0","811","662","75","0.16412","130.83532689169368","161","573","1093","951","433","144","173","384","18","41","264","0","0","4","0","0","0","1.03187","1","0","2","2337.0"
"1339","29","29","8","2214.0","207.03416543333108","210.03416543333108","1210.0","1543","415","272.0","251.0","521.0","1147.0","593","433","59","0.20793","126.36564591348473","235","659","1809","1247","816","206","112","218","3","40","54","0","0","4","0","0","0","1.11898","3","0","7","2214.0"
"134","3","3","1","677.0","143.35274378822405","167.6668799138785","546.0","2318","478","183.0","299.0","258.0","1587.0","254","118.06819","17","0.20749","75.55524455684092","654","1179","3503","2381","1676","150","258","425","0","30","223","0","0","3","0","0","0","2.4367","1","0","50","677.0"
"1340","29","29","8","4798.0","492.5455006684567","521.5455006684567","2844.0","1768","617","240.0","329.0","744.0","1269.0","1042","481","281","0.08977","297.04474055909776","282","907","3392","1601","457","200","67","340","3","185","103","0","0","4","0","0","0","1.09761","3","0","0","4798.0"
"1341","29","29","8","3444.0","360.13809930394274","463.4887132193588","1785.0","1676","374","292.0","218.0","411.0","1298.0","8834","1648","78","0.21426","186.46219105538648","367","778","1867","1503","787","17","40","186","10","28","24","0","0","4","0","0","0","0.95775","2","0","0","3444.0"
"1342","29","29","8","1968.0","204.16280398501056","3093.1628039850107","2191.0","981","542","78.0","323.0","434.0","646.0","542","182","279","0.09442","228.84349258305545","281","1806","2324","1109","379","40","44","419","0","5","76","0","0","4","1995","8264","1144","1.17152","3","0","1732","1968.0"
"1343","29","29","8","2165.0","241.6614520127893","280.6614520127893","1162.0","1166","510","230.0","172.0","502.0","450.0","306","176","45","0.11215","121.34363273464524","330","823","2051","1141","452","37","66","230","2","4","32","0","0","4","0","0","0","1.3422","3","0","140","2165.0"
"1344","29","29","8","6667.0","692.0408308424944","701.0408308424944","3416.0","744","1691","459.0","386.0","600.0","931.0","431","178","137","0.122","357.5758998649811","396","1029","2842","1287","610","476","507","807","0","121","688","0","0","3","0","0","0","1.58762","3","0","0","6667.0"
"1345","29","29","8","3444.0","300.6170903425247","300.6170903425247","1636.0","1150","479","271.0","204.0","470.0","660.0","275","172","19","0.19058","174.52796978696946","214","556","1219","958","579","36","162","193","2","47","199","0","0","3","0","0","0","1.35803","3","0","0","3444.0"
"1346","29","29","8","4527.0","400.35456299257646","414.35456299257646","2320.0","1312","737","121.0","304.0","489.0","1010.0","735","316","170","0.21171","242.27453676888456","454","553","1644","1054","839","206","774","820","7","283","273","0","0","4","192","0","0","1.26668","3","0","9","4527.0"
"1347","29","29","8","3617.0","405.9251935469552","435.9251935469552","2121.0","1848","208","85.0","181.0","452.0","1050.0","1032","286","40","0.17285","221.570172164176","287","967","2044","1645","721","121","207","657","0","28","65","0","0","4","0","0","0","1.3377","3","0","0","3617.0"
"1348","30","30","8","3469.0","389.6758303187276","419.396187187492","1791.0","2250","1345","834.0","770.0","1251.0","853.0","2113","476","600","0.12597","188.06531425751453","706","2302","3953","1916","967","3712","509","1393","0","977","650","0","0","4","0","0","0","1.3434","3","0","23","3469.0"
"1349","30","30","8","1206.0","155.10188313924328","202.7068454355216","760.0","2159","453","219.0","287.0","1028.0","990.0","2993","1333","88","0.08423","79.69838417797448","433","1995","2918","1997","469","203","303","890","1","230","173","0","0","4","288","0","0","1.04619","2","0","21","1206.0"
"135","3","3","1","1165.0","251.7669027741112","251.7669027741112","981.0","1281","418","175.0","224.0","371.0","1045.0","100","59","6","0.16627","135.93080837954673","345","940","1978","1951","722","105","7","287","0","129","33","0","0","3","0","0","0","2.83604","1","0","4","1165.0"
"1350","30","30","8","3543.0","365.15512019715777","398.3484727983138","1822.0","2047","1027","342.0","387.0","623.0","1559.0","5640","1772","57","0.24418","190.3140996970891","361","970","1960","1926","1487","214","482","698","3","61","363","0","0","4","0","0","0","1.0031","1","0","12","3543.0"
"1351","30","30","8","1107.0","124.43386758944972","326.43386758944973","612.0","1308","43","82.0","104.0","246.0","924.0","386","354","27","0.28851","63.9300259535073","100","640","875","1016","797","30","71","356","0","3","13","0","0","4","0","0","0","1.10521","3","0","46","1107.0"
"1352","30","30","8","1870.0","191.64783829772352","213.64783829772352","891.0","1415","7","77.0","129.0","103.0","761.0","3558","1203","24","0.38684","93.0506951129616","89","500","554","1147","1068","19","50","117","0","35","32","0","0","4","0","0","0","0.95326","1","0","17","1870.0"
"1353","30","30","8","2460.0","171.24998040404307","174.21716187122453","495.0","3630","297","325.0","521.0","846.0","1569.0","21662","3821","330","0.77835","51.75325572276315","56","194","297","1296","3995","53","169","292","3","263","354","0","0","4","0","0","0","0.93329","1","0","0","2460.0"
"1354","30","30","8","1230.0","133.1929561591162","163.16225896868954","644.0","3333","99","387.0","417.0","1278.0","3796.0","30337","8901","574","0.26376","68.40635359650126","248","1645","1757","2712","1744","201","127","540","49","115","211","0","0","4","165","0","0","0.91774","1","0","27","1230.0"
"1355","30","30","8","1747.0","166.4946956557108","204.4946956557108","800.0","1359","193","288.0","232.0","384.0","633.0","451","367","65","0.22989","83.54328329200114","268","645","1121","851","695","10","45","312","0","4","25","0","0","4","1603","0","0","1.07906","2","0","5","1747.0"
"1356","30","30","8","2140.0","185.5998247192336","227.8785981720479","915.0","2115","912","363.0","363.0","688.0","1293.0","688","606","73","0.25751","95.51752230305954","269","1315","1881","1614","1375","382","276","743","1","50","88","0","0","4","0","0","0","1.15799","2","0","44","2140.0"
"1357","30","30","8","2682.0","290.0823664453728","321.0823664453728","1583.0","1185","563","209.0","218.0","233.0","824.0","494","452","36","0.15973","165.36624919489674","278","889","1589","1076","538","104","220","384","3","37","113","0","0","4","0","0","0","1.12692","2","0","12","2682.0"
"1358","30","30","8","3395.0","291.353988542783","402.5255713713319","1479.0","1694","1336","314.0","602.0","882.0","1535.0","1405","827","133","0.29012","154.80104492492654","427","876","2057","1692","1428","268","318","1527","0","63","99","0","0","4","1624","0","0","1.11505","2","0","53","3395.0"
"1359","30","30","8","960.0","95.98561471770802","140.49238340517124","522.0","1963","215","104.0","75.0","500.0","1315.0","615","480","114","0.20993","54.535909699661765","313","481","1626","1563","871","553","169","4655","0","45","91","0","0","4","0","0","0","1.43615","3","0","9","960.0"
"136","3","3","1","929.0","188.2996269574117","454.2996269574117","678.0","1031","17","174.0","118.0","169.0","599.0","87","50","9","0.2549","93.8817358432159","148","372","1138","968","642","3","14","660","0","6","8","0","0","3","0","0","0","2.35129","1","0","20","929.0"
"1360","30","30","8","1747.0","165.09347123155706","227.09347123155703","908.0","841","562","235.0","204.0","405.0","408.0","229","151","62","0.17467","94.83119111432384","133","514","1208","995","482","110","144","609","0","33","129","0","0","4","0","0","0","1.37261","3","0","164","1747.0"
"1361","30","30","8","1304.0","106.3305229887742","193.3305229887742","717.0","203","866","243.0","217.0","414.0","273.0","305","73.41171","226","0.10207","74.90905304622666","108","147","1100","423","152","1652","3147","2583","8","523","2667","0","0","2","16","0","0","2.525","3","0","214","1304.0"
"1362","30","30","8","1083.0","77.61896473486857","85.61896473486857","386.0","1152","732","424.0","269.0","369.0","680.0","328","259","69","0.25775","40.33010777719709","106","400","1210","1070","698","205","903","693","0","109","108","0","0","3","0","0","0","1.34392","3","0","0","1083.0"
"1363","30","30","8","2140.0","223.75429135737065","898.7542913573707","1295.0","884","174","145.0","94.0","247.0","402.0","510","146","357","0.23168","135.2642273968159","58","313","1050","608","332","221","728","1549","65","50","3369","0","0","3","2282","5889","15613","1.48854","3","0","38","2140.0"
"1364","30","30","8","1378.0","130.25068218691078","168.25068218691078","756.0","1258","530","171.0","339.0","510.0","803.0","291","244","31","0.17693","78.93480740621884","103","496","1643","1077","400","113","110","447","0","21","98","0","0","3","7","0","0","1.2528","3","0","36","1378.0"
