"ZONE","SD","TOTACRE","RESACRE","CIACRE","SFDU","MFDU","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","ZERO","DISTRICT","gqpop","TOTHH","HHPOP","TOTPOP","EMPRES","hhlds"
"1027","19","144","113","25","541","1123","86.61905","56.04762","2","0","0","0","1","3.76063","0","19","48","1228.0","134.155210143531","169.56192450786784","586.0","1228.0"
"1028","19","349","313","27","1428","280","0","0","4","0","0","0","1","1.11072","0","19","8","755.0","100.81504292007847","200.25724475494087","406.0","755.0"
"1029","19","389","358","9","1583","114","0","0","4","0","133","21","1","1.10541","0","19","23","491.0","68.56065674756479","115.44255942662438","273.0","491.0"
"103","3","137","67","8","620","2316","0","61","2","1058","0","0","1","2.62186","0","3","6","1763.0","228.55646034532444","244.67890144227306","1146.0","1763.0"
"1030","19","182","178","4","847","26","0","0","4","0","0","0","1","1.12121","0","19","0","661.0","87.24372941907467","107.24372941907467","366.0","661.0"
"1031","19","313","302","5","1495","43","0","0","4","0","0","0","1","1.16813","0","19","0","642.0","85.95360464429166","85.95360464429166","334.0","642.0"
"1032","19","115","111","3","637","41","0","0","4","0","0","0","1","1.22058","0","19","0","718.0","104.33718281012608","104.33718281012608","435.0","718.0"
"1033","19","247","216","31","1480","245","0","0","4","0","0","0","1","1.43834","0","19","0","604.0","72.23741597041905","72.23741597041905","284.0","604.0"
"1034","19","196","181","13","1153","138","0","0","4","630","0","0","1","1.39388","0","19","9","755.0","107.36543134696845","120.36543134696845","441.0","755.0"
"1035","19","128","95","19","766","125","0","0","3","1224","0","0","2","1.46851","0","19","0","699.0","97.3779267822237","97.3779267822237","402.0","699.0"
"1036","19","110","59","50","713","568","0","0","3","0","0","0","2","1.71714","0","19","5","944.0","128.8863935674548","141.8863935674548","644.0","944.0"
"1037","19","94","56","38","665","311","0","0","4","102","0","0","3","1.65076","0","19","0","1095.0","153.9861192874701","176.91437040854635","646.0","1095.0"
"1038","19","216","71","42","81","1122","0","0","3","0","0","0","2","1.7869","0","19","39","2946.0","367.0821391749129","1037.0514888550836","1767.0","2946.0"
"1039","19","339","94","16","701","1374","0","0","3","0","0","0","1","2.11478","0","19","21","10690.0","1272.449808299904","1281.633709475437","5663.0","10690.0"
"104","3","68","24.79696","13","136","1768","0","71.81642","2","0","0","0","1","4.5693","0","3","21","1889.0","186.47233270447435","209.47233270447435","992.0","1889.0"
"1040","20","60","30","10","186","580","0","0","4","0","0","0","2","2.03565","0","20","2","1284.0","139.1077476444563","164.1077476444563","793.0","1284.0"
"1041","20","161","60","58","532","378","0","0","3","1429","0","0","2","1.82124","0","20","1","1330.0","126.63041517188813","128.63041517188813","731.0","1330.0"
"1042","20","146","82","25","766","10","0","0","4","0","0","0","1","1.28874","0","20","12","757.0","76.5429893190913","129.5429893190913","405.0","757.0"
"1043","20","349","174","39","1112","57","0","0","4","0","0","0","1","1.1749","0","20","0","1490.0","153.46882023219848","164.43461429851612","695.0","1490.0"
"1044","20","213","143","4","1077","31","0","0","4","0","0","0","1","1.27501","0","20","0","1032.0","114.8368661579588","114.8368661579588","632.0","1032.0"
"1045","20","586","242","49","1140","24","0","0","4","0","0","0","1","1.10807","0","20","0","1995.0","208.9305745025787","208.9305745025787","891.0","1995.0"
"1046","20","235","156","12","915","27","0","0","4","0","0","0","1","1.17364","0","20","2","1169.0","122.94111248204754","122.94111248204754","556.0","1169.0"
"1047","20","199","94.69667","39","777","397","0","0","3","0","0","0","1","1.64079","0","20","15","1376.0","141.68897866568108","149.68897866568108","785.0","1376.0"
"1048","20","167","90","20","762","418","0","0","4","0","0","0","2","1.46266","0","20","12","871.0","98.21379355244223","110.21379355244223","596.0","871.0"
"1049","20","326","169","25","1662","472","0","0","4","0","0","0","1","1.6229","0","20","5","917.0","99.95958525405027","136.48982600566507","564.0","917.0"
"105","3","80","34","10","213","3225","48","68","1","0","0","0","1","4.26819","0","3","75","2692.0","292.396302275129","366.1431811765023","1475.0","2692.0"
"1050","20","485","221","91","1497","1315","0","0","4","858","0","0","2","1.61679","0","20","38","3554.0","456.9804970130752","716.5851173957006","2067.0","3554.0"
"1051","20","250","79","89","534","939","0","0","4","0","0","0","2","1.77146","0","20","5","2018.0","206.16838229047883","223.56521682285293","947.0","2018.0"
"1052","20","158","82","25","559","10","0","0","4","0","0","0","1","1.10796","0","20","0","1651.0","177.6135562283721","177.6135562283721","765.0","1651.0"
"1053","20","391","202","16","1586","86","0","0","4","0","0","0","1","1.2929","0","20","2","619.0","67.22174793529226","77.51503502966926","378.0","619.0"
"1054","20","243","118","24","1020","100","0","0","4","0","0","0","1","1.34731","0","20","9","527.0","59.91557864581353","105.63457024245218","316.0","527.0"
"1055","20","324","189","24","1570","456","0","0","4","0","0","0","3","1.5398","0","20","3","711.0","84.87462381046255","136.87462381046254","467.0","711.0"
"1056","20","242","124","41","1109","715","0","0","4","0","0","0","3","1.9945","0","20","22","757.0","85.19731997943654","88.19731997943654","405.0","757.0"
"1057","20","159","74","20","804","435","0","0","4","0","0","0","3","4.35047","0","20","6","1032.0","170.48375332987456","183.48375332987456","747.0","1032.0"
